,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
0,410,5.73,23.1%,88.8%,4.98,"782,522","198,027","136,581",3.70,60.93,"11,407","1,435","86,849,279","6,762.38","9,931","5,050","148,462","156,018","1,139",734,"92,339",0,"614,798","59,490","679,655","102,887","['Mackay', 'Zain', 'Blasco']",-SAGA-Riy
1,153,2.63,34.4%,60.4%,2.30,"319,848","143,093","121,750",1.12,17.94,"10,766","7,045","43,941,019","2,464.44","22,656","13,657","24,968","78,567","3,838","1,458","56,103",0,"183,785","44,885","280,600","39,428","['Mackay', 'Lis', 'Irish']",lLLlCITMOTORz
2,311,7.75,29.7%,82.4%,6.81,"686,569","213,268","88,556",3.09,54.37,"10,403","2,199","69,094,708","5,471.98","265,658","9,676","141,165","112,026","4,933","11,808","291,942",0,"195,345","182,045","602,820","83,796","['Falck', 'Angel', 'Paik']",Tygrvs
3,224,3.88,21.0%,72.2%,3.38,"343,720","150,137","88,631",1.68,25.07,"9,894","3,809","45,895,617","3,347.11","27,448","17,171","35,813","46,601","2,472","1,108","103,126",0,"172,747","48,951","299,611","44,204","['Crawford', 'Sundance', 'Blasco']",HARM CptConquer
4,385,7.13,21.1%,85.6%,6.40,"681,066","293,974","95,467",3.09,59.85,"9,737","1,642","84,771,129","7,449.79","92,218","11,876","143,024","111,395","4,759",613,"141,669",0,"437,548","89,987","611,105","69,978","['Angel', 'Falck', 'Mackay']",DsciSiv
5,308,5.39,26.1%,90.7%,4.48,"450,094","178,350","83,503",2.68,43.28,"9,430",969,"51,676,711","4,968.91","12,006","5,502","74,866","96,397",988,262,"69,626",0,"339,282","29,387","373,809","76,312","['Mackay', 'Zain', 'Irish']",-SAGA-ChineseNO1
6,191,5.41,26.2%,62.1%,4.97,"375,781","449,194","69,438",1.22,25.01,"9,330","5,697","59,110,892","3,933.65","13,152","46,475","62,568","34,551","4,555","1,134","229,770",0,"105,549","26,102","344,881","31,010","['Crawford', 'Lis', 'Dozer']",From-The-H3avens
7,140,4.69,17.9%,60.0%,4.43,"302,741","134,568","64,575",0.97,20.38,"8,911","5,942","43,595,324","2,935.12","15,133","35,637","50,298","15,186","1,517",847,"212,012",0,"61,965","23,076","285,769","17,070","['Falck', 'Mackay', 'Angel']",ARMSQUADNYPD-TTV
8,215,4.04,26.1%,58.8%,3.88,"381,517","162,719","94,495",1.29,26.08,"8,600","6,025","63,534,208","4,343.63","9,502","42,651","77,438","35,107","13,833","3,047","221,678",0,"94,921","39,708","366,303","15,330","['Sundance', 'Crawford', 'Mackay']",Bili_NYS-LK
9,224,4.55,14.6%,68.6%,4.12,"432,367","195,789","95,081",1.78,36.18,"8,193","3,757","54,661,312","4,574.17","63,340","7,335","48,012","51,187","1,967",892,"56,333",0,"244,002","106,588","392,000","40,390","['Mackay', 'Falck', 'Angel']",SK_Sm0ky24
10,75,2.41,18.8%,56.6%,2.33,"137,402","243,383","56,948",0.55,9.55,"8,145","6,241","18,859,015","1,310.66","25,202","4,694","5,170","20,622",253,"1,228","11,256",0,"84,531","25,193","132,596","4,811","['Falck', 'Mackay', 'Angel']",D3athD3al3r GR
11,289,6.52,30.1%,73.7%,5.85,"385,871","70,622","59,157",2.66,35.81,"7,936","2,836","41,920,641","3,890.55","14,489",733,"39,413","112,581",228,93,"8,605",0,"364,045","9,586","346,158","39,722","['Mackay', 'Irish', 'Crawford']",MAGAThisOne
12,86,1.47,17.4%,58.1%,1.14,"135,233","367,283","92,015",0.52,10.02,"7,843","5,652","22,383,920","1,658.56","38,573","12,611","27,395","4,248","10,982","3,203","91,013",0,"13,965","10,478","105,201","30,084","['Lis', 'Falck', 'Rao']",527CharlieBrown
13,258,2.72,18.5%,63.9%,1.97,"328,233","127,792","120,646",1.97,26.79,"7,831","4,411","42,908,050","3,502.70","51,797","4,737","33,843","50,813","3,646",835,"36,927",0,"236,539","37,729","237,731","90,612","['Falck', 'Angel', 'Boris']",buriburiunti999
14,200,3.25,24.6%,68.4%,3.17,"243,440","72,934","74,975",1.56,21.88,"7,614","3,497","31,118,270","2,797.40","17,248","2,747","13,832","55,285",475,287,"12,633",0,"190,978","33,576","237,977","5,491","['Angel', 'Mackay', 'Falck']",Emistic0
