,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
0,127,2.65,16.9%,56.7%,2.56,"105,988","67,284","40,057",0.88,13.68,"4,393","3,355","15,347,277","1,980.80","16,104","8,017","9,677","8,045","4,218",807,"48,590",0,"27,547","19,986","102,363","3,686","['Boris', 'Irish', 'Crawford']",TNT-Abusador537
1,110,1.46,17.3%,60.7%,1.42,"130,973","166,300","89,592",0.84,18.23,"4,363","2,820","17,273,770","2,404.81","60,424",465,"9,587","18,598",980,"9,255","9,114",0,"84,464","22,864","127,162","3,853","['Falck', 'Irish', 'Dozer']",freddy934
2,160,1.85,24.7%,52.4%,1.65,"145,686","68,458","78,599",1.02,15.75,"4,848","4,399","22,920,788","2,477.92","13,719","5,875","11,286","21,712","4,233","1,378","45,647",0,"86,054","1,996","129,749","15,964","['Angel', 'Crawford', 'Boris']",DON-RYJEK
3,339,3.05,19.3%,67.9%,2.53,"295,100","51,051","96,667",3.14,46.14,"4,341","2,048","31,927,140","4,991.74","9,598",306,"47,915","53,424",380,403,"10,599",0,"225,260","50,882","244,182","50,920","['Sundance', 'Angel', 'Mackay']",Trap DaFirst
4,257,10.22,26.7%,63.3%,3.66,"279,088","102,785","27,308",1.97,40.74,"4,334","2,503","36,373,031","5,309.16","27,617","18,807","55,495","44,190","3,733","3,440","100,855",0,"129,807","35,919","99,854","179,245","['Rao', 'Falck', 'Mackay']",Picko SJ
5,154,4.48,39.6%,52.4%,3.31,"202,560","118,946","45,180",1.00,24.46,"4,339","3,940","31,003,226","3,744.35","4,530","6,039","38,262","24,146",450,64,"124,762",0,"44,598","16,430","149,609","52,992","['Angel', 'Irish', 'Mackay']",LA_BaLLr
6,121,1.62,19.7%,54.0%,1.58,"159,282","211,720","98,517",0.94,19.85,"4,332","3,691","20,562,471","2,562.62","17,404","1,260","17,546","22,957","2,063","1,706","13,479",0,"87,353","29,213","155,909","3,449","['Mackay', 'Sundance', 'Paik']",xHaynesworth
7,251,3.64,23.4%,72.2%,3.52,"246,646","126,103","67,713",2.01,41.25,"4,319","1,660","30,891,201","5,166.62","41,257","5,573","33,133","43,295","2,773",286,"51,721",0,"148,920","35,946","238,352","8,323","['Falck', 'Angel', 'Mackay']",StrykeX2
8,103,3.84,27.1%,87.4%,2.43,"70,902","82,560","18,458",0.74,14.36,"4,319",618,"9,877,430","1,999.88","42,246","2,273","8,995","15,975",148,398,"7,557",0,"50,191","8,755","44,916","25,991","['Angel', 'Irish', 'Mackay']",DouYu-11354727
9,76,0.53,27.0%,65.9%,0.45,"68,268","58,077","128,913",0.47,10.35,"4,343","2,252","11,045,913","1,674.89","4,127","4,152","5,842","10,781","7,906","2,083","20,309",0,"25,892","14,074","57,441","11,265","['Sundance', 'Falck', 'Lis']",44MIME
