,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
0,172,4.07,27.3%,72.1%,3.86,"180,701","113,601","44,371",1.36,20.39,"6,388","2,473","22,785,802","2,571.47","35,071","4,394","9,479","39,667",468,"1,481","23,466",0,"110,806","34,250","171,403","9,334","['Crawford', 'Zain', 'Casper']",Legend_Emith
1,116,1.02,20.8%,53.2%,0.90,"143,758","71,874","141,542",0.93,11.93,"6,417","5,619","17,919,479","1,486.60","10,205",15,"2,581","27,990",7,522,248,0,"122,715","12,090","128,046","15,716","['Mackay', 'Casper', 'Sundance']",TROLLEYC13
2,139,1.64,16.9%,54.3%,1.28,"231,253","149,034","141,398",0.97,19.92,"6,307","5,300","33,176,918","2,858.11","23,386","4,682","23,404","27,606","5,342",552,"46,063",0,"134,723","28,154","180,331","51,506","['Angel', 'Blasco', 'Paik']",FarKinnell
3,346,7.85,19.8%,64.7%,6.73,"459,824","76,720","58,569",2.27,47.21,"6,300","3,440","70,085,820","7,195.67","4,827","54,781","116,730","13,059","2,063",571,"392,051",0,"57,747","8,236","394,113","65,788","['Mackay', 'Falck', 'Crawford']",NerfNightbird
4,206,3.98,24.3%,68.5%,3.87,"211,190","54,419","53,099",1.84,22.93,"6,307","2,895","23,688,937","2,572.09","28,603",64,"8,478","49,596",35,419,845,0,"169,172","34,701","205,364","5,833","['Mackay', 'Angel', 'Falck']",B33R-11_Aztek_11
5,253,20.91,17.3%,67.0%,13.89,"377,888","264,135","18,068",2.16,40.75,"6,212","3,062","44,193,750","4,765.34","22,190","24,470","63,121","29,655","5,552",395,"195,951",0,"139,543","32,310","250,996","126,894","['Irish', 'Angel', 'Falck']",wally009
6,158,2.84,21.4%,62.1%,2.69,"203,889","49,585","71,772",1.35,20.33,"6,230","3,782","23,849,866","2,377.62","34,014",464,"5,853","41,761",392,942,"2,619",0,"180,358","14,894","193,350","10,574","['Falck', 'Mackay', 'Sundance']",Ger-DonPromillo
7,193,2.55,20.4%,55.7%,2.20,"228,635","111,626","89,796",1.29,20.68,"6,163","4,894","34,277,215","3,100.05","25,231","17,981","27,042","25,469","2,282","1,036","85,356",0,"93,359","31,541","197,394","31,320","['Sundance', 'Falck', 'Angel']",EL fLak0oooo
8,212,4.02,22.0%,77.0%,3.91,"244,436","106,159","60,833",1.89,30.80,"6,111","1,824","27,457,466","3,459.86","27,275",500,"16,028","51,423",67,"4,063","3,791",0,"183,709","49,728","237,944","6,497","['Mackay', 'Falck', 'Dozer']",TRIP-M0Le
9,276,3.48,19.8%,66.8%,3.28,"391,218","174,255","112,459",2.00,43.07,"6,069","3,013","53,969,117","5,941.12","6,862","25,798","73,689","38,859","1,232",104,"185,581",0,"155,318","41,365","368,886","22,420","['Sundance', 'Blasco', 'Lis']",Viccta
10,249,2.94,26.7%,60.9%,2.86,"323,900","158,303","110,067",1.52,32.82,"6,010","3,858","53,017,810","5,372.70","8,570","19,820","56,673","49,085","4,160","1,204","119,793",0,"123,215","60,882","314,516","9,515","['Angel', 'Sundance', 'Mackay']",WOOJIUSHIXIANG
11,252,4.60,19.0%,72.5%,4.45,"291,272","72,938","63,280",2.34,35.44,"5,960","2,258","31,349,960","3,814.79","50,682",132,"16,084","52,957",234,205,"1,787",0,"203,670","74,754","281,384","9,888","['Mackay', 'Falck', 'Zain']",Hakamoto91
12,113,1.85,26.2%,55.3%,1.64,"91,323","84,194","49,353",0.56,8.32,"6,063","4,907","18,264,951","1,664.69","7,556","16,562","11,962","9,806","3,561",809,"45,266",0,"27,666","9,786","80,963","10,416","['Boris', 'Angel', 'Mackay']",F8tlSting
13,168,2.23,19.2%,64.6%,1.97,"172,125","103,490","77,106",1.20,18.69,"5,946","3,259","24,198,081","2,627.37","26,936","2,768","11,694","24,366","3,367","1,013","13,890",0,"99,905","27,296","151,797","20,469","['Boris', 'Rao', 'Angel']",OGLATINRAMBO569
14,155,4.75,28.1%,70.6%,4.54,"249,666","131,150","52,608",1.14,29.68,"5,940","2,471","33,843,628","4,023.73","7,808","13,750","37,409","41,971","1,143",416,"82,581",0,"125,506","23,988","238,754","10,974","['Paik', 'Sundance', 'Zain']",aa3my
15,49,0.72,18.2%,48.3%,0.67,"86,041","48,185","119,321",0.39,7.03,"5,911","6,326","10,825,399",884.64,"43,862",34,"3,297","15,064","1,590",311,"2,001",0,"61,641","20,963","79,521","6,524","['Falck', 'Lis', 'Sundance']",DieZahl
16,183,2.93,21.8%,77.2%,2.63,"138,287","63,217","47,229",1.46,18.03,"5,916","1,752","17,375,873","2,266.02","20,963",416,"13,036","25,804",92,434,"8,108",0,"92,413","26,094","124,416","13,872","['Falck', 'Angel', 'Sundance']",gera021
