,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
0,174,1.72,20.2%,60.9%,1.63,"258,857","143,535","150,165",1.36,32.41,"4,863","3,123","33,088,415","4,142.78","8,459","1,994","28,941","38,664","3,580",231,"42,040",0,"130,235","61,039","245,401","13,506","['Mackay', 'Sundance', 'Paik']",0s_m4x4c4r3
1,315,5.20,17.6%,63.6%,4.03,"256,512","51,572","49,287",2.51,52.34,"3,119","1,780","32,219,105","6,573.99","4,049","12,320","45,382","32,556",327,561,"65,767",0,"146,511","38,813","198,664","57,862","['Mackay', 'Irish', 'Angel']",MRcainia0
2,199,4.43,24.0%,64.3%,2.75,"254,441","149,850","57,484",1.75,28.12,"5,819","3,158","28,920,827","3,196.02","54,838","5,093","49,369","51,010",883,"1,984","34,261",0,"160,352","52,489","157,880","96,566","['Falck', 'Rao', 'Angel']",SAT_Viboy
3,307,4.80,15.4%,69.5%,4.64,"254,319","76,765","53,021",2.83,57.98,"3,047","1,339","27,648,991","6,303.92","10,849","1,024","36,939","32,760",410,"2,153","18,837",0,"176,540","36,399","246,025","8,301","['Mackay', 'Paik', 'Falck']",lVerSwagg
4,261,4.94,28.2%,64.4%,4.68,"253,362","80,414","51,277",2.17,52.51,"3,106","1,719","30,414,293","6,303.48","18,260","6,293","26,198","52,908",286,244,"54,156",0,"153,453","34,005","239,810","13,584","['Falck', 'Mackay', 'Lis']",Accidege
5,211,3.05,21.2%,59.1%,2.75,"251,667","71,746","82,533",1.86,33.57,"4,432","3,052","28,564,569","3,810.13","50,832",100,"22,570","51,171",135,"1,058",970,0,"209,095","32,549","226,988","24,679","['Falck', 'Mackay', 'Lis']",-wMpZz-
6,217,4.74,16.8%,66.1%,1.14,"251,818","44,376","53,150",1.99,45.48,"3,661","1,876","27,422,714","4,952.63","6,090",654,"31,112","36,012",996,"5,371","7,599",0,"204,653","9,943","60,845","191,353","['Boris', 'Dozer', 'Lis']",skjLLz_
7,214,9.26,26.4%,61.6%,7.73,"250,022","233,779","27,012",1.76,32.76,"4,703","2,927","30,306,740","3,971.53","60,422",239,"12,620","60,598",62,188,"1,936",0,"215,908","13,246","208,819","41,205","['Falck', 'Paik', 'Irish']",BillyTheKid3434
8,155,4.75,28.1%,70.6%,4.54,"249,666","131,150","52,608",1.14,29.68,"5,940","2,471","33,843,628","4,023.73","7,808","13,750","37,409","41,971","1,143",416,"82,581",0,"125,506","23,988","238,754","10,974","['Paik', 'Sundance', 'Zain']",aa3my
9,287,4.58,18.1%,72.4%,4.35,"248,300","93,001","54,257",2.35,49.01,"3,668","1,397","30,246,942","5,970.58","19,963","6,761","24,202","34,261",552,112,"56,188",0,"155,610","33,961","235,832","12,469","['Falck', 'Mackay', 'Angel']",TTV_The_Van
10,251,2.43,23.6%,61.1%,2.33,"247,361","65,121","101,932",1.94,36.34,"4,162","2,643","32,016,421","4,703.46","17,546","6,209","24,543","44,797","1,060","1,071","38,806",0,"153,636","36,499","237,058","10,317","['Mackay', 'Angel', 'Falck']",VLKRxAntonAlonso
11,323,8.65,14.9%,77.0%,7.73,"248,134","51,351","28,681",3.11,50.36,"3,796","1,129","25,812,130","5,238.91","17,747",60,"16,946","36,172",6,492,693,0,"220,591","21,617","221,836","26,298","['Mackay', 'Falck', 'Lis']",EuJogoMinecraft_
12,198,5.64,17.1%,68.7%,5.42,"246,383","65,435","43,648",1.80,30.20,"5,608","2,550","27,084,145","3,319.54","85,569",229,"8,921","40,408",569,221,"3,362",0,"185,233","50,462","236,431","9,954","['Falck', '1942 Assault', 'Mackay']",TGM_sSHOTOo
13,268,2.90,30.5%,67.6%,2.74,"245,996","67,480","84,818",2.29,30.20,"5,503","2,632","28,800,743","3,536.00","12,987",397,"12,667","70,490",104,475,"7,101",0,"207,679","23,808","232,778","13,236","['Mackay', 'Falck', 'Lis']",EN_BIGxMIKE
14,251,3.64,23.4%,72.2%,3.52,"246,646","126,103","67,713",2.01,41.25,"4,319","1,660","30,891,201","5,166.62","41,257","5,573","33,133","43,295","2,773",286,"51,721",0,"148,920","35,946","238,352","8,323","['Falck', 'Angel', 'Mackay']",StrykeX2
15,262,7.32,24.5%,69.1%,6.90,"245,081","77,214","33,486",2.07,43.92,"3,858","1,718","31,021,488","5,559.41","11,345","12,742","33,873","38,673",616,303,"76,053",0,"128,583","29,565","231,202","13,914","['Falck', 'Crawford', 'Zain']",I-cRueLzZ-I
