,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
0,229,4.05,17.4%,70.4%,3.81,"273,611","137,679","67,564",1.82,36.70,"5,251","2,204","34,359,642","4,608.32","51,062","5,097","31,344","36,820","4,395","2,427","48,317",0,"153,558","58,449","257,619","16,020","['Falck', 'Sundance', 'Angel']",1AUJLA_TTV
1,239,2.91,18.2%,64.2%,2.84,"277,468","63,663","95,233",1.99,40.63,"4,386","2,441","33,334,246","4,881.28","17,859",343,"18,933","47,312",124,597,"3,285",0,"223,974","35,819","270,419","7,058","['Mackay', 'Zain', 'Sundance']",TTV__XDCMADMAX
2,248,4.00,24.7%,71.6%,3.90,"269,519","95,960","67,319",1.87,37.04,"5,211","2,065","35,808,068","4,921.39","9,179","15,727","31,502","47,209",726,762,"54,296",0,"151,685","39,670","262,479","7,063","['Sundance', 'Mackay', 'Falck']",COG_Botchyheart
3,140,2.26,22.3%,54.1%,2.15,"276,326","321,314","122,092",1.01,21.59,"6,927","5,871","38,379,322","2,998.85","57,653","8,509","23,912","47,052",989,"1,820","45,762",0,"163,113","47,791","262,985","13,439","['Blasco', 'Angel', 'Falck']",Darejang
4,315,5.20,17.6%,63.6%,4.03,"256,512","51,572","49,287",2.51,52.34,"3,119","1,780","32,219,105","6,573.99","4,049","12,320","45,382","32,556",327,561,"65,767",0,"146,511","38,813","198,664","57,862","['Mackay', 'Irish', 'Angel']",MRcainia0
5,339,8.46,21.3%,62.3%,8.22,"264,911","49,864","31,323",2.51,53.18,"3,103","1,877","35,673,293","7,161.87","4,040","22,098","63,610","7,266",572,94,"228,375",0,"30,811","3,370","257,602","7,335","['Mackay', 'Falck', 'Lis']",-AC-JubaBirdMan
6,200,3.25,24.6%,68.4%,3.17,"243,440","72,934","74,975",1.56,21.88,"7,614","3,497","31,118,270","2,797.40","17,248","2,747","13,832","55,285",475,287,"12,633",0,"190,978","33,576","237,977","5,491","['Angel', 'Mackay', 'Falck']",Emistic0
7,211,3.05,21.2%,59.1%,2.75,"251,667","71,746","82,533",1.86,33.57,"4,432","3,052","28,564,569","3,810.13","50,832",100,"22,570","51,171",135,"1,058",970,0,"209,095","32,549","226,988","24,679","['Falck', 'Mackay', 'Lis']",-wMpZz-
8,260,6.63,42.5%,70.4%,6.27,"283,009","76,322","42,662",2.29,52.66,"3,781","1,588","32,022,049","5,958.70","15,415",549,"16,814","113,551",75,199,"9,680",0,"203,712","63,406","267,296","15,713","['Mackay', 'Falck', 'Angel']",Cpt-Joooooooe
9,218,2.79,19.0%,56.8%,2.73,"280,465","82,373","100,478",1.92,42.21,"3,771","2,873","31,824,395","4,789.95","19,187",166,"16,936","48,621",621,247,"2,750",0,"218,825","36,820","273,876","6,593","['Sundance', 'Falck', 'Mackay']",MyEuth
10,307,3.28,24.7%,72.3%,3.14,"243,536","81,438","74,259",2.57,53.15,"3,315","1,267","29,161,239","6,364.30","20,924","1,117","33,073","52,340",449,"12,626","16,010",0,"146,666","65,655","233,330","10,214","['Dozer', 'Mackay', 'Falck']",no3hills
11,279,6.60,19.7%,61.7%,6.39,"240,309","63,619","36,420",1.82,30.10,"4,922","3,061","36,803,946","4,610.29","27,230","40,097","49,992","10,625","9,612",187,"177,784",0,"43,270","10,678","232,765","7,580","['Falck', 'Irish', 'Sundance']",BumAsButters
