,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
0,140,1.60,27.5%,54.9%,1.53,"119,835","54,654","75,055",0.90,14.40,"4,565","3,753","18,646,366","2,241.15","19,476","3,204","7,685","21,561","2,883","1,273","29,041",0,"64,271","14,120","114,825","5,018","['Angel', 'Boris', 'Crawford']",overpesa
1,283,8.92,23.4%,72.2%,8.48,"328,180","184,081","36,787",2.42,56.86,"4,166","1,605","38,369,586","6,647.54","6,461","20,422","98,378","14,464",337,899,"261,657",0,"57,680","4,095","311,892","16,295","['Zain', 'Mackay', 'Lis']",TOMBSTONE_ADEM
2,251,2.43,23.6%,61.2%,2.33,"247,514","65,154","101,968",1.94,36.34,"4,166","2,643","32,035,166","4,703.45","17,551","6,220","24,556","44,819","1,061","1,072","38,869",0,"153,701","36,518","237,209","10,319","['Mackay', 'Angel', 'Falck']",VLKRxAntonAlonso
3,13,4.50,65.2%,42.4%,4.45,"13,692","76,646","3,040",0.07,1.38,"4,222","5,735","2,601,066",261.23,79,336,220,"8,102",7,5,"1,012",0,"8,307","4,112","13,514",178,"['Casper', 'Rao', 'Boris']",Vi-ka75
4,90,1.44,23.5%,53.7%,1.32,"103,796","85,528","72,210",0.64,13.11,"4,250","3,669","14,478,033","1,828.27","27,703","1,707","6,811","19,004",838,"1,389","10,728",0,"59,514","21,306","95,238","8,606","['Mackay', 'Boris', 'Crawford']",Petrosco
5,114,1.78,22.8%,52.8%,1.57,"143,101","84,775","80,410",0.81,17.46,"4,328","3,870","20,172,895","2,460.71","21,765","1,792","8,335","26,455",616,"1,925","9,958",0,"88,273","27,953","126,183","17,006","['Crawford', 'Angel', 'Mackay']",ekberg-hege
6,109,2.30,20.8%,51.6%,2.15,"138,707","95,212","60,351",0.80,17.23,"4,152","3,898","18,978,477","2,357.57","32,367","4,767","12,161","18,602","3,518","1,358","38,500",0,"84,044","5,597","129,941","8,810","['Angel', 'Mackay', 'Falck']",CVR6IIIrdINF
7,90,1.65,21.1%,49.6%,1.47,"111,165","50,518","67,497",0.67,13.29,"4,148","4,217","14,909,655","1,782.17","20,154","1,031","7,075","20,350",426,"1,830","8,008",0,"88,960","7,537","99,262","11,930","['Crawford', 'Lis', 'Sundance']",DBLOCK3300
8,162,2.08,21.1%,62.1%,2.00,"131,542","52,062","63,111",1.30,19.76,"4,133","2,522","16,364,165","2,458.56","33,607",311,"6,122","24,360",108,387,"4,438",0,"100,721","14,648","126,162","5,387","['Falck', 'Mackay', 'Angel']",dezelfde791wraak
9,67,1.31,23.3%,51.7%,1.17,"56,561","88,008","43,123",0.45,6.68,"4,381","4,085","8,449,729",997.96,"29,793","1,717","3,047","9,240","1,257",423,"10,762",0,"33,677","6,045","50,249","6,340","['Angel', 'Rao', 'Irish']",ouss01
