,Player Name,Top Operator 1,Top Operator 2,Top Operator 3
0,wongtung2046,THERMITE,MUTE,HIBANA
1,Silent_Buddha_,THERMITE,ROOK,BANDIT
2,Spxrou,LESION,THATCHER,JÄGER
3,TAC0V1K1NG,KAPKAN,FUZE,SLEDGE
4,SpeedyTheMonkeyy,ASH,JÄGER,TWITCH
5,F-Y-Y-F-F,JACKAL,ROOK,GLAZ
6,Vulixe,JÄGER,ASH,TWITCH
7,Kingmorhaf,JACKAL,ELA,JÄGER
8,TL Syzygy,ASH,JÄGER,BANDIT
9,MAIK--DEVED,IQ,JÄGER,FROST
10,TxLvi,JÄGER,ASH,ZOFIA
11,Linkrho98,JÄGER,BUCK,ASH
12,zPykachu,JÄGER,ASH,BANDIT
13,handy0502,THERMITE,MUTE,THATCHER
14,zLukiTaaa__,JÄGER,LESION,BANDIT
15,Praughdigy,ASH,JÄGER,BLACKBEARD
16,ALMAR_RJ,VALKYRIE,JÄGER,THERMITE
17,StannicLB,VALKYRIE,ASH,PULSE
18,PAPI CHULO 157,ASH,BANDIT,ELA
19,Justinmillares,GRIDLOCK,FROST,SLEDGE
20,sasukelosgame,CAVEIRA,VALKYRIE,ASH
21,Killa_BiIlz,BLACKBEARD,JÄGER,DOC
22,John_W1cK_,DOC,AMARU,VALKYRIE
23,Fenosrov,ASH,JÄGER,MOZZIE
24,HarIows,FROST,HIBANA,JÄGER
25,TheAnimeWeeb,HIBANA,BANDIT,ASH
26,Kapkan,THERMITE,PULSE,JÄGER
27,jams_93,PULSE,SLEDGE,THERMITE
28,Lud0-R6Yt,DOC,BLITZ,TWITCH
29,PortugeseBULL1,SLEDGE,ASH,CAVEIRA
30,BBMccccc,BANDIT,JÄGER,BUCK
31,ChanGaEr-.,ASH,JÄGER,DOC
32,vLxssye,ASH,JÄGER,VALKYRIE
33,iLetyoudown,ASH,BANDIT,JÄGER
34,tqguuuu-nikukai,GSG 9,FBI SWAT,SAS
35,OG-Kush-420G,JÄGER,BANDIT,ASH
36,LIFE IS 1964,MUTE,THATCHER,THERMITE
37,M1nd0F,SMOKE,BANDIT,THERMITE
38,H3cK1nG.-,ASH,CAVEIRA,TWITCH
39,SUICIDE-SQUAD-ID,JÄGER,BANDIT,ASH
40,SniperGiody360,JÄGER,ASH,TWITCH
41,TiM-_-CliO,FROST,FUZE,LESION
42,YuIdav,TWITCH,HIBANA,JÄGER
43,Pandae-,ASH,JÄGER,HIBANA
44,bahram.ffx,SLEDGE,VALKYRIE,HIBANA
45,Sg_WeiserLeiter,TWITCH,BANDIT,BUCK
46,Arikaras72,BANDIT,THERMITE,CASTLE
47,Nakaj1ma_youko,FROST,BANDIT,KAPKAN
48,Gingyl,ASH,HIBANA,VALKYRIE
49,byALEX05,JÄGER,ZOFIA,BLACKBEARD
50,SNAK5116,ASH,CAVEIRA,VIGIL
51,MTNEERMAFIA,LESION,SLEDGE,ACE
52,,,,
53,RoxcIis,ASH,JÄGER,LESION
54,Rogu3..,JACKAL,SMOKE,BUCK
55,Juggernaut WZRD,ELA,CAVEIRA,VALKYRIE
56,HongKongDoll-.,ASH,LESION,DOC
57,ID-QUAKER,JÄGER,TWITCH,THERMITE
58,Fraqger,JÄGER,TWITCH,ASH
59,g3offrey,ASH,TWITCH,ELA
60,Kernal.Panic,THERMITE,FROST,ASH
61,Torakuroo,ASH,JÄGER,BANDIT
62,Spoken Voltz,DOC,TWITCH,KAPKAN
63,QueenLylo,SLEDGE,THERMITE,BANDIT
64,W2Abood,JÄGER,ASH,TWITCH
65,EnvyTaylor.FOX,ASH,SMOKE,JÄGER
66,ReckfulTracerxx,SLEDGE,ASH,VIGIL
67,nuke__d,BANDIT,JÄGER,HIBANA
68,xSako7,ZOFIA,LESION,THERMITE
69,WhatRYouAimingAt,JÄGER,THERMITE,TWITCH
70,ZEEROO94,JACKAL,FROST,LESION
71,JaveAsarais,THERMITE,TWITCH,ASH
72,ALiENSMOKEZ,BLITZ,JÄGER,PULSE
73,CQB BEAST322,JÄGER,THERMITE,THATCHER
74,Ima Buck It,ASH,JÄGER,THERMITE
75,AngWolf_SYG,HIBANA,BANDIT,SMOKE
76,ll-Squog-ll,BUCK,ROOK,SMOKE
77,AIienista,JÄGER,TWITCH,ASH
78,TwiXxoTwisT,TWITCH,JÄGER,ASH
79,EGGTick_-,THERMITE,SMOKE,ROOK
80,tgL.MetalBars,HIBANA,SMOKE,ASH
81,ccdoc7556,ZOFIA,CASTLE,THERMITE
82,Vardaii,BANDIT,ASH,THERMITE
83,ST4BLE,TWITCH,CAVEIRA,ASH
84,KrypTic Runner,ASH,JÄGER,BANDIT
85,zGonzaaGoomez,JÄGER,ASH,BANDIT
86,Retro vs Geek,IQ,TWITCH,BANDIT
87,AegisZ,DOC,JÄGER,TWITCH
88,QueenMeep.,TWITCH,BUCK,IQ
89,Superbatman6348,CAVEIRA,ELA,SLEDGE
90,KOTOHIME-,ZOFIA,BANDIT,DOC
91,l_am_Krypton,BANDIT,THERMITE,ASH
92,anewhorizon,VALKYRIE,SLEDGE,BUCK
93,Spanishcow,ROOK,FBI SWAT,THATCHER
94,YFY.,MONTAGNE,FROST,ALIBI
95,,,,
