,Player Name,Top Operator 1,Top Operator 2,Top Operator 3
0,lGhostdog,JÄGER,LESION,SLEDGE
1,TheCanon41boh,JÄGER,ASH,TWITCH
2,Apple.26,VALKYRIE,SLEDGE,MAESTRO
3,thamizinhaa,FROST,THATCHER,THERMITE
4,I_Make_U_Spizy,CAVEIRA,TWITCH,HIBANA
5,Lunaar v,JÄGER,ASH,BANDIT
6,PxwrPvff,TWITCH,JÄGER,VIGIL
7,X Goblin7,FROST,SLEDGE,FUZE
8,ElRefugio,ROOK,SMOKE,CAVEIRA
9,WillyKat-,CAVEIRA,HIBANA,IQ
10,Traclks,ASH,JÄGER,BANDIT
11,boshwickbohagan,THERMITE,SLEDGE,ROOK
12,Sym Monster,JÄGER,ASH,DOC
13,roomtempcoffee,HIBANA,SMOKE,ASH
14,DDDDandySecret.,ASH,SLEDGE,BANDIT
15,PanInkoGnittO,ASH,SLEDGE,KAPKAN
16,Crystal.Cc,ASH,SLEDGE,ZOFIA
17,CR7BaiYe,ZOFIA,FROST,GLAZ
18,GlynFidditch,SMOKE,HIBANA,ASH
19,Legalllyblind,FROST,CAVEIRA,HIBANA
20,serejka_2011,ASH,JÄGER,ROOK
21,Im-VoN,JÄGER,ASH,THERMITE
22,Scorpeex,JÄGER,ASH,TWITCH
23,Finland_Attacker,JÄGER,ASH,BANDIT
24,HyperactiveGirl,TWITCH,FROST,JÄGER
25,IN O IR ID,BANDIT,THERMITE,THATCHER
26,wMryw,ASH,VIGIL,JÄGER
27,Awn Drayy,JÄGER,ASH,TWITCH
28,xSp1derp1gxx,JACKAL,VALKYRIE,MUTE
29,Derechapi,DOC,SLEDGE,ROOK
30,SinnerChill,THERMITE,BANDIT,ASH
31,TestierGraph,CAVEIRA,CLASH,BLACKBEARD
32,X-KingKoala-X,ASH,JÄGER,TWITCH
33,CAMENBERTLION1,ASH,VIGIL,JÄGER
34,Niklerator,ASH,JÄGER,BANDIT
35,SantaKJIAYC,KAPKAN,FINKA,FUZE
36,nwzne,ASH,TWITCH,JÄGER
37,SugR_n8.-,JÄGER,BANDIT,ASH
38,ItzMrDeee,ASH,JÄGER,THERMITE
39,FOMA-MOMO,SLEDGE,ASH,DOC
40,zMancuzZa,ASH,BANDIT,JÄGER
41,bSwiifty,THERMITE,THATCHER,HIBANA
42,iQuake_V8,ASH,SLEDGE,BANDIT
43,Bruh_Nate_,JÄGER,IQ,ASH
44,EdgarAllanPorg,SLEDGE,VALKYRIE,ROOK
45,ICONA POP 420,ORYX,FUZE,THERMITE
46,,,,
47,vArxqz,JÄGER,THERMITE,BANDIT
48,M-_-YoDa_,JÄGER,ASH,TWITCH
49,MightyChicken007,THERMITE,HIBANA,LESION
50,IILostrandomll,JÄGER,ASH,LESION
51,Trusty_Elric,TWITCH,SMOKE,ELA
52,TwRn444,JÄGER,ASH,LESION
53,Qoaa KiX,LESION,ASH,AMARU
54,tgL.Swake,THERMITE,VALKYRIE,BANDIT
55,CosmicFlower1991,THERMITE,THATCHER,DOC
56,ETM99--,SMOKE,JÄGER,ASH
57,Shout_UP,THERMITE,JÄGER,FROST
58,ilLuuKzz,ASH,JÄGER,VALKYRIE
59,SgtSmallFace,JÄGER,TWITCH,THERMITE
60,Nomad Streicher,ASH,JÄGER,TWITCH
61,Montagne_R6s_,MONTAGNE,CAVEIRA,ASH
62,FortyS.,JACKAL,BANDIT,SLEDGE
63,DuffProdz_,SLEDGE,BANDIT,JÄGER
64,SpaceMonkey_PR,CAVEIRA,ASH,JÄGER
65,turko119,CAVEIRA,KAPKAN,FUZE
66,Dreuzx,VALKYRIE,TWITCH,ASH
67,Sporadic Sully,THATCHER,MUTE,FROST
68,fisher_boat,ASH,BANDIT,JÄGER
69,Motchon_,THERMITE,JÄGER,SLEDGE
70,ReesesAreGoodOMG,GSG 9,SLEDGE,FBI SWAT
71,Fake-_-SmiIe,ASH,JÄGER,HIBANA
72,Kheyz3x,JÄGER,ASH,THERMITE
73,tangtang219,ASH,BANDIT,JÄGER
74,MRcredo7,MONTAGNE,FROST,TWITCH
75,Aw22h5Z,ASH,VIGIL,BANDIT
76,III-DIMARIK-III,JÄGER,THERMITE,BANDIT
77,OpposedAtom5503,JÄGER,BANDIT,HIBANA
78,KervinJr,ASH,HIBANA,JÄGER
79,Vespertus.,BANDIT,THERMITE,SLEDGE
80,Murky.REBORN,BANDIT,ASH,JÄGER
81,Il-ONAGA-Il,KAPKAN,VALKYRIE,FROST
82,LowlySoul,SLEDGE,VIGIL,BUCK
83,Love Killin,THERMITE,CAVEIRA,JACKAL
84,FENRRIR-_-,THERMITE,DOC,JÄGER
85,Gamer.0.,FROST,ASH,THERMITE
86,Belenos279,FROST,TWITCH,MUTE
87,VillainInBlue,ROOK,FUZE,ASH
88,Dizel_Max,BANDIT,THERMITE,SLEDGE
89,,,,
