,Player Name,Top Operator 1,Top Operator 2,Top Operator 3
0,zFanfarrao,TWITCH,THERMITE,BANDIT
1,x.C.H.R.I.S.x,ASH,LESION,ZOFIA
2,ZootvonKlaus,ROOK,THERMITE,DOKKAEBI
3,x ranl x,ROOK,IQ,FINKA
4,B U T C H E R,BLITZ,THERMITE,FROST
5,pwnwallius,JÄGER,HIBANA,BANDIT
6,FANG799,THERMITE,FROST,KAPKAN
7,LV17Luwis,SLEDGE,JÄGER,BANDIT
8,Blood Artist,JÄGER,ASH,TWITCH
9,NoboIe,JÄGER,TWITCH,DOC
10,Bembah,BANDIT,JÄGER,THERMITE
11,lPhobos,JÄGER,ASH,VALKYRIE
12,Thatasianguy12,THERMITE,JÄGER,BUCK
13,,,,
14,,,,
15,Merkwr,ASH,JÄGER,BANDIT
16,ROG_TiTaN,CAVEIRA,ASH,ZOFIA
17,TREP-.,LESION,HIBANA,JACKAL
18,vGirlI,ASH,BANDIT,JÄGER
19,tk060705,SMOKE,SLEDGE,BUCK
20,MacieJay,BUCK,PULSE,SMOKE
21,x2urkiii,JÄGER,ASH,BANDIT
22,ATKLongGong,ASH,JÄGER,DOC
23,x7sam1,VALKYRIE,LESION,ACE
24,OpaHildegard.VO,BUCK,ASH,BANDIT
25,ComendaTrom,JÄGER,ASH,BANDIT
26,xSWAT_OF_lRAQx,JÄGER,ASH,TWITCH
27,,,,
28,Y7osf,VIGIL,JÄGER,ASH
29,,,,
30,AImondy,ASH,JÄGER,BANDIT
31,Ziddyboi-,ROOK,THERMITE,BANDIT
32,NIRVlA,TWITCH,ELA,ASH
33,Kpt_Keif,GSG 9,ASH,BANDIT
34,Hurri-86,THERMITE,ASH,TWITCH
35,,,,
36,BatoreTrom,JÄGER,BANDIT,SLEDGE
37,Super_____,JÄGER,SLEDGE,BUCK
38,GreenArmyMan69,THERMITE,ROOK,JÄGER
39,JOKER_begins,VALKYRIE,ASH,ROOK
40,,,,
41,,,,
42,,,,
43,I Raagnar,ASH,JÄGER,CAVEIRA
44,Booelol,JÄGER,TWITCH,SLEDGE
45,SpookyKoolaidz,JÄGER,GLAZ,BLITZ
46,SixStarMachine,ASH,JÄGER,PULSE
47,,,,
48,,,,
49,MapIe_Apache,BANDIT,JÄGER,ASH
50,BzAsh.GIS,ASH,SLEDGE,JÄGER
51,Kawazexy,JÄGER,BANDIT,ASH
52,ii30RY,SMOKE,FUZE,JACKAL
53,ZOFIA-,ELA,ASH,BANDIT
54,frostyorb,MUTE,THERMITE,THATCHER
55,ElGiulio,ASH,JÄGER,KAPKAN
56,,,,
57,RAGEnaldo.144Hz,FROST,THATCHER,SLEDGE
58,Duddi,ASH,DOC,JÄGER
59,jokerstar,FROST,TWITCH,ASH
60,MasturNayter,DOC,BLITZ,THERMITE
61,Crazyteacher963,FROST,SLEDGE,LESION
62,TBatist,HIBANA,VALKYRIE,THERMITE
63,SOG GUMBALL,KAPKAN,FUZE,ELA
64,Leland1989,ROOK,THERMITE,BANDIT
65,lII-Nicassio-lII,JÄGER,ASH,VIGIL
66,Strelnq,SLEDGE,JÄGER,ELA
67,lRIGaM0RTiz-vV,HIBANA,JÄGER,BANDIT
68,Dfletcher,THERMITE,JÄGER,VALKYRIE
69,,,,
70,Insolint,TWITCH,JÄGER,PULSE
71,KEISER,THATCHER,MUTE,ASH
72,,,,
73,KiLLeRr1-,SLEDGE,JÄGER,ASH
74,C.M.E.T.A.H.K.A,ACE,THERMITE,LESION
75,DUD3isNASTY,ASH,PULSE,BANDIT
76,ATH-Lunastra,ASH,FROST,BUCK
77,,,,
78,JNiicks,BANDIT,SLEDGE,JACKAL
79,M3AYDIN,PULSE,ASH,SMOKE
80,rider-250r,GSG 9,CAVEIRA,JACKAL
81,SHANTRAH,VALKYRIE,CAVEIRA,PULSE
82,M9.-,TWITCH,ZOFIA,BANDIT
83,lLennoxI,ASH,PULSE,MUTE
84,MOR_MOHAMMAD,LESION,JACKAL,VALKYRIE
85,,,,
86,RELOADED-K9,JÄGER,BANDIT,ELA
87,,,,
88,Putins1Horn,THERMITE,VIGIL,DOC
89,DWEx ROBHOOD,FROST,KAPKAN,CAVEIRA
90,nqkqx,ASH,JÄGER,BANDIT
91,Il713lI-SkyL1ne,ROOK,TWITCH,ASH
92,JERRY-TO-97,TWITCH,CAVEIRA,BUCK
93,qZentorix,BANDIT,TWITCH,CAVEIRA
94,Dzkota,JÄGER,ASH,THERMITE
95,DannyKiIIa,JÄGER,ASH,BANDIT
96,MraznyVilku,BANDIT,JÄGER,ASH
97,kill_th-Devil,VALKYRIE,CLASH,FUZE
98,,,,
99,,,,
100,,,,
