,Player Name,Top Operator 1,Top Operator 2,Top Operator 3
0,Obe2d,JÄGER,TWITCH,VIGIL
1,IIPFII,JÄGER,TWITCH,ASH
2,iDevilize,HIBANA,SLEDGE,TWITCH
3,TOMITOMAnic,THERMITE,ACE,BANDIT
4,SIR GQSMOOVE,FROST,FUZE,THATCHER
5,mandarino12235,CAVEIRA,THERMITE,JACKAL
6,,,,
7,Dan3041.NW,JÄGER,THERMITE,ASH
8,Luruni,JÄGER,ASH,BANDIT
9,WOW_IcantAIM_23,BANDIT,HIBANA,ASH
10,DustyKnackers,THERMITE,VALKYRIE,THATCHER
11,SchleK1nG,JACKAL,THERMITE,LESION
12,Hidenori_Saitou,MIRA,KALI,ROOK
13,Zed.Smurf,DOC,TWITCH,ROOK
14,KiNgVCsAm03,FROST,ASH,THERMITE
15,EMILYRATAJKOWSKl,ASH,TWITCH,JÄGER
16,Killinda,MUTE,THATCHER,THERMITE
17,,,,
18,gup_mako_,SAS,GSG 9,FBI SWAT
19,II VxGETA II,LESION,VALKYRIE,GRIDLOCK
20,Smack-zak,ASH,JÄGER,ELA
21,Punk_Deer.,ASH,TWITCH,BANDIT
22,lGodzy,ASH,JÄGER,BANDIT
23,GItxh,JÄGER,ASH,LESION
24,GeneralTheOG,VALKYRIE,JÄGER,ASH
25,,,,
26,Xyliganka_,SLEDGE,ASH,ZOFIA
27,Revy minds,JÄGER,JACKAL,VALKYRIE
28,X_X_XT3NTACI00N,ASH,JÄGER,TWITCH
29,LEVIJR2014,THERMITE,PULSE,CAVEIRA
30,,,,
31,oMuLm,TWITCH,BANDIT,JÄGER
32,OGofSiege,SLEDGE,BANDIT,IQ
33,xScxry7,JACKAL,KAPKAN,LESION
34,inf9mous,JÄGER,ZOFIA,ASH
35,ChainsOfCorax,JACKAL,SLEDGE,JÄGER
36,OneOldXia.,TWITCH,HIBANA,BANDIT
37,iiHoNesTy,ASH,BANDIT,JÄGER
38,EbyteYT,BANDIT,THATCHER,JÄGER
39,,,,
40,,,,
41,FenriR_TheMiz,BANDIT,SLEDGE,JÄGER
42,Arab sK1iIs,ASH,JÄGER,BANDIT
43,Canical,JÄGER,ASH,TWITCH
44,TheuzDELICIO,VALKYRIE,ASH,TWITCH
45,cheesepie37,THERMITE,SMOKE,BANDIT
46,Lav9sh,ASH,JÄGER,BANDIT
47,starscrying,MUTE,THERMITE,THATCHER
48,,,,
49,zMotxBoy,JÄGER,ASH,TWITCH
50,Kaf-Sin-Kaf,TWITCH,VALKYRIE,PULSE
51,KillerUnit82,KAPKAN,LESION,TWITCH
52,Morphxeus,THERMITE,JÄGER,HIBANA
53,,,,
54,Ytica,ASH,JÄGER,TWITCH
55,CoIIada,JÄGER,ASH,TWITCH
56,BoarS.Sin-7Ds,CAVEIRA,ASH,SLEDGE
57,,,,
58,,,,
59,BoarS.Sin-7Ds,CAVEIRA,ASH,SLEDGE
60,mai esistito,JÄGER,ASH,BANDIT
61,TwizzyCriptd,JÄGER,ASH,BANDIT
62,JOS3PF,DOC,CAVEIRA,ZOFIA
63,To1n0juuu,VALKYRIE,HIBANA,LESION
64,Tomaszeu-PL,THERMITE,MUTE,ASH
65,makadipalace1978,JÄGER,ASH,BANDIT
66,Redskins Eze,SLEDGE,KAPKAN,JÄGER
67,sealsniper001,FROST,KAPKAN,FUZE
68,CoreLabRat,CAVEIRA,BLITZ,JACKAL
69,jefesz,TWITCH,BANDIT,DOC
70,WHOSEmxns,TWITCH,ASH,JÄGER
71,RoHL1nG,ASH,JÄGER,ELA
72,,,,
73,,,,
74,,,,
75,Filthy6,VALKYRIE,TWITCH,BANDIT
76,l-Zul_Qarnayn-l,ASH,BLITZ,ECHO
77,HTX_Ru7h13zz,FINKA,CAVEIRA,ASH
78,myslina7,JÄGER,TWITCH,ASH
79,SPQQPY,JÄGER,SLEDGE,BANDIT
80,zxart001,VALKYRIE,ASH,ELA
81,,,,
82,mehmet0883,ASH,JÄGER,BANDIT
83,Rusty,JÄGER,ASH,BUCK
84,Nctd,ASH,JÄGER,VIGIL
85,Dragussy,VIGIL,HIBANA,JÄGER
86,Stxzie,THERMITE,JÄGER,ASH
87,Assassin.PT,THERMITE,JÄGER,ROOK
88,B-o-s-a-K,ASH,VALKYRIE,JÄGER
89,LittIeFoote,SLEDGE,TWITCH,BANDIT
90,xBajii,JÄGER,HIBANA,SLEDGE
91,LyzoIda,THATCHER,MUTE,THERMITE
92,Mr.MaFFin_,MUTE,LESION,BANDIT
93,High Profiled,JÄGER,TWITCH,BANDIT
94,,,,
95,GS BROLY,TWITCH,SLEDGE,LESION
96,GhostNoCasper,ASH,JÄGER,DOC
97,The_Testube_Baby,ELA,ASH,DOC
98,I Tunii I,ASH,JÄGER,THERMITE
99,A1anware,JACKAL,LESION,THERMITE
100,,,,
