,Player Name,Top Operator 1,Top Operator 2,Top Operator 3
0,GhostSmokedArmy,ASH,JÄGER,TWITCH
1,xRonaldo7i,JÄGER,ASH,BANDIT
2,MajesticLW,MUTE,MAVERICK,BUCK
3,nuxaa,ASH,JÄGER,BANDIT
4,yRavxnz,JÄGER,ZOFIA,ASH
5,DonzokoNoRyu,ZOFIA,ALIBI,MOZZIE
6,vPeIa,TWITCH,JÄGER,LESION
7,Slegendary.-,ASH,JÄGER,DOC
8,pasucu68,FROST,FUZE,THERMITE
9,OSKAMOSKA,ASH,JÄGER,SMOKE
10,KPEMEHb.,KAPKAN,CAVEIRA,THERMITE
11,,,,
12,Sinful Clash,CLASH,MONTAGNE,ACE
13,pNd.,FROST,KAPKAN,CAPITÃO
14,VaLemeister,JÄGER,ASH,LESION
15,Qoo.-,BANDIT,LESION,THATCHER
16,USAVICH_GAMETIME,GSG 9,SAS,FBI SWAT
17,Pengu7-,ASH,JÄGER,VALKYRIE
18,evinho007,SLEDGE,BANDIT,SMOKE
19,,,,
20,Queen Vixxn,LESION,TWITCH,FROST
21,Maximum.Hits,HIBANA,JÄGER,FUZE
22,Vipers.,ASH,JÄGER,DOC
23,YuJiN_-AN,VALKYRIE,ZOFIA,SLEDGE
24,Hancoock_XVI,THERMITE,BANDIT,DOC
25,berbthechick,WARDEN,HIBANA,BANDIT
26,wakemann77,KAPKAN,GRIDLOCK,FUZE
27,AdrianS R6,HIBANA,ASH,BANDIT
28,,,,
29,CynicaI eX,ASH,JÄGER,BANDIT
30,,,,
31,Alderon_,ELA,DOKKAEBI,HIBANA
32,Mlctlan,ECHO,JACKAL,JÄGER
33,TheMechanic911,FROST,FUZE,LESION
34,xPayzl,ASH,TWITCH,JÄGER
35,QK_RAMBITO,THERMITE,PULSE,CAVEIRA
36,atrwhiteboy ll,LESION,TWITCH,CAVEIRA
37,Dimitar60,HIBANA,MUTE,THATCHER
38,ll_Best_Grey_ll,VIGIL,ZOFIA,JÄGER
39,Jc no cry,ASH,JÄGER,VALKYRIE
40,,,,
41,XcLuA,ASH,JÄGER,SLEDGE
42,YungLb34,KAPKAN,FROST,FINKA
43,NickyAFK,JÄGER,TWITCH,ASH
44,OtterSIaughter,JÄGER,BUCK,ASH
45,hitman_JDA,JÄGER,ASH,BANDIT
46,Va1ve0x0,ASH,MUTE,JÄGER
47,ukhiraq,ASH,JÄGER,SLEDGE
48,MoonRockMolIy,JÄGER,BANDIT,ASH
49,GOWPIE,NOMAD,LESION,VALKYRIE
50,bloo_831,JÄGER,ZOFIA,BANDIT
51,MTO-Terminator,FROST,FUZE,KAPKAN
52,,,,
53,edonsp-,ASH,JÄGER,BANDIT
54,A_Bathing_Alex,ASH,TWITCH,JÄGER
55,SurSideMex,KAPKAN,BLITZ,PULSE
56,SERTactical,JÄGER,THERMITE,BANDIT
57,vP1NK,KAPKAN,VALKYRIE,THERMITE
58,freedom-192,LESION,ASH,FROST
59,Milk_Shaiiko,ASH,SMOKE,SLEDGE
60,Ensiya,JÄGER,ASH,BANDIT
61,,,,
62,RatoTullio,TWITCH,ASH,JÄGER
63,Voyager.,ASH,JÄGER,DOC
64,Xhosa.UA,JÄGER,ASH,HIBANA
65,QKapwn,VALKYRIE,MUTE,GLAZ
66,ES-CON-FIELD,FROST,LESION,THATCHER
67,xItsLit,ZOFIA,TWITCH,ASH
68,Philias.,BANDIT,BLACKBEARD,SLEDGE
69,,,,
70,,,,
71,PGC_CrazyTornado,LESION,ZOFIA,ELA
72,tyswagger100,CASTLE,KAPKAN,FROST
73,Bagman.ACEs,VALKYRIE,ASH,KAPKAN
74,GunningGuru,IQ,JÄGER,MUTE
75,,,,
76,Lewisited,JÄGER,TWITCH,ASH
77,Jqku,BANDIT,JÄGER,JACKAL
78,DamnnnnDaddy,THERMITE,MUTE,FROST
79,ElQaRAoUi,ASH,JÄGER,PULSE
80,CRISTIAN-TI-AMO,ASH,JÄGER,BANDIT
81,,,,
82,frosttime,JÄGER,BUCK,BANDIT
83,T3J.Stilnox,ROOK,BLACKBEARD,MUTE
84,GR8GAZOO74,FROST,THERMITE,FINKA
85,Purlux,ASH,JÄGER,SMOKE
86,bougi420,JACKAL,DOC,LESION
87,YxsEclezya,ASH,PULSE,JÄGER
88,,,,
89,Noobasina,LESION,FUZE,TWITCH
90,,,,
91,Juice.Fresh,ASH,BANDIT,SMOKE
92,DeleteShift,TWITCH,CAPITÃO,ECHO
93,Kamelot.,VALKYRIE,ELA,FINKA
94,zMxnezes,JÄGER,ASH,BANDIT
95,Mapama_,THERMITE,BLACKBEARD,MUTE
96,FUZZYwoo452,SLEDGE,ELA,VIGIL
97,Ziusudra-IQ,THERMITE,JÄGER,FROST
98,silverhunt27,KAPKAN,THERMITE,ACE
99,iGhosTiz_,ASH,VALKYRIE,ZOFIA
100,,,,
