,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,Dan3041.NW,57.90,"1,486",123,"6,130",146,"682,220","527,910",147,"31,216",1.17,"103,935","40,234","14,461","11,479",54.7%,"7,372H 22M 9S","26,434","268,992,044","121,950","5,050","27,428","2,493",116,90,"102,851","4,338","105,446",992,582,400,9,"1,327H 49M 11S","4,152","2,445","6,597","17,491","25,110",62.9%,1.44,3.81,0.32,"5,701H 34M 11S","9,314","8,450","17,781","77,828","83,414",52.4%,1.07,4.69,0.24
1,Luruni,46.50,"1,467",94,"4,667",246,"582,082","437,152",132,"32,811",1.42,"59,331","27,207","14,459","6,053",69.6%,"5,168H 29M 30S","20,776","208,542,579","84,084","4,427","20,164","2,072",71,71,"60,240","3,804","54,715",943,"1,251",546,8,"2,731H 26M 46S","9,404","3,308","12,712","31,418","45,973",74%,1.46,3.62,0.28,"2,191H 28M 12S","4,169","2,553","6,724","24,817","33,382",62%,1.35,4.96,0.25
2,DustyKnackers,37.20,"1,881",110,"3,504",271,"384,193","413,851",209,"23,792",1.04,"69,461","15,413","14,444","11,327",55%,"5,841H 19M 44S","26,263","162,799,084","72,049","4,608","19,180","1,685",145,111,"76,136","12,292","45,200","1,214","2,719","1,204",7,"3,820H 55M 21S","10,082","7,606","17,688","43,814","46,221",57%,1.05,2.61,0.20,583H 59M 52S,880,831,"1,711","7,050","5,840",51.4%,0.83,3.41,0.17
3,WOW_IcantAIM_23,37.60,887,76,"3,290",99,"371,056","651,760",43,"19,759",1.49,"43,476","14,362","14,457","6,851",66.3%,"5,068H 5M 43S","21,798","121,393,489","64,788","4,221","14,581","1,228",123,91,"57,648","25,778","39,554","1,143","2,237",934,5,"3,135H 27M 36S","9,606","4,327","13,933","27,670","39,292",68.9%,1.42,2.82,0.21,388H 3M 53S,635,485,"1,120","3,755","4,646",56.7%,1.24,4.15,0.20
4,SchleK1nG,51.50,612,125,"5,454",96,"645,337","550,226",31,"28,040",1.59,"57,637","36,410","14,421","6,817",66.9%,"4,828H 34M 48S","21,569","195,458,942","91,548","3,995","20,720","1,455",52,54,"44,407","4,953","72,921","2,055","1,814",791,10,"3,545H 16M 48S","11,228","5,314","16,542","42,730","69,769",67.9%,1.63,4.22,0.33,510H 29M 20S,929,578,"1,508","6,078","8,990",61.6%,1.48,5.96,0.29
5,Hidenori_Saitou,48.59,280,32,935,203,"145,626","37,273",3,"6,798",0.25,"87,035","9,881","14,367","19,171",42.3%,"8,153H 32M 36S","33,935","136,126,759","21,625","1,050","4,913",253,37,9,"5,602",372,"14,867",38,41,32,0,"1,347H 2M 8S","2,644","4,461","7,105","14,177","3,138",37.2%,0.22,0.44,0.04,"6,292H 36M 21S","10,899","13,584","24,485","68,645","16,738",44.5%,0.24,0.68,0.04
6,KiNgVCsAm03,23.50,852,116,"3,048",214,"562,930","721,911",63,"37,723",1.05,"80,881","14,730","14,329","12,507",49.4%,"7,020H 5M 54S","29,034","151,313,867","84,779","2,680","17,595","1,074",244,251,"39,382","17,822","51,639",943,"1,559",683,12,"4,516H 8M 47S","9,925","8,861","18,786","59,439","57,191",52.8%,0.96,3.04,0.21,103H 3M 23S,162,163,325,"1,305","1,478",49.8%,1.13,4.55,0.24
7,Zed.Smurf,57.20,580,69,"3,963",70,"332,386","331,755",55,"14,645",1.47,"54,798","25,483","14,326","6,058",69.3%,"4,503H 43M 40S","20,673","131,525,677","80,577","2,967","14,884","1,060",99,82,"47,299","3,293","36,875",239,337,158,2,"2,769H 34M 56S","8,966","3,943","12,909","32,662","45,470",69.5%,1.39,3.52,0.27,231H 49M 22S,376,286,662,"2,739","3,473",56.8%,1.27,5.25,0.25
8,EMILYRATAJKOWSKl,51.10,"1,944",106,"5,758",564,"683,882","1,670,867",402,"36,559",1.73,"60,808","33,834","14,298","5,002",72.1%,"5,399H 16M 17S","19,829","203,570,682","104,935","4,953","23,228","2,428",141,211,"60,630","5,722","78,377","2,787","1,642","1,061",25,"1,335H 30M 30S","4,299","1,941","6,240","16,509","31,111",68.9%,1.88,4.99,0.39,"3,916H 2M 4S","9,221","2,821","12,054","41,798","67,903",76.5%,1.62,5.63,0.29
9,Killinda,33.60,271,124,"4,146",232,"560,132","1,101,722",307,"29,561",0.97,"90,982","21,329","14,237","11,935",51.2%,"7,515H 55M 8S","27,783","177,066,625","87,808","3,379","21,959","1,661",306,374,"77,882","6,122","59,767","1,057",957,667,15,"2,770H 19M 3S","6,663","4,829","11,492","39,114","37,654",58%,0.96,3.28,0.23,"1,971H 16M 24S","3,002","3,063","6,067","26,583","23,887",49.5%,0.90,3.94,0.20
