,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,TeamRocketGuy,42.30,460,51,"2,820",76,"309,517","175,265",150,"14,746",1.98,"39,312","14,563","11,390","2,837",78.7%,"3,345H 38M 40S","14,468","97,646,168","77,838","2,516","10,943",887,19,54,"27,917","6,935","35,424",344,419,142,0,"1,091H 20M 27S","4,232","1,185","5,417","11,615","24,001",78.1%,2.07,4.43,0.37,"1,826H 52M 23S","4,233","1,135","5,375","16,746","27,520",78.8%,1.64,5.12,0.25
1,AMOK_CRO,45.10,709,106,"4,654",243,"542,498","1,270,642",388,"29,458",0.96,"106,419","23,265","11,389","11,088",49.3%,"7,721H 24M 17S","23,098","202,793,504","102,014","5,899","28,564","1,274",215,158,"76,664","10,142","79,528",701,739,543,15,85H 4M 49S,175,189,364,"1,067",980,48.1%,0.92,2.69,0.19,"7,073H 29M 39S","10,412","10,285","20,719","91,083","83,549",50.3%,0.92,4.03,0.20
2,thamizinhaa,33.80,554,34,951,95,"147,824",149,0,"11,002",0.69,"56,505","5,447","11,380","8,232",55%,"4,680H 1M 13S","20,690","74,334,895","39,160","1,955","10,114",920,10,12,"33,160","1,723","23,599",383,"1,607",418,0,"2,398H 42M 19S","6,065","4,562","10,627","29,038","17,383",57.1%,0.60,1.64,0.12,132H 57M 44S,237,163,401,"1,533","1,703",59.1%,1.11,4.25,0.21
3,Agente_Bonder,25.80,606,50,"2,998",371,"394,284","12,918",11,"23,442",0.91,"91,192","16,337","11,380","11,450",49.2%,"6,703H 53M 32S","23,112","192,758,972","82,624","5,109","25,346",754,1,1,"51,211","3,835","66,970",6,6,4,0,424H 6M 59S,988,"1,107","2,095","5,829","3,638",47.2%,0.62,1.74,0.14,"5,690H 19M 27S","9,200","9,137","18,353","75,665","69,323",50.1%,0.92,3.78,0.20
4,uncert,39.80,432,79,"3,212",97,"430,582","245,947",15,"19,499",1.27,"56,600","17,220","11,378","3,087",72.3%,"4,308H 43M 34S","15,739","149,580,726","71,680","2,773","15,950","1,223",16,48,"54,552","3,176","68,507",520,361,183,2,141H 50M 20S,379,283,662,"2,306","2,858",57.3%,1.24,4.32,0.34,"4,291H 25M 35S","10,899","2,777","13,705","53,840","68,034",79.5%,1.26,4.96,0.26
5,BeIIaAborrecida,43.10,550,68,"1,951",221,"296,101",348,1,"13,400",1.23,"57,773","11,395","11,371","7,367",52.2%,"5,301H 23M 25S","21,794","94,634,177","70,787","2,398","12,114","1,313",13,27,"35,760","7,410","39,824",99,100,73,0,"1,211H 1M","3,215","2,843","6,058","17,175","16,492",53.1%,0.96,2.72,0.23,967H 38M 45S,"1,632","1,373","3,006","12,611","10,920",54.3%,0.87,3.63,0.19
6,OutGunxed-,44.00,687,75,"4,119",80,"546,279","500,647",33,"24,447",1.23,"75,536","23,443","11,370","8,307",57.6%,"5,561H 36M 17S","19,736","171,222,490","92,838","4,734","21,046","1,668",21,25,"52,479","7,074","72,665","1,047","1,110",483,2,631H 47M 50S,"1,880","1,277","3,157","8,731","11,657",59.6%,1.34,3.69,0.31,"2,820H 48S","4,664","4,274","8,943","39,193","42,464",52.2%,1.08,4.75,0.25
7,khaIeo,46.70,"1,043",92,"4,622",235,"393,630","249,996",75,"19,666",1.19,"58,087","21,238","11,368","6,549",62.8%,"4,468H 23M 30S","18,099","140,345,712","69,273","4,903","19,006","1,345",57,101,"51,298","3,469","43,753",653,"1,221",430,6,"2,486H 5M 47S","7,082","3,771","10,853","30,134","35,826",65.3%,1.19,3.30,0.24,"1,023H 57M 48S","1,628","1,425","3,064","12,549","13,001",53.1%,1.04,4.24,0.21
8,lGhostdog,45.50,852,69,"3,927",162,"448,498","317,725",63,"22,443",1.51,"49,675","21,435","11,366","3,683",70.7%,"4,509H 10M 17S","16,075","148,788,020","74,873","4,300","17,366","1,400",44,66,"52,751","4,701","56,213","1,255","1,589",467,2,344H 37M 53S,"1,054",523,"1,577","4,330","7,243",66.8%,1.67,4.59,0.35,"4,122H 3M 40S","9,953","3,063","13,030","43,775","63,985",76.4%,1.46,4.91,0.26
9,Apple.26,46.90,657,84,"4,669",126,"437,951","751,642",121,"22,261",1.53,"60,935","30,052","11,361","6,162",64.5%,"4,628H 31M 15S","17,625","167,659,922","93,199","3,167","15,856","1,424",87,73,"40,195","1,738","65,434",373,167,195,12,"1,275H 13M 27S","4,477","1,669","6,146","14,647","28,756",72.8%,1.96,4.68,0.38,"2,508H 35M 59S","4,590","3,263","7,859","32,385","41,830",58.4%,1.29,5.32,0.28
10,WillyKat-,42.80,437,35,"1,680",97,"231,467","198,899",9,"13,438",1.32,"34,494","11,420","11,345","2,126",82.6%,"3,065H 23M 17S","13,741","86,093,688","45,490","1,904","11,011",779,72,58,"28,606","2,223","28,204",290,311,184,4,"1,681H 36M 4S","6,774","1,290","8,064","19,616","25,531",84%,1.30,3.17,0.25,376H 5M 52S,685,462,"1,147","4,758","4,504",59.7%,0.95,3.93,0.20
11,I_Make_U_Spizy,43.00,"1,344",96,"3,534",175,"415,463","391,780",59,"22,059",1.53,"49,749","19,291","11,345","8,174",56.2%,"4,655H 51M 8S","20,170","137,142,365","76,016","3,024","12,016","1,387",126,241,"56,554","3,677","58,529",705,"1,403",469,5,"2,487H 47M 20S","6,573","4,904","11,477","26,781","40,268",57.3%,1.50,3.51,0.27,867H 28M 51S,"1,441","1,187","2,628","9,770","12,431",54.8%,1.27,4.73,0.24
12,Lunaar v,62.30,832,54,"4,876",138,"430,738","1,046,628",47,"18,766",1.32,"58,417","26,237","11,340","3,747",70.9%,"4,622H 29M 19S","16,002","159,198,643","77,335","3,197","16,442","1,257",49,86,"50,245","3,068","70,088",346,213,144,8,118H 57M 10S,364,202,566,"1,483","2,668",64.3%,1.80,4.71,0.37,"4,483H 53M 20S","10,685","3,468","14,167","55,781","71,959",75.4%,1.29,5.08,0.27
13,PxwrPvff,44.40,329,43,"2,954",72,"311,474",410,15,"16,605",2.16,"41,498","17,155","11,336","2,986",78.1%,"3,119H 32M 32S","14,508","92,958,413","89,464","2,415","10,169",771,13,20,"17,935","1,731","28,980",128,222,32,0,"1,336H 58M 15S","5,102","1,730","6,832","15,477","32,742",74.7%,2.12,4.79,0.41,818H 59M 25S,"1,854",590,"2,448","7,879","12,182",75.7%,1.55,4.98,0.25
14,X Goblin7,30.90,650,88,"3,216",303,"404,663","1,157,883",161,"30,110",0.68,"93,031","15,959","11,335","12,245",47.4%,"7,080H 43M 28S","23,918","191,740,748","63,010","4,481","24,559","2,489",339,339,"71,601","37,413","57,949",822,"1,279",745,29,819H 11M 30S,"1,831","2,053","3,884","10,931","7,273",47.1%,0.67,1.87,0.15,"5,827H 1M 19S","8,765","9,351","18,141","76,083","50,774",48.3%,0.67,2.80,0.15
15,Traclks,48.50,436,44,"2,703",114,"398,872","333,960",26,"19,548",1.61,"43,785","17,694","11,331","4,359",72.1%,"3,536H 53M 33S","15,717","115,696,267","70,439","2,823","12,349",733,14,25,"45,435","2,647","50,152",286,374,198,3,"1,874H 21M 52S","5,892","2,996","8,888","21,914","34,594",66.3%,1.58,3.89,0.31,222H 56M 29S,434,225,659,"2,322","2,535",65.9%,1.09,3.85,0.19
16,ElRefugio,43.70,819,80,"3,793",147,"411,159","585,838",214,"23,367",1.57,"45,889","20,344","11,330","6,080",62.1%,"4,476H 32M 55S","18,259","141,544,876","72,171","2,982","13,959","1,389",192,181,"51,250","11,693","57,876",899,864,533,9,"2,642H 45M 3S","7,734","3,670","11,404","28,313","45,849",67.8%,1.62,4.02,0.29,833H 13M 5S,"1,327","1,080","2,410","9,169","12,349",55.1%,1.35,5.12,0.25
17,boshwickbohagan,34.40,504,106,"3,969",255,"455,598","1,052,606",333,"24,191",1.07,"56,594","16,767","11,317","2,118",60.3%,"6,378H 20M 7S","18,773","140,594,225","60,416","4,155","17,491","1,393",407,401,"64,429","43,769","51,569","2,574","2,042","1,860",27,"3,762H 19M 23S","9,475","1,632","11,107","50,046","51,343",85.3%,1.03,4.62,0.23,49H 32M 6S,103,10,113,575,670,91.2%,1.17,5.93,0.23
18,Sym Monster,47.80,941,71,"4,710",373,"475,135","133,128",70,"22,941",1.76,"46,983","27,076","11,304","4,625",69.3%,"4,149H 12M 22S","16,321","144,824,780","82,868","3,848","16,076","1,799",6,17,"24,774","1,327","52,582","1,794","2,126",408,0,"1,488H 13M 13S","5,166","1,760","6,926","17,067","33,241",74.6%,1.95,4.80,0.37,"1,559H 12M 40S","2,752","1,926","4,682","18,406","26,655",58.8%,1.45,5.69,0.28
19,roomtempcoffee,37.80,"1,248",58,"1,955",251,"364,494","1,266",16,"20,663",1.01,"51,797","15,940","11,295","5,484",66.7%,"4,036H 52M 27S","16,933","159,425,823","52,569","3,389","16,822","1,119",19,19,"64,334","3,974","51,661",769,466,235,0,"1,994H 10M 18S","7,097","3,011","10,108","24,911","26,293",70.2%,1.06,2.60,0.22,"1,375H 42M 37S","2,216","1,760","3,980","17,669","15,619",55.7%,0.88,3.92,0.19
20,DDDDandySecret.,52.10,586,52,"2,713",80,"314,546","462,058",42,"14,071",1.49,"39,763","15,488","11,292","3,210",75.2%,"3,558H 53M 31S","15,021","113,697,710","59,174","2,955","11,890",883,202,125,"33,954","2,819","37,744",507,349,335,5,"2,171H 31M 12S","7,408","1,906","9,314","21,649","33,196",79.5%,1.53,3.56,0.25,294H 36M 3S,691,259,950,"3,214","4,164",72.7%,1.30,4.38,0.24
21,PanInkoGnittO,35.60,917,81,"2,646",531,"342,466","938,098",140,"19,051",1.02,"56,555","14,353","11,286","8,790",52.1%,"5,238H 39M 1S","21,659","110,720,112","57,590","3,378","15,064","1,479",155,223,"29,217","6,957","32,696","1,293","1,274","1,072",9,"2,719H 2M 37S","7,021","4,910","11,931","33,688","33,334",58.8%,0.99,2.79,0.20,694H 40M 56S,"1,150",931,"2,082","8,176","9,174",55.2%,1.12,4.41,0.22
22,Crystal.Cc,59.00,352,41,"2,458",73,"317,003","6,744",6,"10,996",1.65,"47,175","22,351","11,283","4,227",69.3%,"3,810H 28M 29S","16,275","100,274,128","77,630","1,092","7,577",494,7,24,"32,268","3,976","45,266",199,151,65,0,"1,366H 4M 32S","4,051","2,076","6,127","18,134","30,171",66.1%,1.66,4.92,0.37,415H 54M 48S,861,466,"1,327","5,321","6,149",64.9%,1.16,4.63,0.25
23,CR7BaiYe,41.17,114,24,595,35,"86,225","9,641",1,"4,148",1.19,"13,082","4,204","11,282","1,732",49.8%,"6,430H 54M 44S","22,670","30,836,222","15,568",608,"3,122",225,82,58,"11,308","1,020","11,175",45,101,39,0,469H 44M 12S,933,826,"1,759","5,221","4,785",53%,0.92,2.72,0.17,220H 37M 41S,352,320,673,"2,676","3,672",52.3%,1.37,5.46,0.28
24,GlynFidditch,41.30,"1,089",69,"2,933",244,"397,825","510,545",81,"21,563",1.33,"45,846","17,438","11,280","3,989",73.7%,"3,656H 47M 25S","15,297","135,957,802","60,932","3,309","16,127","1,581",60,93,"58,853","2,462","54,395",854,602,489,3,"1,567H 57M 57S","5,213","2,330","7,543","19,198","26,358",69.1%,1.37,3.49,0.28,716H 39M 28S,"1,266",858,"2,124","8,520","9,112",59.6%,1.07,4.29,0.21
25,Legalllyblind,32.30,"5,945",157,"2,665",288,"391,283","576,398",216,"31,716",1.00,"90,857","13,337","11,279","10,726",49.7%,"6,789H 58M 57S","22,690","183,126,684","90,719","3,876","19,655","1,580",156,134,"68,062","16,254","54,639","2,955","3,031","1,021",8,963H 18M 12S,"2,277","1,847","4,124","13,720","13,926",55.2%,1.02,3.38,0.24,"5,453H 16M 28S","8,309","8,244","16,580","72,293","71,338",50.1%,0.99,4.30,0.22
26,serejka_2011,48.80,439,43,"2,764",199,"294,091","7,681",0,"13,702",2.29,"27,965","18,626","11,271","1,655",85.2%,"2,790H 8M 39S","13,225","88,954,478","64,088","1,899","8,662",559,33,39,"29,040","1,115","33,359",935,519,318,0,"1,147H 47M 9S","5,180",843,"6,023","12,611","28,577",86%,2.27,4.74,0.41,584H 27M 40S,"1,577",295,"1,873","5,337","13,073",84.2%,2.45,6.98,0.37
