,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,iGhosTiz_,37.20,566,103,"4,810",386,"537,207",934,7,"30,851",1.99,"47,028","24,783","12,394","5,115",70.4%,"4,428H 33M 52S","17,616","184,798,188","93,591","4,154","16,710","1,793",17,39,"64,574","6,228","66,592",117,331,56,0,"1,629H 1M 25S","5,496","2,250","7,746","16,613","34,024",71%,2.05,4.39,0.35,812H 53M 59S,"1,316","1,057","2,376","8,708","13,072",55.4%,1.50,5.50,0.27
1,YvnqVenxia,46.20,738,79,"6,042",158,"602,720","605,488",190,"29,856",1.42,"78,394","31,644","12,384","7,146",61.6%,"6,128H 24M 45S","20,097","222,081,742","111,359","4,984","23,825","1,267",43,87,"60,677","6,608","60,466",626,843,307,11,354H 47M,"1,022",490,"1,512","4,656","7,586",67.6%,1.63,5.02,0.36,"5,822H 16M 45S","11,222","6,597","17,825","72,450","102,023",63%,1.41,5.72,0.29
2,Terrify,54.40,"1,461",107,"4,602",233,"596,302","996,745",110,"28,109",1.37,"60,809","28,438","12,369","5,706",67.8%,"4,759H 48M 50S","18,238","188,035,501","83,464","3,452","18,112","1,946",226,268,"61,148","9,077","77,758",998,505,622,11,"1,555H 59M 40S","5,511","2,062","7,573","19,572","31,755",72.8%,1.62,4.19,0.34,"2,868H 8M 49S","5,816","3,147","8,971","35,065","43,764",64.8%,1.25,4.88,0.25
3,JohnThysen,40.70,784,107,"4,570",67,"478,695","569,754",165,"26,722",1.65,"52,311","22,596","12,353","7,862",61%,"4,376H 59M 9S","20,262","151,531,381","86,531","3,184","15,646","1,468",111,270,"48,241","6,582","53,818",631,932,417,10,"2,714H 24M 20S","8,003","5,170","13,173","30,814","51,379",60.8%,1.67,3.90,0.32,400H 3M 57S,700,498,"1,198","4,536","6,299",58.4%,1.39,5.26,0.26
4,Gudrus-Apuokas,40.80,"1,311",99,"3,755",241,"456,372","3,896",1,"22,818",0.94,"116,378","21,918","12,339","12,462",49.1%,"7,973H 22M 50S","25,124","198,751,174","109,720","4,028","22,323","1,017",18,29,"74,824","26,373","70,099",165,137,68,0,73H 51M 31S,167,176,343,"1,100",875,48.7%,0.80,2.55,0.20,"7,944H 8M 1S","12,095","12,201","24,323","114,555","108,196",49.7%,0.94,4.45,0.23
5,Mickellini,38.90,789,81,"3,244",132,"329,714","1,401",54,"17,228",1.28,"56,703","16,321","12,336","8,852",57%,"4,469H 22M 24S","21,626","127,261,416","72,598","3,424","14,060",912,72,75,"28,539","4,790","38,156",983,"1,251",506,0,"2,629H 59M 26S","7,410","5,283","12,693","33,427","40,517",58.4%,1.21,3.19,0.26,75H 27M 28S,140,97,237,898,"1,158",59.1%,1.29,4.89,0.26
6,SyynixNA,48.20,575,80,"3,456",206,"328,819","675,741",91,"15,102",1.46,"64,431","16,689","12,320","6,274",64.7%,"5,416H 30M 35S","19,040","104,813,378","93,887","3,034","13,928","1,320",84,277,"29,602","5,669","41,481","1,052","1,037",518,13,640H 25M 16S,"1,724","1,306","3,030","8,268","10,715",56.9%,1.30,3.54,0.28,"3,085H 36M 13S","5,801","3,409","9,221","36,539","44,476",62.9%,1.22,4.82,0.24
7,faff_6500,17.60,712,99,"1,430",112,"315,471",209,7,"23,953",1.09,"52,545","7,058","12,319","10,283",41.3%,"6,885H 36M 45S","29,852","116,436,217","57,048","3,981","15,483",633,153,140,"59,266","20,576","40,543",74,324,78,0,"3,473H 18M 37S","8,385","6,613","14,998","34,392","37,647",55.9%,1.09,2.51,0.18,,0,0,0,1,0,0%,0.00,0.00,0.00
8,Wozmetjou,41.20,"1,409",109,"3,228",153,"415,989","329,109",166,"22,332",1.03,"69,369","19,753","12,283","12,062",50%,"5,025H 23M 6S","24,551","158,931,302","71,129","3,080","19,270","2,065",198,345,"72,289","2,946","47,497",532,601,359,4,"3,076H 42M 47S","7,934","7,858","15,792","41,758","42,138",50.2%,1.01,2.67,0.23,648H 44M 25S,"1,021",978,"1,999","8,497","8,669",51.1%,1.02,4.34,0.22
9,Flip Albatroz7,33.30,"1,143",97,"2,909",125,"324,803","435,383",377,"21,146",1.38,"50,710","14,819","12,287","5,322",69.3%,"3,873H 22M 27S","17,742","129,108,776","70,202","2,837","14,151","1,685",86,87,"42,387","3,867","41,786",674,882,458,11,"1,976H 5M 34S","6,731","3,195","9,926","23,544","33,991",67.8%,1.44,3.42,0.29,669H 24M 26S,"1,255",790,"2,049","7,910","10,803",61.2%,1.37,5.27,0.27
