,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,xRonaldo7i,29.70,"1,243",109,"2,317",109,"431,719","139,537",156,"23,218",1.49,"63,097","16,192","13,261","5,468",69.5%,"5,359H 2M 57S","19,094","150,018,379","93,748","2,855","15,037","1,202",15,28,"45,804","5,478","58,585","1,795","1,420",373,0,512H 57M 47S,"2,029",739,"2,768","7,122","12,437",73.3%,1.75,4.49,0.40,"3,191H 19M 49S","5,745","4,018","9,768","41,807","52,955",58.8%,1.27,5.42,0.28
1,A1anware,45.70,359,50,"2,699",45,"408,319","59,854",27,"19,610",1.60,"45,440","19,385","13,270","5,829",68%,"4,454H 41M 39S","19,526","129,996,430","72,584","2,941","13,406",815,69,73,"44,903","2,610","42,905",191,226,109,0,"2,834H 21M 14S","8,207","4,348","12,555","29,800","46,240",65.4%,1.55,3.68,0.27,201H 15M 35S,352,275,627,"2,403","2,815",56.1%,1.17,4.49,0.23
2,MajesticLW,42.80,876,81,"3,431",90,"445,684","273,171",116,"20,865",1.40,"58,598","21,958","13,257","5,506",70.3%,"4,424H 30M 56S","18,871","155,576,326","82,058","3,596","16,415","1,444",90,120,"62,268","7,260","65,217",717,674,419,1,"1,738H 22M 47S","5,861","2,630","8,491","19,553","30,528",69%,1.56,3.60,0.29,786H 10M 52S,"1,293","1,051","2,346","9,894","9,344",55.1%,0.94,3.98,0.20
3,nuxaa,56.20,898,88,"5,498",108,"580,675","865,580",10,"28,985",1.25,"91,806","33,387","13,246","6,745",64.1%,"6,091H 38M 11S","20,672","190,131,930","115,100","3,233","25,481","1,533",32,42,"56,512","4,592","48,070","1,185",516,335,5,239H 50M 18S,666,463,"1,129","3,863","4,325",59%,1.12,3.83,0.30,"5,804H 9M 16S","12,175","6,143","18,342","84,310","105,242",66.4%,1.25,5.74,0.30
4,yRavxnz,54.20,431,30,"2,192",61,"265,049","1,521",0,"12,932",1.50,"57,090","13,564","13,223","7,718",59.1%,"4,749H 53M 10S","22,372","86,202,192","85,860","1,710","7,541",835,42,62,"30,957","6,165","32,442",608,"1,029",236,0,"1,687H 1M 10S","4,603","3,733","8,336","21,108","27,720",55.2%,1.31,3.33,0.27,627H 20M 4S,"1,013",885,"1,900","7,801","9,117",53.3%,1.17,4.80,0.24
5,vPeIa,49.80,"1,399",145,"5,114",425,"521,460","372,521",49,"22,097",1.09,"79,408","26,143","13,208","9,920",53.7%,"6,096H 15M 21S","24,604","155,764,208","86,682","4,593","21,280","2,359",71,126,"37,862","6,251","60,795","1,191","1,445",595,1,"2,525H 48M 6S","6,728","4,714","11,442","36,625","38,572",58.8%,1.05,3.37,0.25,"1,994H 54M 34S","3,200","2,788","6,006","25,550","27,584",53.3%,1.08,4.59,0.23
6,Slegendary.-,57.30,"1,213",80,"4,655",197,"511,199","735,684",119,"19,581",1.37,"76,374","27,187","13,204","10,819",51.8%,"5,688H 6M 35S","25,472","144,596,657","104,400","3,334","15,602","1,370",147,196,"31,972","2,927","67,290",689,913,401,4,"2,281H 14M 26S","6,090","5,049","11,139","27,246","35,324",54.7%,1.30,3.17,0.26,"1,419H 50M 46S","2,366","1,816","4,195","14,702","22,635",56.4%,1.54,5.40,0.27
7,DonzokoNoRyu,47.00,392,47,"2,253",43,"297,982",622,0,"13,224",1.66,"48,947","18,616","13,213","5,255",69.9%,"3,824H 46M 42S","18,914","95,755,445","81,398","1,683","8,488","1,012",94,171,"32,124","2,743","28,766",553,645,210,0,"1,504H 18M 47S","5,180","2,272","7,452","16,929","30,849",69.5%,1.82,4.14,0.34,183H 38M 49S,304,249,553,"2,102","2,981",55%,1.42,5.39,0.27
8,OSKAMOSKA,66.60,"1,095",69,"5,293",105,"414,940","1,552,663",211,"17,077",1.52,"46,724","32,403","13,192","3,339",78.9%,"3,569H 42M 4S","16,721","144,115,282","71,127","3,413","17,779","1,431",114,49,"17,118","3,230","45,694",799,261,403,15,"2,274H 47M 10S","9,325","2,278","11,603","30,118","46,971",80.4%,1.56,4.05,0.34,671H 38M 11S,"1,553",537,"2,091","8,178","10,786",74.3%,1.32,5.16,0.27
9,KPEMEHb.,49.60,984,47,"3,630",150,"466,015","541,638",240,"20,778",1.06,"82,163","22,257","13,190","12,200",49.5%,"5,977H 5M 37S","26,658","144,804,498","86,793","3,408","19,689","1,137",126,103,"50,878","5,888","59,643","1,186","1,411",593,15,"2,695H 5M 14S","6,970","6,203","13,173","37,105","40,110",52.9%,1.08,3.04,0.25,"1,610H 5M 40S","2,539","2,434","4,981","22,306","21,628",51%,0.97,4.34,0.22
10,Qoo.-,59.50,370,60,"2,573",50,"319,231","463,487",36,"13,788",1.75,"68,784","17,180","13,177","5,090",70.9%,"4,340H 6M 11S","18,577","119,488,951","120,216","3,009","13,328","1,223",184,222,"38,674","3,310","50,109",320,462,333,4,"2,693H 59M 26S","8,211","3,538","11,749","28,147","33,189",69.9%,1.18,2.82,0.21,369H 13M 1S,743,439,"1,182","4,357","6,345",62.9%,1.46,5.37,0.29
11,pasucu68,24.60,225,75,"3,244",254,"404,939","652,746",145,"28,667",1.07,"64,831","12,810","13,201","13,374",49.1%,"5,811H 50M 56S","26,887","142,950,292","69,240","3,297","16,809","1,176",309,388,"53,834","25,314","42,885",777,"1,957",629,14,"3,432H 35M 54S","8,580","8,644","17,224","38,761","41,526",49.8%,1.07,2.41,0.20,"1,009H 49M 13S","1,433","1,635","3,073","11,966","10,772",46.6%,0.90,3.51,0.18
12,pNd.,36.40,430,103,"3,971",239,"498,852","650,015",101,"27,304",1.13,"76,013","22,864","13,176","9,734",43.8%,"8,584H 31M 14S","30,052","166,909,573","85,699","3,784","19,219","1,824",245,367,"60,417","13,926","58,728","1,832","2,632","1,076",13,"3,614H 29M 29S","7,648","5,370","13,018","46,298","47,903",58.7%,1.03,3.68,0.22,938H 16M 33S,"1,508","1,297","2,814","12,168","14,254",53.6%,1.17,5.07,0.25
13,VaLemeister,45.00,644,76,"3,722",69,"431,913","87,351",20,"23,346",1.73,"48,121","22,324","13,171","4,324",74.7%,"4,321H 36M 11S","17,632","138,504,624","83,313","3,853","15,248","1,221",13,14,"46,008","7,009","46,046","1,548","2,168",665,0,"1,599H 52M 18S","6,651","1,031","7,682","15,188","33,657",86.6%,2.22,4.38,0.35,"1,930H 16M 9S","3,588","2,353","5,944","22,056","28,593",60.4%,1.30,4.81,0.25
14,Crescent Roses,54.70,"1,011",76,"5,546",301,"440,702","1,142,119",63,"21,636",2.40,"47,613","28,309","13,170","3,301",78.8%,"4,513H 55M 5S","16,722","143,348,093","114,201","4,006","15,587","1,272",68,110,"17,665","3,466","47,546","1,577","1,278",639,14,774H 7M 39S,"2,750",984,"3,734","8,561","18,308",73.6%,2.14,4.90,0.39,"1,996H 29M","4,325","1,709","6,039","20,468","43,189",71.6%,2.11,7.15,0.36
15,USAVICH_GAMETIME,43.90,252,59,"3,056",383,"302,248","1,093,027",54,"14,367",0.44,"80,653","14,774","13,170","15,881",45.3%,"7,197H 27M 57S","29,051","142,979,866","35,736","3,010","11,755",914,86,124,"17,515","5,107","27,355",370,329,204,7,"1,048H 51M 3S","2,194","2,582","4,776","10,993","10,833",45.9%,0.99,2.27,0.17,"5,737H 35M 38S","10,293","12,515","22,808","66,891","24,476",45.1%,0.37,1.07,0.07
16,Pengu7-,40.60,705,76,"3,171",135,"401,134","594,558",77,"22,086",1.54,"42,488","20,049","13,166","3,572",78.4%,"3,498H 6M 11S","16,790","140,300,704","65,403","3,168","15,970","1,528",223,157,"44,463","5,509","32,910","2,199","1,771","1,270",5,"2,284H 11S","9,749","2,227","11,976","26,686","41,179",81.4%,1.54,3.44,0.30,927H 34M 51S,"1,841","1,084","2,926","10,602","15,689",62.9%,1.48,5.36,0.28
17,Sinful Clash,41.90,"1,613",53,"1,836",132,"221,923","75,513",11,"15,532",1.38,"54,526","11,525","13,164","6,016",67.6%,"4,108H 26M 44S","19,479","101,895,768","75,232","5,361","15,449","1,603",21,20,"38,394","4,225","35,562","1,415","1,539",593,2,"1,865H 56M 25S","5,962","3,165","9,127","22,531","27,718",65.3%,1.23,3.04,0.25,308H 16M 14S,530,403,935,"3,727","3,761",56.7%,1.01,4.02,0.20
18,evinho007,46.40,"1,830",127,"3,945",306,"497,032","1,055,116",71,"26,578",1.52,"56,158","25,447","13,152","7,576",62.4%,"4,773H 53M 50S","21,090","155,869,997","85,491","4,072","18,791","2,353",105,120,"32,666","8,605","61,486",239,212,146,28,"3,455H 10M 1S","10,083","5,895","15,978","41,299","59,226",63.1%,1.43,3.71,0.29,192H 36M 55S,299,240,539,"2,169","2,328",55.5%,1.07,4.32,0.20
19,Lauvik,60.40,922,66,"3,891",93,"393,984","23,352",17,"17,484",1.60,"53,854","31,899","13,152","5,565",69.5%,"4,346H 33M 27S","18,931","141,453,818","86,320","2,381","13,868",973,50,51,"34,833","2,916","42,866",295,268,98,0,"2,410H 52M 9S","7,101","3,675","10,776","30,897","49,229",65.9%,1.59,4.57,0.34,235H 56M 19S,459,291,755,"2,971","3,989",60.8%,1.34,5.28,0.28
20,Vipers.,70.50,395,90,"4,570",81,"557,068",236,0,"20,320",1.57,"53,557","45,496","13,133","6,071",67.5%,"4,280H 36M 19S","19,460","184,530,047","84,256","2,441","15,552","1,129",34,59,"56,170","4,988","58,034",184,194,53,0,"3,428H 10M 56S","11,012","4,939","15,951","43,124","68,860",69%,1.60,4.32,0.33,196H 39M 21S,369,248,617,"2,540","3,045",59.8%,1.20,4.94,0.26
21,Maximum.Hits,51.20,"1,557",146,"4,694",132,"571,896","663,621",33,"25,107",0.88,"90,370","30,946","13,135","14,289",47.1%,"6,526H 40M 2S","27,859","204,130,037","79,603","3,715","25,205","1,513",366,272,"93,876","4,290","73,313",733,440,511,9,"3,561H 15M 59S","8,029","9,203","17,232","50,393","42,839",46.6%,0.85,2.49,0.20,"1,730H 49M 29S","2,757","2,690","5,447","25,243","23,256",50.6%,0.92,4.27,0.22
22,Queen Vixxn,34.10,338,44,"2,219",307,"380,384",6,0,"18,569",0.86,"71,525","14,942","13,129","8,316",57.5%,"5,529H 39M 20S","22,843","135,367,670","61,764","4,332","20,279","1,340",8,27,"77,284","20,543","40,826",180,597,80,0,"2,522H 36M","7,661","3,807","11,468","33,483","32,320",66.8%,0.97,2.82,0.21,"2,377H 3M 14S","3,581","3,371","6,984","29,370","19,592",51.3%,0.67,2.81,0.14
23,YuJiN_-AN,53.20,634,103,"3,463",110,"442,912","726,919",156,"21,422",2.17,"32,748","23,676","13,126","2,934",80.5%,"3,425H 27M 40S","16,299","144,807,821","70,993","2,958","13,496",999,251,303,"42,237","4,908","51,044",818,605,408,11,"2,440H 57M 24S","9,872","2,198","12,070","23,202","51,124",81.8%,2.20,4.24,0.35,403H 27M 58S,892,363,"1,255","4,499","6,888",71.1%,1.53,5.49,0.28
24,Hancoock_XVI,51.40,"1,173",121,"4,297",233,"466,776","797,621",146,"24,068",1.56,"58,337","24,557","13,118","7,801",62.2%,"5,139H 15M 45S","21,088","155,496,869","90,849","3,860","17,435","1,947",265,418,"48,343","5,930","54,676","1,123","1,870",703,9,"2,694H 29M 47S","7,667","4,470","12,137","29,808","44,589",63.2%,1.50,3.67,0.28,"1,215H 53M 40S","1,962","1,570","3,535","14,100","19,744",55.5%,1.40,5.59,0.27
25,berbthechick,52.00,908,83,"3,821",110,"345,241","355,646",26,"17,241",1.94,"33,943","20,422","13,102","3,299",79.5%,"3,526H 26M 43S","16,480","129,673,385","65,710","3,949","14,734","1,207",162,263,"44,182","3,520","41,055","1,204","1,746",773,3,"2,613H 11M 19S","9,682","2,656","12,338","25,431","45,071",78.5%,1.77,3.65,0.29,100H 58M 31S,196,92,288,"1,037","1,585",68.1%,1.53,5.50,0.26
26,CynicaI eX,41.00,867,65,"4,712",177,"460,414","824,469",44,"24,497",1.62,"46,130","25,830","13,038","2,490",79%,"3,883H 8M 37S","16,501","156,341,654","74,653","4,037","18,994","1,265",48,65,"27,082","4,279","38,726","1,471",731,888,7,"2,365H 43M 57S","9,266","1,568","10,834","30,158","50,391",85.5%,1.67,4.65,0.36,775H 24M 9S,"1,833",517,"2,355","9,139","12,454",77.8%,1.36,5.29,0.27
27,AdrianS R6,44.20,862,54,"5,344",176,"496,282","1,086,949",91,"21,994",1.18,"69,106","21,652","13,037","8,383",59.6%,"6,397H 11M 43S","21,872","167,130,044","81,272","5,919","20,445","1,715",56,50,"66,555","24,866","75,674",262,415,235,11,"1,540H 12M 37S","4,936","1,317","6,253","15,410","23,629",78.9%,1.53,3.78,0.26,"4,615H 9M 32S","6,839","6,507","13,366","48,326","49,266",51.2%,1.02,3.69,0.18
28,iiN7Rvv,43.40,633,57,"3,545",141,"419,070",550,12,"18,296",1.22,"84,682","19,359","13,028","8,502",55.7%,"6,607H 31M 40S","23,395","133,333,071","103,195","2,694","17,550","1,087",26,48,"38,691","2,435","48,765","1,389",869,429,0,552H 43M 20S,"1,824",946,"2,770","8,416","10,931",65.8%,1.30,3.95,0.33,"4,271H 24M 15S","7,142","6,014","13,163","61,764","63,728",54.3%,1.03,4.84,0.25
29,wakemann77,22.40,915,95,"1,560",268,"255,601","1,331",51,"18,578",0.78,"74,804","7,987","13,042","12,347",49.3%,"5,509H 54M 43S","26,479","134,605,249","58,543","4,170","22,609","1,344",273,247,"58,959","12,283","48,766",841,"1,001",574,0,"3,221H 16M 38S","7,958","7,481","15,439","46,362","33,182",51.5%,0.72,2.15,0.17,93H 42M 58S,137,159,297,"1,420",876,46.1%,0.62,2.95,0.16
30,GIacierOG,50.20,470,50,"3,752",154,"330,928","483,334",28,"13,882",2.11,"36,088","17,433","13,000","3,969",55.2%,"5,560H 55M 41S","23,535","87,613,085","76,203","2,498","10,044","1,137",56,138,"14,368","5,337","33,422",804,941,441,8,"1,690H 47M 23S","5,615","2,014","7,629","17,926","31,964",73.6%,1.78,4.19,0.32,514H 46M 13S,908,573,"1,484","5,769","8,261",61.2%,1.43,5.57,0.27
31,Alderon_,50.60,735,90,"3,119",67,"485,369",345,7,"22,373",1.28,"56,151","24,270","12,995","7,339",62.1%,"4,640H 58M 47S","20,942","159,366,502","72,020","2,647","16,752","1,008",17,57,"68,448","9,763","49,415",109,192,78,0,"3,099H 29M 46S","9,273","5,362","14,635","38,913","50,256",63.4%,1.29,3.43,0.27,338H 15M 51S,548,442,990,"4,051","5,031",55.4%,1.24,5.08,0.25
32,TheMechanic911,24.90,120,55,"1,677",145,"318,118","121,265",35,"22,700",0.93,"69,754","6,995","12,982","13,777",47.2%,"5,731H 37M 30S","27,503","117,784,963","64,940","2,793","14,896",866,183,215,"49,858","41,772","44,347",316,713,255,0,"3,045H 20M 59S","6,948","7,613","14,561","37,756","32,366",47.7%,0.86,2.22,0.18,25H 19M 8S,26,53,79,351,179,32.9%,0.51,2.27,0.12
33,Mlctlan,40.90,842,102,"5,151",125,"515,110","732,318",32,"29,514",1.54,"61,579","27,279","12,981","6,692",65.1%,"4,743H 51M 37S","19,928","177,726,059","94,627","3,890","19,819","1,651",223,333,"62,316","11,103","49,042","2,238","1,762","1,131",15,"2,843H 19M 11S","8,607","4,278","12,885","37,012","58,278",66.8%,1.57,4.52,0.34,"1,172H 42M 48S","2,027","1,497","3,527","14,392","18,363",57.5%,1.28,5.21,0.26
34,xPayzl,51.10,"1,876",119,"3,974",210,"467,601","708,868",156,"22,041",1.12,"82,279","24,336","12,979","11,217",52.5%,"5,465H 22M 39S","24,724","145,450,363","91,851","3,445","18,610","1,737",44,66,"43,516","4,017","55,396","1,546","1,517",802,11,"3,030H 51M 23S","7,843","6,684","14,527","44,996","48,441",54%,1.08,3.33,0.27,"1,132H 1M 20S","1,873","1,743","3,619","15,360","16,732",51.8%,1.09,4.62,0.25
