,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,MR BUNGLE 1991,23.60,"1,050",94,"2,781",288,"280,853","121,812",145,"23,867",1.02,"64,055","10,095","11,808","10,936",50%,"4,876H 2M 17S","23,615","128,139,570","65,375","3,337","19,928",834,110,105,"48,919","3,492","62,273","1,628","1,350",842,3,"2,859H 4M 44S","7,383","6,638","14,021","39,004","38,418",52.7%,0.98,2.74,0.22,193H 44M 58S,305,301,607,"2,603","2,568",50.2%,0.99,4.23,0.22
1,wongtung2046,45.20,502,158,"3,475",210,"519,763","1,109,044",382,"22,670",1.01,"66,196","19,184","11,804","7,465",56.2%,"6,594H 52M 59S","20,990","157,483,402","66,989","2,914","14,149","2,841",929,695,"65,344","7,781","58,616","1,140",931,"1,157",18,"4,427H 50M 59S","9,050","5,000","14,050","49,942","51,009",64.4%,1.02,3.63,0.19,3H 17M 20S,3,7,10,47,27,30%,0.57,2.70,0.14
2,Silent_Buddha_,48.90,"1,051",138,"5,381",136,"469,455","1,073,105",50,"21,724",1.64,"50,363","28,222","11,795","6,384",64.5%,"4,332H 1M 14S","18,273","162,910,198","82,804","3,444","14,585","2,166",188,352,"57,096","9,093","49,054","1,360","1,521",736,15,"2,536H 38M 39S","8,099","3,459","11,558","25,247","47,865",70.1%,1.90,4.14,0.31,"1,526H 4M 49S","2,352","2,105","4,462","17,808","24,503",52.7%,1.38,5.49,0.27
3,Spxrou,52.10,573,103,"4,647",147,"489,445","94,586",22,"19,645",1.29,"65,672","23,726","11,792","5,959",65.4%,"5,214H 39M 36S","18,027","165,634,505","84,461","4,274","21,159","1,190",9,24,"61,814","2,420","64,177",810,"1,021",248,0,629H 57M 10S,"1,771","1,051","2,822","8,382","9,849",62.8%,1.18,3.49,0.26,"2,458H 15M 9S","4,030","3,442","7,473","32,013","37,052",53.9%,1.16,4.96,0.25
4,AquaMocha805249,38.90,824,100,"3,899",160,"376,318","604,442",165,"21,888",1.81,"49,429","21,089","11,774","4,085",73.8%,"3,904H 13M 58S","15,955","131,463,703","89,558","2,766","13,871","1,508",124,128,"40,269","11,674","40,197","1,653","1,081",794,12,"1,337H 53M 58S","4,500","1,882","6,382","16,746","30,229",70.5%,1.81,4.74,0.38,"1,096H 19M 34S","1,959","1,304","3,265","13,437","19,010",60%,1.41,5.82,0.29
5,TAC0V1K1NG,17.50,686,55,"2,008",397,"407,785","647,898",180,"20,790",0.81,"72,271","8,620","11,789","12,465",47.2%,"5,308H 32M 10S","24,982","130,674,655","58,179","3,697","20,177","1,141",311,366,"65,796","29,934","68,474","1,229","1,340",803,11,"2,631H 26M 30S","6,378","6,931","13,309","37,475","28,757",47.9%,0.77,2.16,0.18,869H 27M 49S,"1,411","1,503","2,915","12,675","9,240",48.4%,0.73,3.17,0.18
6,SpeedyTheMonkeyy,48.20,719,84,"5,050",123,"543,197","891,228",29,"25,410",1.28,"76,626","25,758","11,771","6,511",63.4%,"5,722H 41M 29S","18,580","171,645,874","98,432","4,095","20,661","1,530",10,20,"42,541","4,056","56,130","1,950","1,530",724,10,132H 31M 27S,340,182,522,"1,992","2,861",65.1%,1.44,5.48,0.36,"5,564H 47M 1S","11,219","6,265","17,543","73,310","93,489",64%,1.28,5.33,0.28
7,l-Sam_Fisher-l,30.40,664,54,"2,767",113,"450,282","415,007",9,"19,188",1.31,"55,744","16,498","11,803","8,800",54.6%,"5,308H 52M 6S","21,635","119,704,685","72,772","3,710","13,647","1,797",106,150,"46,087","6,616","54,714",810,"1,937",456,3,"2,048H 33M 11S","5,711","3,530","9,241","21,090","28,093",61.8%,1.33,3.04,0.23,"1,287H 28M 52S","2,015","1,764","3,784","12,948","16,146",53.3%,1.25,4.27,0.21
8,Vulixe,45.60,623,77,"4,719",174,"464,641","578,380",206,"23,066",1.36,"68,173","24,929","11,767","6,160",62.9%,"5,466H 38M 20S","18,713","158,293,430","92,477","3,961","19,231","1,564",55,137,"50,357","8,558","64,449","1,466","1,519",539,11,614H 35M 8S,"1,968","1,032","3,000","8,633","13,720",65.6%,1.59,4.57,0.37,"4,183H 26M 8S","8,123","4,345","12,485","50,650","65,692",65.1%,1.30,5.26,0.26
9,F-Y-Y-F-F,31.60,293,43,"1,809",206,"384,804","127,668",7,"20,160",0.96,"66,328","10,455","11,769","12,782",45%,"5,219H 8M 24S","26,152","102,399,912","63,662","1,710","10,862",612,189,211,"22,108","3,341","24,574",433,831,267,3,"2,923H 8M 28S","6,883","7,670","14,553","38,888","36,968",47.3%,0.95,2.54,0.21,11H 28M 9S,12,14,28,130,104,42.9%,0.80,3.71,0.15
10,MAIK--DEVED,50.10,961,97,"3,403",184,"369,138","459,135",21,"18,393",1.16,"65,748","20,962","11,758","7,672",58.6%,"4,647H 23M 38S","20,053","127,166,890","76,148","2,575","15,247","1,375",95,91,"21,463","2,845","44,662",969,783,549,12,"2,044H 15M 56S","5,571","4,416","9,987","31,620","35,752",55.8%,1.13,3.58,0.29,"1,265H 39M 23S","2,184","1,585","3,773","15,441","15,637",57.9%,1.01,4.14,0.21
11,TL Syzygy,46.40,656,45,"2,301",149,"277,502","280,838",26,"12,459",1.51,"49,499","14,758","11,753","4,942",67.2%,"3,939H 37M 4S","17,493","89,245,021","74,904","2,445","11,338",901,11,13,"32,514","1,969","36,099",681,703,308,1,"1,453H 1M 55S","4,246","2,778","7,024","19,448","24,210",60.4%,1.24,3.45,0.28,619H 34M 21S,"1,082",774,"1,864","7,687","9,292",58%,1.21,4.98,0.25
12,zPykachu,44.80,963,52,"2,623",101,"321,552","91,250",56,"16,092",1.56,"41,445","15,790","11,751","4,201",73%,"3,732H 58M 9S","16,090","110,331,899","64,629","2,494","11,670",732,30,23,"40,540","2,578","33,564",495,481,224,0,"1,129H 34M 57S","3,315","1,893","5,208","14,269","18,710",63.7%,1.31,3.59,0.28,485H 35M 12S,"1,064",430,"1,495","5,609","8,295",71.2%,1.48,5.55,0.28
13,Linkrho98,51.90,"1,161",79,"5,312",122,"440,393","789,185",28,"22,571",2.20,"42,977","31,616","11,751","3,591",76.5%,"3,610H 56M 39S","15,361","159,823,963","94,513","3,734","16,414","1,343",149,139,"39,693","3,042","42,014","1,795",847,990,14,"1,717H 14M 26S","6,274","1,980","8,254","18,611","42,120",76%,2.26,5.10,0.41,451H 39M 28S,771,539,"1,311","5,322","8,854",58.8%,1.66,6.75,0.33
14,TxLvi,47.20,306,14,827,45,"117,046",22,0,"5,725",1.57,"38,133","5,996","11,742","3,187",76.6%,"3,883H 13M 30S","15,326","38,732,196","60,034",723,"4,364",230,16,9,"15,549",495,"14,347",68,37,25,0,306H 21M 29S,"1,128",496,"1,624","4,116","5,687",69.5%,1.38,3.50,0.31,518H 12M 26S,857,720,"1,580","6,908","6,696",54.2%,0.97,4.24,0.22
15,handy0502,41.50,348,56,"1,524",40,"262,809","226,832",7,"14,070",1.42,"39,606","11,315","11,744","6,226",61.6%,"4,736H 22M 39S","19,062","100,410,910","56,425","2,401","9,594","1,299",215,201,"40,715","4,449","36,477",347,546,285,2,"2,453H 49M 16S","6,224","3,780","10,004","23,639","29,891",62.2%,1.26,2.99,0.20,106H 29M 46S,214,122,336,"1,138","1,483",63.7%,1.30,4.41,0.23
16,Kingmorhaf,58.70,262,38,"1,499",114,"249,257","344,566",14,"10,987",1.58,"51,314","10,991","11,745","4,494",64.8%,"5,087H 54M 13S","18,136","75,383,223","80,923","1,192","6,736",642,162,261,"22,154","3,030","19,018",272,331,143,4,600H 49M 2S,"1,916",758,"2,674","8,659","11,170",71.7%,1.29,4.18,0.31,"1,299H 49M 54S","2,160","1,639","3,807","15,861","21,319",56.7%,1.34,5.60,0.27
17,StannicLB,27.50,"1,427",153,"4,118",144,"435,751","1,171,712",109,"22,005",1.09,"46,634","17,903","11,734","5,680",67.4%,"4,062H 19M 35S","17,422","159,237,937","50,707","4,051","19,113","1,702",518,470,"67,432","10,864","63,131",946,593,913,8,"3,742H 35M 54S","10,958","5,207","16,165","42,333","46,497",67.8%,1.10,2.88,0.21,211H 7M 19S,413,229,642,"2,393","2,365",64.3%,0.99,3.68,0.19
18,ALMAR_RJ,42.90,"1,050",73,"3,332",179,"409,852","570,321",52,"23,963",1.40,"65,471","20,831","11,733","7,691",59%,"5,351H 47M 17S","19,898","162,839,599","91,384","3,699","17,756","1,285",58,40,"46,034","3,606","65,728",184,168,133,9,"1,114H 47M 44S","3,749","1,880","5,629","13,804","22,936",66.6%,1.66,4.07,0.34,"3,129H 35S","4,858","4,197","9,060","36,975","42,382",53.6%,1.15,4.68,0.23
19,PAPI CHULO 157,34.90,"1,696",138,"3,751",398,"636,701","626,514",42,"32,358",1.08,"75,944","24,233","11,733","10,076",53.2%,"5,312H 34M 55S","22,064","174,163,418","82,040","4,718","23,229","1,967",170,195,"53,496","14,646","49,238","2,460","2,730",983,2,"3,286H 1M 20S","8,014","6,633","14,647","44,739","49,365",54.7%,1.10,3.37,0.25,"1,449H 5M 38S","2,344","2,116","4,467","19,814","21,360",52.5%,1.08,4.78,0.25
20,Praughdigy,45.00,294,37,"1,150",113,"116,968","394,957",17,"6,460",1.81,"42,930","5,715","11,731","3,163",77.1%,"3,518H 6M 29S","15,216","40,554,038","77,553",872,"4,193",717,55,166,"12,666","2,166","12,232",696,729,311,14,472H 53M 35S,"1,333",967,"2,300","6,232","9,549",58%,1.53,4.15,0.34,436H 57M 33S,768,524,"1,293","5,026","6,520",59.4%,1.30,5.04,0.25
21,zLukiTaaa__,59.10,857,139,"4,718",120,"590,139","401,348",20,"28,895",1.16,"87,605","28,541","11,730","8,977",53.4%,"6,368H 40M 20S","21,986","214,494,111","101,468","5,104","24,548","2,436",31,64,"75,258","4,235","83,222",654,612,284,0,478H 10M 16S,"1,172",990,"2,162","7,594","8,174",54.2%,1.08,3.78,0.28,"5,922H 28M 37S","10,303","7,843","18,153","77,709","89,757",56.8%,1.16,4.94,0.25
22,W_E_M_3_,44.80,"1,788",88,"3,377",118,"346,994","670,618",132,"16,942",1.01,"64,866","19,993","11,813","8,195",55%,"5,838H 46M 51S","21,483","138,709,715","65,478","3,555","14,718","1,638",113,99,"54,423","6,024","43,460",297,191,245,8,"3,628H 19M 23S","8,237","5,048","13,285","43,957","44,697",62%,1.02,3.36,0.21,8H 4M 45S,12,14,26,92,105,46.2%,1.14,4.04,0.22
