,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,Bagman.ACEs,48.70,601,81,"5,762",119,"465,752","1,285,386",240,"21,180",1.12,"61,130","27,523","12,623","4,701",72.7%,"4,516H 18M 4S","17,355","173,995,793","68,306","4,081","24,266","1,189",212,107,"43,719","6,931","55,445",339,125,272,14,"1,868H 14M 10S","6,562","2,078","8,640","23,756","28,434",75.9%,1.20,3.29,0.25,"1,242H 1M 38S","2,220","1,388","3,610","16,450","16,320",61.5%,0.99,4.52,0.22
1,GunningGuru,45.10,435,85,"2,871",73,"381,948","668,177",533,"21,056",1.54,"37,661","20,281","12,619","2,624",80.9%,"3,494H 40M 2S","15,601","139,467,934","57,898","3,704","17,729","1,017",28,46,"54,341","3,371","39,420","1,826","1,254",776,2,"2,400H 2M 26S","9,802","1,729","11,531","25,618","42,108",85%,1.64,3.65,0.29,513H 58M 13S,939,551,"1,491","5,931","6,648",63%,1.12,4.46,0.22
2,tyswagger100,21.00,202,97,"2,342",361,"335,881","510,643",177,"21,359",0.75,"75,527","9,497","12,619","12,161",46.8%,"5,873H 37M 51S","26,989","142,361,169","56,768","2,957","18,860","2,017",278,308,"50,491","36,366","60,658","1,704","1,488","1,244",14,"3,053H 43M 43S","7,663","7,431","15,094","43,945","32,941",50.8%,0.75,2.18,0.18,598H 45M 18S,862,932,"1,804","8,579","4,962",47.8%,0.58,2.75,0.14
3,PGC_CrazyTornado,35.30,"1,305",77,"2,356",368,"307,397","75,371",4,"17,198",0.93,"71,829","13,248","12,633","8,245",50%,"6,473H 15M","25,259","110,064,488","66,575","2,850","13,718","1,875",71,54,"46,033","3,200","30,853",951,"2,003",804,0,"3,083H 22M 27S","7,852","4,331","12,183","42,783","36,708",64.5%,0.86,3.01,0.20,438H 22M 38S,670,679,"1,356","5,907","5,087",49.4%,0.86,3.75,0.19
4,Saabo.,49.40,697,79,"3,364",80,"378,355","317,043",102,"19,248",2.03,"37,891","22,266","12,604","4,374",73.6%,"3,973H 24M 16S","17,129","129,574,339","76,975","2,936","12,152","1,012",109,178,"42,452","4,285","43,267","1,110","1,308",412,5,"2,200H 6M 32S","7,225","2,802","10,027","21,247","43,392",72.1%,2.04,4.33,0.33,496H 54M 50S,830,620,"1,450","5,308","8,013",57.2%,1.51,5.53,0.27
5,Jqku,44.50,611,83,"3,879",100,"383,959","170,499",21,"19,395",2.03,"31,715","19,698","12,588","2,660",81.7%,"3,577H 52M 42S","15,404","134,760,110","64,534","4,359","14,685","1,514",47,79,"37,529","10,624","42,366",619,944,300,2,"1,963H 21M 25S","7,619","1,540","9,159","17,342","36,147",83.2%,2.08,3.95,0.31,639H 20M 44S,"1,189",705,"1,896","6,393","9,330",62.7%,1.46,4.92,0.24
6,DamnnnnDaddy,32.00,"1,127",100,"4,528",195,"431,323","700,449",125,"26,342",1.82,"46,428","20,078","12,587","6,740",64.4%,"4,764H 7M 33S","19,532","154,871,440","84,403","5,057","16,905","1,556",270,514,"53,892","12,705","61,648","2,431","3,770",926,17,"2,717H 28M 42S","8,240","3,798","12,038","25,139","48,491",68.4%,1.93,4.03,0.30,910H 17M 59S,"1,396","1,155","2,554","9,614","14,596",54.7%,1.52,5.71,0.27
7,Rinroh,41.30,"1,579",131,"6,708",150,"672,222","1,074",19,"36,362",1.28,"99,691","29,688","12,575","10,949",51.3%,"7,651H 32M 24S","24,515","238,113,211","127,893","5,938","26,169","2,391",4,7,"73,679","21,523","87,106","1,581","2,038",239,0,89H 6M 24S,227,148,375,"1,316","1,828",60.5%,1.39,4.87,0.34,"7,655H 14M 16S","12,253","10,748","23,037","97,524","124,926",53.2%,1.28,5.42,0.27
8,Lewisited,40.40,"1,327",71,"2,380",124,"312,238","71,196",22,"16,574",1.81,"43,144","15,136","12,560","4,271",71.3%,"4,556H 21M 48S","17,608","104,619,998","78,149","2,222","9,910","1,332",27,61,"34,949","2,103","37,350",559,966,272,0,"1,053H 6M 37S","3,533","1,437","4,970","12,413","20,520",71.1%,1.65,4.13,0.32,"1,390H 18M 48S","2,420","1,751","4,171","15,249","20,717",58%,1.36,4.97,0.25
9,ElQaRAoUi,51.00,495,47,"2,371",65,"262,640",20,1,"11,978",1.52,"50,848","14,291","12,551","3,859",75.7%,"4,367H 25M 59S","16,574","79,689,913","77,528","2,008","9,264",704,12,13,"22,114","4,007","25,420",452,558,156,0,612H 1M 40S,"1,995","1,072","3,067","8,119","10,938",65%,1.35,3.57,0.30,"1,997H 3M 6S","4,331","1,693","6,031","21,983","29,737",71.8%,1.35,4.93,0.25
10,King Clutch IX,42.90,"1,053",76,"4,587",138,"489,474","657,171",191,"23,913",2.34,"26,880","22,214","12,545","1,562",88.9%,"3,070H 24M 42S","14,119","161,185,647","62,776","5,080","17,640","1,257",69,129,"50,241","17,689","63,450","1,434","1,559",774,7,"2,308H 52M 28S","9,506","1,449","10,955","20,211","47,069",86.8%,2.33,4.30,0.34,52H 36M 50S,149,21,170,376,807,87.6%,2.15,4.75,0.26
11,frosttime,46.60,931,84,"5,634",183,"543,272","849,711",237,"23,216",1.12,"86,698","28,314","12,524","8,122",59.6%,"6,470H 20M 55S","21,019","171,979,639","96,729","3,301","20,064","1,567",83,85,"65,178","5,186","64,487","1,262",859,592,8,459H 9M 7S,"1,313",735,"2,048","6,437","8,858",64.1%,1.38,4.33,0.32,"5,959H 32M 27S","10,780","7,219","18,025","77,766","83,939",59.8%,1.08,4.66,0.23
12,T3J.Stilnox,42.30,151,34,582,21,"80,123","56,927",20,"4,118",1.01,"10,546","3,468","12,508","1,585",51.6%,"4,771H 17M 27S","24,230","28,442,751","10,658",578,"2,994",332,110,132,"10,293","1,984","10,189",140,158,106,1,733H 5M 50S,"2,335","1,416","3,751","9,015","9,162",62.3%,1.02,2.44,0.21,12H 6M 7S,20,17,37,166,132,54.1%,0.80,3.57,0.18
13,GR8GAZOO74,31.00,523,94,"1,993",98,"293,410","99,254",14,"23,567",1.05,"78,638","13,726","12,495","10,572",51.9%,"5,084H 27M 24S","24,096","110,236,928","82,755","1,822","15,497",776,90,80,"39,333","4,935","18,558","1,087","1,105",523,0,"2,714H 23M 54S","7,057","5,812","12,869","41,162","44,216",54.8%,1.07,3.44,0.27,"1,390H 11M 47S","1,904","1,889","3,794","18,750","15,798",50.2%,0.84,4.16,0.19
14,Purlux,56.50,676,69,"5,390",107,"611,270","751,460",21,"27,644",1.53,"63,549","36,689","12,493","3,849",73.2%,"4,862H 31M 48S","17,066","210,157,973","97,357","3,823","22,330","1,375",60,56,"78,132","12,469","89,402",798,293,346,12,168H 20M 12S,747,160,907,"1,927","4,850",82.4%,2.52,5.35,0.48,"4,599H 35M 41S","11,333","3,592","14,931","59,863","88,454",75.9%,1.48,5.92,0.32
15,bougi420,43.80,"2,378",90,"2,871",235,"335,236","629,595",88,"18,454",0.93,"74,880","19,225","12,492","12,549",49.6%,"5,120H 22M 14S","25,188","131,522,166","69,834","3,376","18,081","2,269",287,280,"38,914","8,014","35,225","1,575","1,215",953,15,"2,806H 39M 42S","7,262","7,066","14,328","41,266","39,973",50.7%,0.97,2.79,0.24,532H 44M 4S,815,881,"1,696","7,231","6,191",48.1%,0.86,3.65,0.19
16,YxsEclezya,56.80,654,103,"4,120",170,"482,412","1,166,747",368,"24,758",1.75,"40,256","23,310","12,488","3,178",79.7%,"3,530H 43M 44S","15,678","140,750,236","70,566","4,225","18,144","1,480",197,214,"30,861","6,454","41,013","1,037",538,635,21,"2,272H 18M 13S","9,208","2,111","11,319","25,600","48,400",81.3%,1.89,4.28,0.35,"1,178H 41M 4S","2,483",940,"3,430","12,281","17,985",72.4%,1.46,5.24,0.25
