,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,SLHPZ-,53.90,"1,782",86,"5,479",189,"601,193","537,091",29,"28,359",1.08,"101,637","29,515","11,930","10,556",51.1%,"6,800H 57M 16S","23,326","178,742,608","109,783","4,116","23,847","2,087",66,86,"37,755","1,856","64,026",839,757,401,8,534H 11M 18S,"1,352","1,169","2,521","7,940","9,604",53.6%,1.21,3.81,0.30,"6,230H 48M 44S","10,256","9,186","19,482","91,287","97,082",52.6%,1.06,4.98,0.26
1,JAYLRZ,46.10,"1,181",58,"4,758",309,"376,251","879,447",186,"20,800",1.46,"43,419","21,590","11,966","4,240",72.1%,"3,774H 39M 20S","16,600","141,833,336","63,604","4,687","18,288","1,816",162,140,"45,281","3,754","32,178","1,141",911,682,11,"2,734H 34M 55S","9,534","2,886","12,420","31,695","47,042",76.8%,1.48,3.79,0.29,255H 54M 47S,481,243,724,"2,779","3,721",66.4%,1.34,5.14,0.24
2,P4UL47EJ4N0,44.10,"1,175",106,"4,592",290,"468,600","1,400,796",219,"25,533",1.21,"66,835","21,003","11,925","7,896",59.5%,"5,231H 7M 16S","20,036","159,851,121","81,132","4,278","18,926","1,950",115,216,"48,059","8,812","60,776",389,422,313,25,"2,234H 35M 49S","6,801","3,470","10,271","25,517","34,704",66.2%,1.36,3.38,0.26,"3,224H 25M 19S","4,895","4,285","9,239","39,952","44,543",53%,1.11,4.82,0.23
3,Y0U...,56.30,"1,811",60,"2,581",87,"324,920","1,785",0,"13,230",1.13,"69,035","16,482","11,924","9,391",53.3%,"4,769H 52M 9S","22,392","108,222,501","78,197","2,039","11,339","1,137",61,38,"36,096","5,849","44,191",446,410,154,0,"2,115H 2M 49S","5,357","4,639","9,996","32,566","31,883",53.6%,0.98,3.19,0.25,453H 18M 1S,751,681,"1,437","6,309","7,128",52.3%,1.13,4.96,0.26
4,xDreeamy,44.80,"1,686",114,"7,131",279,"711,888","1,217,417",193,"32,279",1.31,"74,511","36,812","11,916","5,577",64%,"5,482H 43M 35S","18,619","227,511,653","97,378","4,479","27,331","2,294",40,71,"69,742","8,377","102,953","1,515",808,590,14,114H 29M 44S,323,227,550,"1,725","2,064",58.7%,1.20,3.75,0.30,"5,356H 35M 51S","11,437","5,304","16,744","72,010","93,774",68.3%,1.30,5.60,0.29
5,kinkistudx,35.00,"1,397",138,"4,826",252,"669,340","1,812,357",813,"37,775",1.15,"84,038","25,795","11,910","8,942",56.3%,"6,933H 34M 39S","21,142","237,304,266","96,833","7,837","32,575","2,878",139,123,"64,412","21,443","104,878","1,939","1,446","1,079",15,157H 46M 48S,485,233,718,"1,824","2,691",67.5%,1.48,3.75,0.28,"6,547H 23M 17S","10,790","8,343","19,140","78,222","87,684",56.4%,1.12,4.58,0.22
6,Buqik,40.40,"3,423",101,"3,475",546,"359,173","636,922",335,"18,370",1.33,"53,335","15,779","11,908","7,095",61.3%,"4,700H 47M 33S","19,429","132,352,203","70,943","3,500","14,450","1,880",80,77,"56,572","8,066","44,099","1,218","1,462",624,9,"2,009H 52M 8S","5,916","3,330","9,246","22,404","28,754",64%,1.28,3.11,0.24,"1,567H 16M 35S","2,594","2,146","4,766","16,194","21,418",54.4%,1.32,4.49,0.23
7,Misimoi,48.50,441,136,"4,326",45,"518,616","494,295",8,"26,452",2.16,"39,110","33,675","11,903","6,017",66.1%,"3,999H 12M 16S","18,007","170,515,825","84,533","2,950","13,393","1,081",59,105,"36,775","10,324","53,974",191,198,99,8,"2,809H 2M","9,128","4,453","13,581","26,525","60,904",67.2%,2.30,4.48,0.36,421H 20M 25S,696,493,"1,189","4,410","7,056",58.5%,1.60,5.93,0.28
8,MK-187,47.10,474,109,"3,803",153,"477,635","1,554,815",65,"21,733",0.87,"99,502","21,059","11,897","10,957",51.4%,"7,437H 30M 40S","23,162","172,654,421","86,806","5,831","27,121","2,311",80,183,"69,475","16,374","75,059","1,222","2,242",924,11,306H 57M 30S,856,561,"1,417","4,170","3,657",60.4%,0.88,2.58,0.20,"7,182H 49M 8S","10,819","10,257","21,092","93,987","81,636",51.3%,0.87,3.87,0.19
9,Twyhard,46.10,824,68,"3,585",215,"433,278",913,0,"22,918",1.52,"48,029","20,106","11,896","4,250",71.9%,"3,651H 40M 28S","16,554","144,987,232","73,231","3,661","18,268","1,260",2,7,"32,352","2,070","51,754",67,45,18,0,"2,070H 49M 32S","7,413","2,816","10,229","28,438","43,627",72.5%,1.53,4.27,0.35,731H 48M 41S,"1,346",895,"2,242","8,884","10,521",60%,1.18,4.69,0.24
