,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,Xyliganka_,53.10,645,95,"7,286",322,"792,706","1,257,077",14,"37,330",1.07,"113,999","42,595","14,071","11,978",49.3%,"8,621H 4M 56S","28,528","228,041,924","122,104","5,178","30,155","2,160",391,394,"76,365","13,304","56,150","1,421","1,461",734,17,"3,123H 40M 21S","6,309","4,559","10,868","44,941","51,465",58.1%,1.15,4.74,0.27,"4,139H 51M 10S","6,448","6,345","12,807","60,939","60,386",50.3%,0.99,4.72,0.24
1,lGodzy,48.50,752,85,"3,623",93,"495,016","676,642",8,"25,873",1.78,"50,926","24,852","14,082","5,354",71.1%,"4,813H 43M 26S","19,815","157,532,728","90,517","3,458","15,829","1,400",20,34,"50,950","11,181","46,240","1,248","1,436",546,5,"1,768H 49S","5,672","2,316","7,988","20,647","36,665",71%,1.78,4.59,0.35,"1,013H 26M 36S","1,834","1,258","3,093","11,268","17,697",59.3%,1.57,5.72,0.29
2,Revy minds,49.70,864,120,"5,408",288,"609,055","773,904",933,"31,276",1.55,"81,926","33,549","14,061","7,923",62.4%,"6,470H 1M 8S","22,524","209,741,287","127,263","4,298","20,719","1,615",126,100,"74,506","12,654","68,514","1,324","1,459",584,10,698H 18M 12S,"2,418","1,112","3,530","8,648","15,829",68.5%,1.83,4.48,0.38,"5,263H 40M 32S","9,930","6,106","16,060","63,684","93,140",61.8%,1.46,5.80,0.29
3,X_X_XT3NTACI00N,53.70,"1,436",80,"5,418",179,"570,882","1,253,910",363,"29,214",1.69,"68,975","35,000","14,028","5,296",70.8%,"5,831H 28M 7S","19,825","186,084,581","116,660","3,756","17,985","1,637",127,93,"59,708","5,901","63,437","1,446",929,657,21,756H 36M 38S,"2,696","1,146","3,842","9,737","19,274",70.2%,1.98,5.02,0.42,"4,675H 39M 47S","9,856","3,466","13,347","50,595","81,054",73.8%,1.60,6.07,0.29
4,Rango-,60.40,702,167,"3,785",83,"545,688","687,955",28,"24,473",1.35,"65,279","36,189","14,007","9,166",58.7%,"5,782H 18M 30S","23,870","178,819,493","88,188","3,767","17,655","1,869",499,644,"69,647","4,811","60,528","1,279","1,165",892,15,"4,291H 20M 27S","11,050","6,924","17,974","48,506","66,196",61.5%,1.36,3.68,0.26,170H 25M 3S,356,222,578,"2,073","3,006",61.6%,1.45,5.20,0.29
5,LEVIJR2014,39.10,713,90,"2,732",344,"421,437","713,528",9,"21,881",0.86,"78,748","14,705","14,010","12,063",48.2%,"6,796H 42M 51S","29,081","156,525,274","67,901","4,178","17,930","1,973",367,555,"80,506","7,574","49,404",885,"1,966",949,11,"3,185H 31M 59S","8,075","6,912","14,987","41,181","36,319",53.9%,0.88,2.42,0.19,"1,220H 18M 23S","1,846","1,931","3,777","15,635","9,994",48.9%,0.64,2.65,0.14
6,OGofSiege,41.80,"1,656",151,"5,679",530,"543,330","1,848,212",201,"28,978",0.95,"84,963","27,720","13,968","11,911",52.7%,"6,740H 32M 23S","26,486","210,468,706","80,906","5,674","27,082","2,803",268,315,"93,040","14,305","53,605","2,584","2,367","1,811",36,"3,819H 15M 57S","9,743","7,527","17,270","51,004","50,958",56.4%,1.00,2.95,0.22,"2,411H 40M 26S","3,381","3,549","6,930","28,481","25,279",48.8%,0.89,3.65,0.17
7,oMuLm,45.90,"1,102",63,"2,885",447,"333,063","81,621",10,"16,765",1.38,"61,821","17,226","13,966","8,602",60.6%,"4,733H 6M 57S","23,059","104,174,601","85,532","2,740","13,101","1,477",26,53,"19,798","2,347","35,952",864,"1,827",465,0,"2,176H 44M 28S","6,143","4,926","11,069","28,482","37,760",55.5%,1.33,3.41,0.29,600H 5M 22S,959,869,"1,832","7,533","8,877",52.3%,1.18,4.85,0.25
8,xScxry7,41.20,617,50,"1,377",185,"317,598","12,231",4,"13,983",1.07,"89,859","9,570","13,942","10,927",52.8%,"5,509H 8M 52S","26,382","90,489,552","95,815","2,449","12,004","1,812",25,35,"27,521","3,513","30,040",255,515,181,0,"2,041H 36M 51S","5,320","4,610","9,930","26,283","24,541",53.6%,0.93,2.47,0.20,627H 52M 22S,"1,147",927,"2,076","8,320","7,791",55.3%,0.94,3.75,0.21
9,inf9mous,45.50,326,65,"2,468",134,"269,313","315,983",6,"12,483",1.56,"34,695","12,894","13,931","4,498",74.9%,"3,820H 23M 43S","18,594","96,934,243","53,998","2,870","10,117","1,332",26,48,"48,151","8,804","41,009",237,409,262,1,"2,117H 10M 33S","6,699","3,713","10,412","21,889","31,374",64.3%,1.43,3.01,0.25,18H 53M 11S,39,16,55,192,264,70.9%,1.38,4.80,0.23
