,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,fikealox,49.69,624,125,"8,834",141,"571,248","1,705,436",68,"28,235",2.53,"31,146","39,213","16,457","3,343",83.1%,"4,367H 56M 6S","19,800","203,281,729","78,908","8,060","25,576","2,619",455,426,"46,793","6,246","68,413","1,072",699,862,39,"4,303H 51M 55S","16,261","3,303","19,564","30,712","77,981",83.1%,2.54,3.99,0.30,27H 13M 47S,88,9,97,163,422,90.7%,2.59,4.35,0.26
1,Dxbst3p,40.40,"1,753",164,"6,659",184,"720,292","1,135,729",155,"34,766",1.48,"67,317","34,415","16,432","8,942",64.6%,"5,993H 10S","25,454","250,152,243","99,712","7,556","28,426","2,665",129,184,"97,074","11,440","90,391","2,447","3,136","1,498",16,"3,495H 14M 1S","11,308","5,786","17,094","38,835","59,615",66.2%,1.54,3.49,0.28,"1,581H 26M 11S","2,684","2,079","4,763","17,620","23,519",56.4%,1.33,4.94,0.25
2,I Raagnar,36.00,"1,650",81,"2,935",83,"427,872","961,716",25,"23,592",2.19,"29,603","17,296","16,337","2,150",86.7%,"4,190H 35M 27S","18,848","143,272,362","64,958","4,360","13,883","1,477",317,289,"46,153","8,820","59,395","1,783","1,800","1,113",20,"2,871H 18M 24S","11,860","1,399","13,259","20,141","47,260",89.4%,2.35,3.56,0.27,195H 18M 1S,356,176,532,"1,697","2,565",66.9%,1.51,4.82,0.22
3,Booelol,45.90,"1,442",113,"6,210",169,"710,518","988,997",239,"37,959",1.24,"99,104","28,583","16,294","7,297",66.6%,"7,333H 59M 20S","24,477","249,580,376","122,778","5,705","30,978","2,126",78,191,"76,818","7,561","84,092","2,105","1,372",824,11,193H 4M 18S,531,387,918,"2,740","2,992",57.8%,1.09,3.26,0.26,"7,171H 51M 37S","15,570","6,836","22,419","95,227","118,173",69.5%,1.24,5.27,0.27
4,SpookyKoolaidz,33.90,"1,110",85,"3,933",124,"416,582","823,152",324,"22,516",1.73,"35,454","17,009","16,268","2,709",85.2%,"4,266H 10M 29S","19,098","159,758,522","61,412","6,124","19,912","1,676",167,205,"55,940","7,762","53,734",577,514,395,14,"3,284H 39M 6S","12,837","2,242","15,079","27,571","48,857",85.1%,1.77,3.24,0.25,265H 38M 35S,553,218,771,"2,482","3,284",71.7%,1.32,4.26,0.21
5,Bysa_iQ,46.50,"1,446",112,"5,111",320,"697,933","626,708",66,"37,004",1.67,"69,743","31,436","16,207","7,459",67.2%,"5,969H 13M 18S","24,104","217,686,295","116,572","5,382","24,313","1,793",148,135,"73,927","7,506","80,371","2,291","2,212","1,335",9,"2,336H 13M 13S","8,223","3,073","11,296","28,386","47,991",72.8%,1.69,4.25,0.34,"2,553H 31M 31S","4,613","3,453","8,069","30,559","47,680",57.2%,1.56,5.91,0.31
6,SixStarMachine,57.20,"1,104",104,"6,083",157,"551,198","932,279",195,"26,925",1.78,"62,129","34,448","16,204","6,022",72.2%,"5,182H 5M 46S","22,456","193,287,342","110,828","3,858","19,185","1,748",108,112,"45,407","3,476","63,116","1,762","1,288","1,037",12,"2,475H 14M 39S","8,909","3,244","12,153","29,516","54,336",73.3%,1.84,4.47,0.37,"1,108H 51M 13S","1,999","1,289","3,288","13,597","20,169",60.8%,1.48,6.13,0.30
7,MapIe_Apache,40.60,"2,803",180,"7,898",373,"681,598","1,616,446",297,"36,661",1.43,"75,446","37,018","16,151","7,576",61.8%,"6,711H 27M 5S","26,129","214,797,176","108,030","7,168","27,819","3,585",287,513,"64,979","11,300","88,204","4,449","4,105","2,009",36,"3,599H 42M 9S","10,736","4,578","15,314","47,080","69,636",70.1%,1.48,4.55,0.32,"1,538H 17M 47S","2,917","1,559","4,479","17,326","24,098",65.1%,1.39,5.38,0.26
8,Knjfey,53.50,882,62,"3,133",128,"351,716","431,126",123,"16,738",1.81,"49,662","19,349","16,150","4,493",76.8%,"4,506H 53M 2S","21,025","103,671,968","89,645","2,782","12,668","1,224",30,38,"31,330","1,858","30,948",734,697,314,4,"2,094H 19M 18S","6,883","3,272","10,155","26,219","38,860",67.8%,1.48,3.83,0.31,386H 45M 39S,769,443,"1,213","4,524","6,489",63.4%,1.43,5.35,0.28
9,BzAsh.GIS,35.40,"1,819",159,"6,251",448,"656,753","564,315",252,"40,899",0.97,"136,076","28,891","16,053","14,327",52%,"9,083H 33M 19S","30,860","276,513,263","132,406","5,200","32,617","2,416",56,54,"89,751","5,965","80,914","1,902","2,028",823,3,"1,275H 5M 14S","2,908","2,539","5,447","19,520","15,485",53.4%,0.79,2.84,0.20,"6,847H 15M 9S","10,843","10,411","21,258","100,665","96,402",51%,0.96,4.53,0.23
