,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,zFanfarrao,48.10,"1,768",129,"6,466",172,"683,318","1,379,670",222,"33,521",2.05,"66,421","35,092","28,861","4,817",85.3%,"6,925H 51M 33S","33,842","234,984,867","136,175","7,519","28,643","2,145",604,527,"59,382","9,262","91,252","2,696","2,769","2,148",20,"3,944H 8M 57S","17,027","3,272","20,299","36,823","72,259",83.9%,1.96,3.56,0.31,971H 45M 25S,"2,189",794,"2,984","8,294","14,523",73.4%,1.75,4.87,0.25
1,x.C.H.R.I.S.x,36.80,"1,051",165,"4,274",452,"941,097",959,12,"49,117",1.16,"143,069","31,845","28,379","23,204",51.3%,"13,287H 52M 37S","55,370","268,292,646","165,987","4,978","24,511","1,566",309,274,"61,239","11,735","76,693","1,207","1,807",560,0,"7,631H 49M 27S","17,576","14,338","31,914","90,986","101,832",55.1%,1.12,3.19,0.22,86H 2M 6S,124,151,275,"1,061",758,45.1%,0.71,2.76,0.15
2,ZootvonKlaus,38.40,"1,535",160,"7,434","1,540","778,183","1,608,086",236,"38,363",2.00,"68,313","39,249","27,832","5,008",75.2%,"8,904H 7M 51S","37,017","232,259,457","136,737","6,858","25,562","3,263",288,668,"101,139","10,647","82,202","2,978","1,834","1,764",11,"3,712H 50M 17S","13,463","3,404","16,867","38,037","76,840",79.8%,2.02,4.56,0.34,"1,447H 35M 47S","3,849",674,"4,525","12,135","18,717",85.1%,1.54,4.14,0.22
3,x ranl x,37.70,"2,423",154,"7,092",291,"727,101","1,928,808",67,"34,349",1.34,"102,664","42,872","26,386","9,149",72.2%,"7,728H 43M 25S","36,565","243,226,146","137,081","7,944","39,054","2,374",265,149,"52,799","4,162","54,851","3,095",876,"1,365",28,"4,839H 59M 27S","17,404","5,915","23,319","61,910","87,089",74.6%,1.41,3.73,0.30,263H 33M 47S,571,205,776,"3,210","3,894",73.6%,1.21,5.02,0.25
4,B U T C H E R,36.30,"4,322",120,"5,195",186,"618,281","967,914",248,"36,036",1.82,"60,816","26,573","25,350","4,590",83.7%,"6,647H 25M 45S","30,294","227,551,151","110,821","9,303","31,855","2,143",326,415,"95,377","14,638","69,967","2,385","2,411","1,430",10,"4,108H 20M 36S","16,808","2,899","19,707","36,865","67,892",85.3%,1.84,3.45,0.28,480H 29S,911,420,"1,334","4,614","6,178",68.3%,1.34,4.63,0.21
5,pwnwallius,39.10,"1,140",92,"6,223",153,"648,892","1,216,600",676,"34,394",1.99,"70,666","27,468","24,150","5,896",72.9%,"7,665H 44M 30S","33,107","208,886,114","140,747","6,839","24,118","1,847",34,44,"73,865","10,985","67,168","2,187","2,311","1,130",10,"3,931H 54M","15,384","2,527","17,911","34,170","67,940",85.9%,1.99,3.79,0.29,498H 27M 46S,908,558,"1,467","5,707","7,259",61.9%,1.27,4.95,0.24
6,FANG799,34.20,"1,351",168,"5,017",315,"562,767","1,140,575",12,"31,852",0.90,"124,450","25,642","24,131","19,564",55%,"9,128H 34M 31S","43,854","216,695,097","112,068","5,573","32,213","1,964",471,427,"117,429","9,561","47,799","1,215","1,358","1,137",8,"5,087H 45M 33S","14,388","10,811","25,199","67,229","58,172",57.1%,0.87,2.31,0.19,987H 15M 44S,"1,583","1,362","2,945","12,342","9,271",53.8%,0.75,3.15,0.16
7,LV17Luwis,44.90,"1,249",124,"5,415",420,"826,982","1,302,885",174,"40,590",1.39,"93,012","35,133","21,576","8,783",68.8%,"7,770H 4M 57S","31,364","271,641,915","129,193","7,182","34,329","3,074",94,73,"82,540","6,144","108,716","3,423","2,107","1,606",13,"2,346H 32M 13S","9,269","2,838","12,107","28,443","49,109",76.6%,1.73,4.06,0.35,"3,982H 56M 50S","7,243","4,830","12,080","49,292","52,621",60%,1.07,4.36,0.22
8,Blood Artist,48.40,861,126,"6,227",99,"672,022","649,825",202,"31,798",2.08,"50,824","31,396","20,711","3,408",85.5%,"5,061H 47S","24,226","248,931,654","105,743","7,291","27,933","1,953",123,89,"84,591","11,264","81,908",943,657,581,14,"2,394H 30S","9,887","2,484","12,371","23,900","45,605",79.9%,1.91,3.69,0.32,580H 53M 48S,"1,693",313,"2,008","5,325","10,743",84.3%,2.02,5.35,0.31
9,NoboIe,45.10,998,224,"5,410",300,"572,436","797,797",76,"34,475",2.47,"42,838","27,093","20,258","3,560",84.9%,"5,503H 4M 22S","23,863","179,441,633","105,864","4,727","16,657","2,743",269,630,"55,134","8,132","46,850","2,117","3,086","1,119",13,"2,570H 15M 16S","9,900","2,249","12,149","22,069","55,932",81.5%,2.53,4.60,0.36,"1,000H 12M 35S","2,263","1,039","3,303","8,917","17,446",68.5%,1.96,5.28,0.29
