,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,C.M.E.T.A.H.K.A,35.70,815,50,"2,423",56,"332,341",231,66,"17,460",1.95,"35,355","14,839","15,296","3,581",80.4%,"4,324H 14M 20S","19,036","103,987,786","69,078","2,267","10,240",772,25,47,"52,433","8,657","41,395",867,"1,407",235,0,"2,024H 47M 3S","6,899","2,498","9,397","19,740","34,686",73.4%,1.76,3.69,0.29,401H 39M 13S,665,545,"1,211","4,731","5,922",54.9%,1.25,4.89,0.25
1,DUD3isNASTY,40.60,"2,591",117,"4,003",191,"564,726","965,496",408,"28,236",1.26,"60,193","24,772","15,293","6,838",68.5%,"4,910H 5M 58S","22,313","171,780,716","75,699","4,412","21,892","2,732",263,251,"60,258","11,451","64,783","2,311","1,748","1,200",20,"3,603H 27M 31S","11,855","5,518","17,373","44,902","57,775",68.2%,1.29,3.33,0.27,543H 15M,"1,005",602,"1,607","6,040","7,038",62.5%,1.17,4.38,0.22
2,OneLastKisiels,45.20,850,90,"3,404",92,"441,599","850,207",64,"21,960",1.45,"49,530","19,056","15,258","4,426",76.5%,"4,517H 45M 33S","19,944","146,306,740","72,008","3,446","16,206","1,149",262,190,"48,299","7,969","51,656",408,407,351,12,"2,775H 8M 51S","9,559","2,988","12,547","30,859","44,340",76.2%,1.44,3.53,0.27,359H 9M 50S,737,459,"1,196","4,372","5,730",61.6%,1.31,4.79,0.27
3,ATH-Lunastra,28.40,898,131,"4,549",242,"538,381","931,831",233,"31,769",1.66,"51,273","19,702","15,260","4,901",75.4%,"5,169H 19M 22S","20,252","176,396,285","84,899","5,071","20,661","1,631",240,396,"50,055","9,470","59,691","2,123","1,869","1,215",11,"2,033H 25M 38S","7,520","2,088","9,608","20,701","37,919",78.3%,1.83,3.95,0.31,"1,696H 38M 5S","2,823","2,136","4,960","19,243","26,600",56.9%,1.38,5.36,0.26
4,JNiicks,42.60,"1,192",55,"2,242",79,"338,382","122,034",30,"17,800",1.74,"48,407","15,702","15,221","5,050",73.5%,"3,844H 26M 28S","20,695","101,754,160","84,351","2,025","11,291",976,6,9,"20,343","1,943","39,549",983,"1,269",381,1,"1,527H 39M 31S","5,304","2,569","7,873","17,420","28,982",67.4%,1.66,3.68,0.32,353H 12M 33S,630,402,"1,032","4,176","5,114",61%,1.22,4.96,0.24
5,M3AYDIN,45.10,"1,474",171,"4,153",306,"522,169","1,276,661",40,"25,713",1.05,"78,813","23,104","15,175","10,809",57.5%,"5,680H 48M 47S","26,374","172,552,810","83,033","3,421","20,469","2,312",226,409,"61,008","3,559","67,283","1,928","1,093","1,327",20,"3,587H 4M 17S","10,437","6,834","17,271","48,621","53,129",60.4%,1.09,3.08,0.25,633H 35M 5S,"1,147",699,"1,846","7,829","7,327",62.1%,0.94,3.97,0.19
6,rider-250r,38.10,"2,791",96,"1,853","5,404","366,288","100,339",61,"21,907",0.70,"83,208","13,599","15,104","20,024",42.5%,"7,110H 40M 38S","35,509","171,715,286","58,547","2,240","11,450","2,501",98,187,"45,415","5,965","56,225",152,192,78,0,"5,856H 28M 7S","12,661","17,480","30,141","69,249","43,791",42%,0.63,1.45,0.12,293H 5M 38S,405,473,878,"3,354","2,698",46.1%,0.80,3.07,0.15
7,SHANTRAH,26.80,"1,719",164,"4,078",465,"662,418","1,474,068",252,"39,626",0.94,"121,148","22,314","15,042","14,135",50.6%,"8,617H 51M 12S","29,723","222,436,690","114,484","4,834","26,411","3,694",254,523,"104,549","16,681","78,114","3,138","2,682","1,709",20,"1,326H 31M 41S","3,305","2,463","5,768","16,925","18,095",57.3%,1.07,3.14,0.23,"7,338H 23M 13S","11,697","11,641","23,358","103,982","96,174",50.1%,0.92,4.12,0.22
8,M9.-,49.50,361,99,"2,542",85,"373,530","332,399",5,"15,607",1.36,"43,433","16,574","15,037","4,489",76.6%,"4,895H 32M 23S","19,619","113,574,213","59,212","3,303","12,610","1,320",94,119,"52,584","9,602","42,061","1,264","2,438",655,2,"3,110H 53M 13S","8,599","3,887","12,486","32,091","38,983",68.9%,1.21,3.12,0.21,72H 53M 45S,126,83,209,769,807,60.3%,1.05,3.86,0.18
9,MOR_MOHAMMAD,34.25,425,77,"2,512",93,"475,752","13,225",0,"21,357",1.62,"38,498","18,207","15,022","3,028",82.5%,"3,756H 27M","18,205","137,960,667","62,349","3,314","14,992","1,421",63,27,"55,918","6,760","58,785","1,115",996,491,0,"1,937H 31M 38S","9,161","1,541","10,702","19,511","33,938",85.6%,1.74,3.17,0.29,887H 50M 26S,"1,670","1,077","2,748","9,634","13,291",60.8%,1.38,4.84,0.25
