,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,IconicTurtle90,36.90,468,122,"3,587",84,"492,032","267,526",7,"25,249",1.13,"77,859","21,601","11,840","9,346",55.4%,"5,649H 29M 58S","21,365","168,557,514","87,995","3,582","17,063","1,804",50,48,"72,712","12,336","47,914",935,"1,371",420,4,"2,208H 14M 24S","5,509","4,274","9,783","27,516","31,516",56.3%,1.15,3.22,0.24,"2,772H 43M 41S","4,261","3,964","8,235","35,032","35,552",51.7%,1.01,4.32,0.21
1,OTFreyr,48.40,948,52,"3,375",181,"347,708","255,028",35,"17,219",1.38,"56,664","21,624","11,837","5,598",64.9%,"4,813H 39M 50S","18,233","123,679,302","78,379","3,229","14,470",900,24,27,"38,284","14,001","45,130",537,753,232,4,"1,331H 16M 32S","4,113","1,811","5,924","16,625","24,249",69.4%,1.46,4.09,0.30,"1,928H 43M 19S","3,184","2,470","5,663","22,707","26,519",56.2%,1.17,4.68,0.23
2,sharpshooter_00I,33.10,"1,607",78,"3,586",257,"404,064","467,658",123,"21,358",0.99,"67,487","15,595","11,824","9,336",54.9%,"4,954H 6M 27S","21,556","136,042,282","67,086","3,770","19,252","1,323",131,134,"46,140","5,935","50,272","1,371","1,201",872,17,"2,621H 34M","6,754","5,250","12,004","33,721","34,027",56.3%,1.01,2.83,0.22,"1,219H 43M 9S","1,904","1,731","3,637","14,744","13,594",52.4%,0.92,3.74,0.19
3,InternaIPrimates,39.70,680,97,"2,831",124,"481,147","128,639",25,"23,962",1.38,"56,944","18,540","11,822","7,380",61.4%,"5,905H 56M 54S","19,269","168,716,756","78,392","4,545","16,177","1,208",48,57,"66,346","8,754","59,730",485,887,235,3,733H 10M 22S,"1,879","1,360","3,239","7,222","10,280",58%,1.42,3.17,0.23,"2,762H 36M 30S","4,015","3,828","7,843","28,258","34,097",51.2%,1.21,4.35,0.21
4,FlipBubble,38.00,510,71,"4,337",125,"458,669","1,118,931",187,"24,130",1.92,"30,602","23,624","11,822","3,131",79.1%,"3,296H 35M 47S","14,953","157,367,354","58,720","4,894","18,167","1,626",158,174,"44,108","7,213","55,333",287,270,204,7,"3,062H 39M 55S","11,238","2,916","14,154","28,088","54,683",79.4%,1.95,3.86,0.30,136H 48M 40S,294,113,407,"1,276","2,242",72.2%,1.76,5.51,0.27
5,HIMLAR k11,21.50,983,61,"1,325",98,"211,547",193,0,"13,931",0.87,"62,084","8,294","11,835","9,821",46.6%,"4,980H 40M 24S","25,399","84,417,181","54,137","2,375","12,262",955,129,95,"23,713","2,344","22,503",439,577,396,0,"2,379H 50M 16S","6,501","5,671","12,172","35,681","28,195",53.4%,0.79,2.32,0.20,73H 38M 18S,107,123,235,"1,039",786,45.5%,0.76,3.34,0.18
6,Desmer.,56.10,"2,031",124,"5,094",98,"401,326","639,838",244,"21,866",1.88,"35,962","27,733","11,806","3,968",74.6%,"3,453H 59S","15,824","152,941,514","67,588","4,384","17,120","2,144",197,325,"48,911","5,332","49,840",999,779,550,16,"2,832H 22M 26S","10,188","3,260","13,448","27,792","55,401",75.8%,1.99,4.12,0.33,258H 31M 18S,574,217,791,"2,735","3,860",72.6%,1.41,4.88,0.25
7,ShadowReach8837,37.80,"3,430",92,"6,449",200,"609,371","2,396,479",558,"31,584",0.97,"92,022","26,988","11,804","9,085",56.2%,"6,610H 46M 36S","20,999","229,352,277","89,364","6,090","32,688","2,355",315,448,"88,375","21,051","102,031","3,991","1,922","2,218",23,447H 49M 15S,"1,408",621,"2,029","6,318","7,193",69.4%,1.14,3.55,0.27,"6,045H 50M 1S","9,956","8,140","18,100","82,840","79,338",55%,0.96,4.38,0.22
8,terryrocksx_,39.40,"1,592",128,"2,994",316,"414,015","696,295",32,"24,557",1.07,"66,090","18,040","11,803","8,409",56.2%,"4,728H 38M 1S","21,012","130,848,613","70,617","2,817","20,132","1,852",190,365,"22,264","6,619","37,410","2,225","1,174","1,034",16,"2,409H 13M 51S","6,564","5,374","11,938","36,744","35,839",55%,0.98,3.00,0.25,"1,336H 25M 54S","2,800","1,287","4,088","14,364","16,107",68.5%,1.12,3.94,0.20
9,Jacked_Estrada,35.10,"1,139",95,"3,683",139,"309,242","1,339,784",308,"19,092",1.46,"46,416","17,143","11,802","5,772",66.3%,"4,865H 41M 46S","17,814","141,896,097","67,612","3,570","13,838","1,603",137,158,"52,964","10,788","49,262","1,749","1,651","1,206",24,"1,503H 42M 47S","4,862","2,070","6,932","14,447","23,918",70.1%,1.66,3.45,0.27,"2,162H 20M 46S","3,829","2,337","6,168","21,741","26,107",62.1%,1.20,4.23,0.20
