,Eliminations,Hero Damage Done,Objective Time,Games Won,Deaths,Assists,Final Blows,Objective Kills,Solo Kills,Multikills,Offensive Assists,Defensive Assists,Recon Assists,Melee Final Blows,Environmental Kills,Cards,KDA Ratio,Top 3 Heroes,name
0,32,"17,800",02m 17s,1,28,2,22,9,8,1,1,0,0,0,0,0,1.14,"['Hanzo', 'Cassidy', 'Sombra']",Crumblybum
1,"8,065","3,970,223",8h 44m,208,"3,785","1,112","4,442","3,031",857,55,312,569,95,34,18,0,2.13,"['Ashe', 'Zarya', 'Widowmaker']",Kiotake
2,468,"187,784",27m 35s,13,266,72,271,176,49,4,17,66,0,4,1,0,1.76,"['Tracer', 'Genji', 'Kiriko']",Ayman
3,199,"96,387",17m 14s,6,99,74,75,58,6,0,17,22,0,4,0,0,2.01,"['Doomfist', 'Ramattra', 'Winston']",Godly
4,"13,902","6,401,169",14h,329,"6,318","2,720","6,973","6,313",968,126,184,518,88,4,4,0,2.20,"['Sojourn', 'Symmetra', 'Moira']",JGooz
5,"13,791","6,272,690",17h,330,"5,151","2,758","7,970","5,221","1,182",150,"1,240","1,447",0,44,64,0,2.68,"['Reinhardt', 'D.Va', 'Soldier: 76']",val
6,"13,759","5,943,263",14h,360,"5,115","5,827","7,441","4,557","1,149",92,"1,221","4,170",14,30,32,0,2.69,"['Ashe', 'D.Va', 'Baptiste']",ryuǃ
7,"6,067","2,895,418",6h 26m,144,"2,762",975,"3,193","2,288",390,69,690,237,19,95,6,0,2.20,"['Cassidy', 'Mei', 'Soldier: 76']",Lexaezel
8,"16,353","6,701,049",15h,573,"7,339","5,961","9,082","5,488","1,835",142,"1,861","3,734",590,331,59,0,2.23,"['Doomfist', 'Genji', 'Hanzo']",Flyrka
9,"13,618","5,666,358",18h,354,"5,072","5,238","6,206","5,895","1,203",74,"1,548","3,398",510,92,70,0,2.68,"['Zenyatta', 'Widowmaker', 'D.Va']",Flaccid
10,9,"9,614",02m 53s,17,8,2,3,5,60,6,2,0,1,10,3,0,1.12,"['Cassidy', 'Soldier: 76', 'Sojourn']",Sanji
11,"13,524","4,183,035",8h 45m,306,630,"7,398","3,662","5,748",516,148,46,"8,699",0,3,0,0,21.47,"['Moira', 'Lúcio', 'Zarya']",mb4ife
12,96,"43,613",04m 27s,4,36,6,62,27,12,1,2,1,4,72,39,0,2.67,"['Sojourn', 'D.Va', 'Ramattra']",zend
13,"13,371","6,633,479",14h,320,"5,257","2,917","7,623","4,578",807,103,"1,152",927,379,240,102,0,2.54,"['Pharah', 'Cassidy', 'Roadhog']",SUBAÜWÜ
14,"13,331","5,314,154",16h,401,"5,561","7,433","5,915","4,164","1,030",64,"2,508","4,895",45,825,113,0,2.40,"['Doomfist', 'Ana', 'Kiriko']",Flats
15,"13,287","5,747,806",16h,367,"6,230","5,346","6,432","5,286","1,098",94,"1,602","4,588",0,66,63,0,2.13,"['Ashe', 'Brigitte', 'Baptiste']",GŌDŠĆÅÑBŁĒĒD
16,"13,222","5,687,663",16h,336,"4,551","3,940","6,501","4,268","1,065",109,"1,154","1,586",69,552,139,0,2.91,"['Doomfist', 'Ana', 'Orisa']",Monk
17,"1,704","903,360",1h 44m,38,718,192,990,549,149,20,80,67,8,11,5,0,2.37,"['Ana', 'Soldier: 76', 'Cassidy']",bow
18,"13,105","5,236,169",12h,331,"4,687","3,881","6,228","5,740","1,077",92,980,"2,531",2,28,3,0,2.80,"['Cassidy', 'Sombra', 'Symmetra']",OopsLB
19,"13,069","5,354,950",13h,349,"5,792","4,788","6,339","4,954","1,242",115,"1,967","3,417",246,71,49,0,2.26,"['Cassidy', 'Ana', 'Ashe']",ChicknRoostr
20,342,"126,685",24m 59s,11,174,227,177,117,54,3,136,186,1,0,1,0,1.97,"['Ana', 'Zenyatta', 'Junkrat']",zyKii
21,59,"34,313",07m 08s,2,38,17,21,20,2,2,3,7,0,6,0,0,1.55,"['Soldier: 76', 'Symmetra', 'Mei']",FearHenry
22,"8,820","3,913,969",5h 05m,218,"3,560","1,246","4,916","2,621","1,154",46,403,154,338,129,3,0,2.48,"['Genji', 'Hanzo', 'Sojourn']",MUMMY
23,"12,984","5,684,299",8h 58m,373,"5,195","5,029","6,486","3,441","1,355",69,"2,096","3,838",45,99,26,0,2.50,"['Soldier: 76', 'Zenyatta', 'Reaper']",K24kai06
24,23,"8,961",42s,1,8,7,16,12,2,0,0,0,4,0,0,0,2.88,['Hanzo'],bienpitudo
25,149,"44,810",08m 55s,7,48,0,55,67,10,0,14,64,0,1,0,3,3.10,"['Moira', 'Baptiste', 'Sigma']",Snickers
26,"12,941","5,536,912",21h,347,"5,329","3,804","6,677","5,411","1,152",168,"1,597","2,250",202,165,129,0,2.43,"['Reinhardt', 'Doomfist', 'Reaper']",IkkyCat
27,"1,471","579,382",1h 01m,36,409,380,916,428,211,10,193,302,9,46,0,0,3.60,"['Mauga', 'Baptiste', 'Ashe']",Somebody945
28,"1,008","419,739",1h 19m,32,497,229,608,384,149,8,100,137,2,21,4,0,2.03,"['Soldier: 76', 'Junkrat', 'Illari']",VizzySpuds
29,38,"7,211",06m 36s,2,28,0,14,15,6,0,27,102,0,2,0,0,1.36,"['Mercy', 'Ana', 'Lúcio']",LaMachine136
30,879,"323,850",1h 10m,34,436,724,390,284,67,2,379,603,0,19,13,91,2.02,"['Zarya', 'Genji', 'Mercy']",Nubeey
31,434,"171,195",46m 38s,11,188,0,165,181,26,4,69,89,0,5,1,5,2.31,"['Reinhardt', 'Bastion', 'D.Va']",North
32,"9,488","4,340,977",7h 39m,233,"3,321","1,856","4,776","2,990",784,60,490,904,226,74,6,0,2.86,"['Tracer', 'Soldier: 76', 'Genji']",Alangg
33,"1,212","460,217",1h 11m,38,357,406,603,443,106,9,214,240,1,23,9,0,3.39,"['Sombra', 'Genji', 'Ana']",TigerLilly
34,"12,454","4,975,497",16h,365,"5,466","7,086","5,467","4,879",994,65,"3,064","5,339",209,36,73,0,2.28,"['Ana', 'Baptiste', 'Zenyatta']",Saxx
35,"4,287","1,903,187",5h 55m,104,"1,737",0,"2,059","1,907",348,66,316,212,4,5,18,82,2.47,"['Reinhardt', 'Junkrat', 'Pharah']",Kizuah
36,"1,699","779,850",1h 32m,40,716,451,840,601,142,12,168,361,35,15,2,0,2.37,"['Cassidy', 'Tracer', 'Soldier: 76']",Nizaj
37,0,"1,735",4s,0,6,0,0,0,0,0,0,1,0,0,0,0,0.00,['Lúcio'],ayt
38,"1,311","464,949",52m 50s,41,458,183,732,429,135,18,85,71,25,1,0,0,2.86,"['Genji', 'Soldier: 76', 'Hanzo']",Reformedbito
39,107,"46,383",14m 57s,1,36,4,45,53,6,2,0,0,0,0,0,0,2.97,"['Reaper', 'Sojourn', 'Tracer']",Gloku
40,"1,068","388,358",40m 43s,31,289,199,613,310,135,11,53,126,5,29,6,0,3.70,"['Genji', 'Cassidy', 'Ashe']",Clippn
41,1,244,9s,0,3,0,0,1,0,0,0,0,0,0,0,0,0.33,"['Zenyatta', 'Lúcio']",SavageQuill
42,895,"336,458",42m 25s,18,374,167,531,282,92,3,95,161,4,33,7,0,2.39,"['Doomfist', 'Genji', 'Sigma']",TITAN
43,"12,253","4,961,057",12h,317,"5,174","4,135","6,913","4,087","1,320",92,"2,076","2,783",125,311,49,0,2.37,"['Ana', 'Ashe', 'Sojourn']",XxpandaxX
44,"12,226","5,426,592",6h 11m,271,"3,916","2,716","6,033","4,086","1,272",100,"2,232",96,8,55,9,0,3.12,"['Sombra', 'Ashe', 'Cassidy']",CaSoLoZa
45,272,"126,576",08m 21s,6,128,14,168,75,43,2,158,19,6,1,10,0,2.12,"['Moira', 'Zarya', 'Soldier: 76']",Parrot
46,"1,232","537,452",1h 18m,38,544,305,575,539,74,15,51,65,0,1,2,0,2.26,"['Kiriko', 'Illari', 'Zarya']",CHEROKEEBILL
47,71,"42,197",02m 33s,3,34,4,30,28,9,70,"1,854","4,853",69,75,68,0,2.09,"['Ana', 'Wrecking Ball', 'Soldier: 76']",Kfredrum
48,"1,836","762,497",2h 46m,62,"1,008",923,730,618,101,12,565,596,10,61,16,0,1.82,"['Lúcio', 'Tracer', 'Cassidy']",Renegade
49,"1,978","853,309",2h 07m,45,736,441,"1,038",674,171,11,185,234,76,40,7,0,2.69,"['Widowmaker', 'Cassidy', 'Sigma']",MagicGnome
