,Eliminations,Hero Damage Done,Objective Time,Games Won,Deaths,Assists,Final Blows,Objective Kills,Solo Kills,Multikills,Offensive Assists,Defensive Assists,Recon Assists,Melee Final Blows,Environmental Kills,Cards,KDA Ratio,Top 3 Heroes,name
0,"3,356","1,358,207",2h 58m,86,"1,288",953,"1,819","1,078",459,21,464,217,205,10,4,0,2.61,"['Widowmaker', 'Sombra', 'Genji']",PaulMiller
1,"15,827","6,490,525",20h,443,"5,911","5,516","7,619","6,372","1,219",105,"1,776","3,939",59,61,24,0,2.68,"['Moira', 'Bastion', 'Soldier: 76']",MoodyCloudz
2,1,"4,184",02m 14s,0,7,0,1,1,0,0,0,0,0,0,0,0,0.14,['Zarya'],Deviosity
3,"3,340","1,581,240",4h 59m,103,"1,416","1,055","1,699","1,359",229,29,402,630,5,20,10,0,2.36,"['Orisa', 'Soldier: 76', 'Reinhardt']",Buenx
4,"14,334","4,963,404",20h,432,"6,149","10,217","5,935","6,299","1,309",31,"3,901","9,538",7,122,53,0,2.33,"['Kiriko', 'Lúcio', 'Zenyatta']",ØA7
5,2,"1,459",40s,0,5,9,0,1,0,0,6,7,0,0,0,0,0.40,['Kiriko'],Eluusion
6,35,"12,612",02m 43s,1,24,0,12,14,0,0,20,35,0,0,0,0,1.46,"['Baptiste', 'Ana', 'Orisa']",LuckyCharms
7,"20,312","10,297,801",13h,427,"6,946","2,277","12,394","5,906",718,131,196,254,53,289,29,0,2.92,"['Ashe', 'Sojourn', 'Pharah']",Daddy
8,"8,723","4,183,913",7h 22m,241,"4,255","1,471","4,658","2,684",895,66,920,579,3,104,16,0,2.05,"['Junkrat', 'Cassidy', 'Soldier: 76']",BANG
9,"4,287","1,903,187",5h 55m,104,"1,737",0,"2,059","1,907",348,66,316,212,4,5,18,82,2.47,"['Reinhardt', 'Junkrat', 'Pharah']",Kizuah
10,"3,298","1,519,441",4h 01m,88,"1,133","1,324","1,504","1,135",189,24,306,976,9,32,2,0,2.91,"['Soldier: 76', 'Junker Queen', 'Ana']",Cuible
11,"11,187",146,32s,1,7,39,"4,044","5,022",542,63,"3,576",39,151,125,41,0,"1,598.14","['Lúcio', 'Kiriko', 'Ana']",blixepoops
12,"17,318","7,109,171",22h,417,"7,338","2,180","8,464","7,669","1,294",123,427,459,180,142,14,0,2.36,"['Sojourn', 'Tracer', 'Symmetra']",Sivieon
13,"11,695","5,345,000",11h 17m,248,"3,877","2,211","5,814","3,780",916,88,551,204,219,279,104,0,3.02,"['Doomfist', 'Moira', 'Sojourn']",GritznGravy
14,"1,705","656,666",1h 43m,46,517,268,974,571,162,14,58,103,0,85,5,0,3.30,"['Genji', 'Wrecking Ball', 'Zarya']",Chacher
15,"5,277","2,296,753",7h 14m,126,"1,641","2,453","2,427","1,750",290,43,494,"1,385",0,177,10,0,3.22,"['D.Va', 'Sojourn', 'Kiriko']",SparkLoaded
16,"3,841","1,563,284",3h 21m,100,"1,309","1,333","1,901","1,285",339,14,349,"1,111",9,33,4,0,2.93,"['Baptiste', 'Sojourn', 'Kiriko']",Washed
17,"16,705","6,908,095",18h,407,"7,220","2,101","9,833","6,345","1,950",120,644,"1,443",225,105,1,0,2.31,"['Genji', 'Cassidy', 'Kiriko']",TarkovChad
18,"14,344","6,346,941",20h,406,"6,071","6,708","5,252","6,484",512,111,"2,605","5,637",1,68,30,0,2.36,"['Lúcio', 'Torbjörn', 'Moira']",Bmfolk511
19,"14,969","5,723,330",21h,405,"6,601","7,844","5,355","7,217",629,172,"1,066","7,988",0,7,34,0,2.27,"['Moira', 'Soldier: 76', 'Orisa']",Slonio
20,30,"13,558",01m 53s,1,12,3,10,5,"1,096",138,472,"1,260",0,81,75,0,2.50,"['Sigma', 'Roadhog', 'Moira']",SoundsNew
21,"13,331","5,314,154",16h,401,"5,561","7,433","5,915","4,164","1,030",64,"2,508","4,895",45,825,113,0,2.40,"['Doomfist', 'Ana', 'Kiriko']",Flats
22,"14,111","5,603,858",16h,399,"6,933","5,081","7,278","5,360","1,514",80,"2,000","3,623",208,209,10,0,2.04,"['Ashe', 'Ana', 'Tracer']",AtlRx
23,"11,908","5,384,754",22h,396,"5,959","7,383","4,644","5,754",473,113,"2,371","5,842",141,48,14,0,2.00,"['Ramattra', 'Kiriko', 'Soldier: 76']",Calyptx
24,453,"173,903",39m 21s,17,177,249,213,193,38,4,69,161,6,5,2,0,2.56,"['Illari', 'Junker Queen', 'Kiriko']",wowitszak
25,"2,510","1,338,399",3h 11m,59,940,547,"1,059",849,106,15,174,34,4,124,5,0,2.67,"['Sigma', 'Doomfist', 'Sojourn']",ryno
