,Eliminations,Hero Damage Done,Objective Time,Games Won,Deaths,Assists,Final Blows,Objective Kills,Solo Kills,Multikills,Offensive Assists,Defensive Assists,Recon Assists,Melee Final Blows,Environmental Kills,Cards,KDA Ratio,Top 3 Heroes,name
0,"11,531","5,074,331",15h,314,"4,023","4,986","5,109","4,659",731,89,"1,354","3,993",74,224,48,0,2.87,"['Torbjörn', 'Cassidy', 'Doomfist']",Brent000123
1,813,"303,968",1h 57m,27,559,836,317,297,73,4,406,572,21,5,1,0,1.45,"['Ramattra', 'Ana', 'Moira']",NormalTree
2,23,"8,961",42s,1,8,7,16,12,2,0,0,0,4,0,0,0,2.88,['Hanzo'],bienpitudo
3,"4,994","1,887,177",8h 30m,182,"2,468","4,240","2,290","2,407",388,32,"1,459","3,912",19,35,6,0,2.02,"['Mercy', 'Brigitte', 'Bastion']",TRLUIS25
4,"2,271","854,493",2h 32m,86,693,661,"1,284",805,242,21,239,504,19,54,15,0,3.28,"['Genji', 'Soldier: 76', 'Mercy']",ShinowaSan
5,"10,099","3,050,950",10h 12m,308,"3,885","7,261","4,520","3,290","1,305",55,"2,633","4,873",0,334,6,0,2.60,"['Sombra', 'Kiriko', 'D.Va']",cherrybxbe
6,"6,862","2,700,039",9h 16m,259,"3,008","2,299","3,398","2,575",731,54,875,"1,066",185,130,98,0,2.28,"['Doomfist', 'Ana', 'Hanzo']",Gronk
7,"4,201","1,527,866",7h 30m,307,"2,947","11,999","1,449","1,549",283,34,"7,036","10,326",1,18,3,0,1.43,"['Mercy', 'Moira', 'Roadhog']",Annabelle
8,"13,524","4,183,035",8h 45m,306,630,"7,398","3,662","5,748",516,148,46,"8,699",0,3,0,0,21.47,"['Moira', 'Lúcio', 'Zarya']",mb4ife
9,800,"295,394",38m 02s,22,232,183,502,265,121,7,60,91,0,8,5,0,3.45,"['Pharah', 'D.Va', 'Bastion']",TEVY
10,"5,638","1,942,180",5h 31m,187,"2,159","2,453","3,397","2,099",941,41,963,"2,217",150,82,19,0,2.61,"['Ana', 'Cassidy', 'Widowmaker']",Kate
11,"2,180","867,461",2h 15m,52,625,820,"1,033",716,159,15,313,321,5,89,29,0,3.49,"['Wrecking Ball', 'Sombra', 'Doomfist']",Ijin
12,"1,366","651,493",1h 21m,35,543,628,651,486,116,10,202,448,26,21,1,0,2.52,"['Bastion', 'Soldier: 76', 'Sojourn']",StevoMali3
13,"3,321","1,127,868",3h 58m,101,"1,363","1,536","1,601","1,227",304,27,590,"1,167",26,164,12,0,2.44,"['Ana', 'Lúcio', 'Moira']",LameColors
14,291,"168,541",26m 22s,6,122,42,129,109,8,5,35,"3,721",27,4,24,0,2.39,"['Symmetra', 'Ana', 'Zenyatta']",julesbeams
15,55,"15,492",07m 48s,2,34,53,17,37,4,1,0,57,0,0,0,0,1.62,"['Moira', 'Pharah', 'Lúcio']",TDiddy1432
16,42,"16,036",01m 39s,0,16,0,19,17,4,1,0,13,3,0,0,1,2.62,"['Hanzo', 'Moira']",Svanen
17,"6,345","2,472,773",8h 52m,301,"3,257","7,519","2,512","2,614",323,22,"2,177","6,926",13,2,1,0,1.95,"['Kiriko', 'Ana', 'Baptiste']",thelefty007
18,"1,864","673,401",1h 58m,63,773,758,804,671,139,17,68,478,80,11,21,0,2.41,"['D.Va', 'Moira', 'Hanzo']",GroßeHydra
19,375,"190,781",20m 00s,12,167,74,200,95,33,1,11,51,5,0,0,0,2.25,"['Ashe', 'Baptiste', 'Illari']",Roccolo
20,531,"257,056",49m 14s,14,187,66,283,213,45,6,48,18,0,1,0,0,2.84,"['Mei', 'Soldier: 76', 'Bastion']",Hølk
21,"7,163","2,882,024",6h 56m,259,"3,611","1,565","4,454","2,165","1,078",71,612,"1,089",37,156,10,0,1.98,"['Cassidy', 'Genji', 'Soldier: 76']",Sanes
22,"14,951","6,100,758",17h,362,"5,370",0,"7,523","5,975","1,404",220,"1,792","1,065",11,80,59,187,2.78,"['Reaper', 'Reinhardt', 'Junkrat']",J4ke
23,"5,508","2,026,367",13h,298,"3,397","8,363","1,846","2,522",303,25,"1,923","7,776",18,53,28,0,1.62,"['Baptiste', 'Lifeweaver', 'Ana']",Tortorous
24,"9,769","4,499,615",15h,297,"3,479","3,211","4,371","3,882",478,68,"1,849","1,810",0,153,49,0,2.81,"['Lúcio', 'Soldier: 76', 'Orisa']",Kolander
25,"7,833","3,248,904",9h 05m,297,"4,145","5,667","3,705","2,723",795,67,"1,488","4,666",24,31,14,0,1.89,"['Mercy', 'Ashe', 'Bastion']",baki
26,284,"144,140",25m 50s,8,98,57,137,108,16,1,12,2,71,3,3,0,2.90,"['Cassidy', 'Ana', 'Ashe']",Wrhl
27,"10,858","3,989,820",15h,297,"5,331","3,816","5,344","4,649","1,057",85,909,"3,525",39,64,8,0,2.04,"['Tracer', 'Soldier: 76', 'Moira']",NoSkill
28,"11,424","4,342,047",12h,297,"4,075","3,766","6,022","4,153","1,354",105,"1,177","2,224",409,149,273,0,2.80,"['Wrecking Ball', 'Widowmaker', 'Reinhardt']",CrystalGirl
29,"5,370","2,502,439",4h 00m,145,"2,261","1,154","3,173","1,496",422,31,299,948,1,63,5,0,2.38,"['Soldier: 76', 'Illari', 'Ana']",Code002
30,255,"138,181",36m 59s,6,126,160,83,104,8,2,56,72,0,3,4,0,2.02,"['Wrecking Ball', 'Junker Queen', 'Ramattra']",YoItsCN
31,666,"233,000",1h 19m,30,345,348,229,295,41,4,52,307,0,1,3,0,1.93,"['Moira', 'Torbjörn', 'Tracer']",tmvtmv2428
32,"7,289","2,892,213",14h,295,"3,925","6,075","3,472","3,201",665,43,"2,257","4,959",45,61,106,0,1.86,"['Mercy', 'Kiriko', 'Brigitte']",FemboyRem
33,74,"26,206",11m 36s,3,48,43,31,30,5,65,4,"7,010",0,3,6,0,1.54,"['Moira', 'Zenyatta', 'Mercy']",EmeraldOwl
34,"5,139","2,545,241",6h 50m,150,"2,075","1,345","2,280","2,254",288,45,439,496,7,6,9,0,2.48,"['Bastion', 'Orisa', 'Echo']",KAAOS
35,"5,029","1,846,849",8h 59m,241,"2,592","3,213","1,749","2,238",244,32,860,"2,158",8,36,17,0,1.94,"['Moira', 'D.Va', 'Orisa']",Sethblake97
36,"1,744","772,116",49m 36s,55,617,420,944,615,239,8,81,214,79,12,2,0,2.83,"['Hanzo', 'Sojourn', 'Soldier: 76']",Demo
37,"3,077","1,037,518",8h 41m,158,"1,751","4,162","1,174","1,436",161,17,"1,111","3,948",0,80,27,0,1.76,"['Kiriko', 'Mercy', 'Moira']",catharaina
38,"11,037","4,251,994",7h 18m,292,"5,465","2,650","7,197","3,579","2,378",54,292,902,"1,730",28,1,0,2.02,"['Hanzo', 'Widowmaker', 'Cassidy']",BruceWayne
39,"9,057","3,449,968",14h,292,"3,501","3,955","4,053","4,073",710,90,"1,230","2,993",5,107,52,0,2.59,"['Tracer', 'Kiriko', 'Lúcio']",Kantz
40,"2,261","1,024,675",2h 13m,45,954,573,"1,150",728,166,18,131,221,6,23,14,0,2.37,"['Soldier: 76', 'D.Va', 'Doomfist']",JmoneyTooRaw
41,60,"25,527",06m 39s,2,56,37,17,25,2,0,13,29,0,0,0,0,1.07,"['Moira', 'Reinhardt', 'Orisa']",yungbl00dTV
42,"10,433","5,492,890",13h,291,"3,336","1,907","5,247","3,077",847,67,873,719,20,389,49,0,3.13,"['Zarya', 'Sigma', 'Roadhog']",SIUUUUUUUUUU
43,"4,109","1,520,766",4h 44m,171,"1,686","2,551","1,768","1,426",331,33,"1,047","1,992",11,78,35,0,2.44,"['Ana', 'Kiriko', 'Genji']",CEOOFPEGGING
44,"1,042","377,662",1h 29m,28,359,400,425,506,77,13,96,358,2,10,4,0,2.90,"['Reaper', 'Sigma', 'Moira']",Himothy
45,348,"143,683",34m 05s,18,297,344,196,149,32,1,80,322,7,1,0,0,1.17,"['Mercy', 'Soldier: 76', 'Widowmaker']",MƗKO
