,Eliminations,Hero Damage Done,Objective Time,Games Won,Deaths,Assists,Final Blows,Objective Kills,Solo Kills,Multikills,Offensive Assists,Defensive Assists,Recon Assists,Melee Final Blows,Environmental Kills,Cards,KDA Ratio,Top 3 Heroes,name
0,"11,364","4,553,858",15h,333,"5,096","5,520","5,613","4,711","1,016",101,"1,506","4,890",240,100,10,0,2.23,"['Mercy', 'Soldier: 76', 'Widowmaker']",NotWidow
1,"13,792","8,088,888",15h,429,"5,614",542,"6,609","5,034","1,349",88,7,0,0,13,0,0,2.46,"['Torbjörn', 'Bastion', 'Sombra']",Eric
2,"1,329","639,622",1h 32m,31,560,339,710,420,139,8,150,218,1,32,4,0,2.37,"['Genji', 'Junkrat', 'Doomfist']",malumraw
3,"13,105","5,236,169",12h,331,"4,687","3,881","6,228","5,740","1,077",92,980,"2,531",2,28,3,0,2.80,"['Cassidy', 'Sombra', 'Symmetra']",OopsLB
4,"1,182","419,215",3h 14m,86,913,"2,000",437,537,46,11,818,"1,712",0,10,1,0,1.29,"['Mercy', 'Ana', 'Ramattra']",Chica
5,366,"134,268",44m 56s,11,151,209,146,193,20,5,91,173,3,1,8,0,2.42,"['Mei', 'Ashe', 'Tracer']",OutHanzoed
6,"11,783","4,888,443",15h,330,"5,293","3,196","5,980","4,616","1,051",108,"1,499","1,875",2,81,78,0,2.23,"['Echo', 'Baptiste', 'Roadhog']",Dawg
7,"13,791","6,272,690",17h,330,"5,151","2,758","7,970","5,221","1,182",150,"1,240","1,447",0,44,64,0,2.68,"['Reinhardt', 'D.Va', 'Soldier: 76']",val
8,608,"180,015",1h 26m,22,307,708,126,258,13,2,536,601,0,3,4,0,1.98,"['D.Va', 'Ramattra', 'Torbjörn']",Mewz
9,"13,902","6,401,169",14h,329,"6,318","2,720","6,973","6,313",968,126,184,518,88,4,4,0,2.20,"['Sojourn', 'Symmetra', 'Moira']",JGooz
10,"6,274","2,317,602",13h,328,"4,182","7,211","2,303","3,008",368,31,"3,115","6,188",39,9,7,0,1.50,"['Ana', 'Kiriko', 'Cassidy']",アナのあな
11,"1,868","757,270",1h 25m,50,620,756,991,582,136,12,264,592,5,26,25,0,3.01,"['Zenyatta', 'Ana', 'Sojourn']",Turtlemanbob
12,"1,168","418,257",2h 10m,76,"1,057","1,574",379,548,46,3,342,"1,439",21,0,2,0,1.11,"['Mercy', 'Moira', 'Zenyatta']",Lastnameboss
13,83,"31,561",14m 21s,3,68,103,16,46,1,0,43,91,0,0,0,0,1.22,"['Mercy', 'Moira', 'Lúcio']",IcyGeLo
14,196,"83,310",07m 45s,4,91,11,83,71,25,3,0,15,0,0,0,0,2.15,"['Soldier: 76', 'Ashe', 'Cassidy']",CHEESE
15,"12,034","4,518,560",11h 42m,326,"3,677","4,803","5,782","4,626",971,90,"2,583","3,564",113,88,38,0,3.27,"['Soldier: 76', 'Ana', 'Zenyatta']",Alex15can
16,"8,528","2,964,427",18h,326,"4,342","9,492","3,232","4,129",418,58,"2,885","8,710",12,66,26,0,1.96,"['Mercy', 'Moira', 'Kiriko']",Heart
17,"10,227","4,402,061",14h,326,"4,134","5,984","4,109","4,564",516,69,"1,778","5,925",19,35,13,0,2.47,"['Reaper', 'Brigitte', 'Soldier: 76']",DeAdSiLeNc3
18,149,"44,810",08m 55s,7,48,0,55,67,10,0,14,64,0,1,0,3,3.10,"['Moira', 'Baptiste', 'Sigma']",Snickers
19,855,"395,741",1h 25m,20,425,426,242,424,20,6,32,424,249,10,15,0,2.01,"['Moira', 'Torbjörn', 'Zenyatta']",SheeshManess
20,346,"122,146",28m 42s,14,161,296,172,128,33,6,49,233,0,2,0,0,2.15,"['Mercy', 'D.Va', 'Moira']",Pookie
21,"11,643","4,193,999",11h 00m,322,"5,128","3,964","6,868","3,703","1,974",48,"1,001","2,065","1,040",159,59,0,2.27,"['Widowmaker', 'Doomfist', 'Mercy']",kawaiioil
22,91,"34,867",05m 42s,4,34,0,38,28,2,3,7,0,0,0,0,1,2.68,"['Reinhardt', 'D.Va', 'Sigma']",Hxntai
23,"1,082","395,821",1h 11m,35,393,508,534,375,124,8,204,365,3,27,6,0,2.75,"['Mercy', 'Lifeweaver', 'Tracer']",Khione
