,Eliminations,Hero Damage Done,Objective Time,Games Won,Deaths,Assists,Final Blows,Objective Kills,Solo Kills,Multikills,Offensive Assists,Defensive Assists,Recon Assists,Melee Final Blows,Environmental Kills,Cards,KDA Ratio,Top 3 Heroes,name
0,"10,680","4,851,479",11h 14m,294,"3,828","1,709","5,644","3,487",920,128,559,935,96,232,26,0,2.79,"['Genji', 'Reaper', 'Tracer']",僧間理亜
1,"10,406","4,474,625",11h 01m,294,"4,519","4,320","4,869","4,026",735,95,"1,112","3,698",17,96,8,0,2.30,"['Sojourn', 'Kiriko', 'Moira']",Waspd123
2,"11,813","5,756,688",13h,294,"4,192","2,700","5,487","3,388",742,97,926,419,33,582,80,0,2.82,"['Winston', 'Sigma', 'Reinhardt']",Elvis27903
3,"12,391","6,565,857",7h 26m,294,"5,061",749,"6,338","4,582","1,088",76,12,755,0,41,5,0,2.45,"['Soldier: 76', 'Bastion', 'Illari']",FlyOver
4,"13,021","5,988,102",11h 01m,294,"5,276","2,233","7,586","4,351","1,259",106,652,294,772,219,84,0,2.47,"['Hanzo', 'Junkrat', 'Soldier: 76']",Lastknight
5,"9,147","3,731,124",10h 48m,293,"3,582","4,661","3,751","3,820",477,56,"2,114","2,748",11,46,13,0,2.55,"['Sombra', 'Baptiste', 'Mei']",RoyalDumbass
6,"11,284","5,043,363",15h,293,"3,992","2,629","5,278","4,095",835,76,170,399,4,408,85,0,2.83,"['Doomfist', 'Sojourn', 'Illari']",Clkwrkkng
7,"10,562","4,665,319",6h 42m,293,"3,769","1,434","5,183","2,751",895,74,477,395,248,298,5,0,2.80,"['Tracer', 'Sojourn', 'Ashe']",angelvolado
8,"11,455","5,488,105",7h 47m,292,"3,874","2,149","5,615","2,876",625,77,"1,279",478,194,461,4,0,2.96,"['Echo', 'Mei', 'Tracer']",GeeGeek
9,"8,108","3,406,741",16h,292,"4,234","7,219","3,998","3,705",686,42,"1,466","6,152",715,107,9,0,1.91,"['Kiriko', 'Hanzo', 'Lifeweaver']",PGxMati
