,Eliminations,Hero Damage Done,Objective Time,Games Won,Deaths,Assists,Final Blows,Objective Kills,Solo Kills,Multikills,Offensive Assists,Defensive Assists,Recon Assists,Melee Final Blows,Environmental Kills,Cards,KDA Ratio,Top 3 Heroes,name
0,"1,335","552,231",2h 08m,32,833,0,645,595,99,18,281,473,6,19,25,16,1.60,"['Baptiste', 'Roadhog', 'Pharah']",Hyperbolic
1,"1,168","457,629",1h 50m,45,547,382,515,440,58,7,160,176,19,28,4,0,2.14,"['Widowmaker', 'Roadhog', 'Reinhardt']",Maliboujee
2,"8,962","3,447,954",10h 48m,266,"2,782","2,452","4,410","3,571",935,92,"1,397","1,313",29,173,29,0,3.22,"['Lúcio', 'Junkrat', 'Genji']",FatherInLaw
3,"6,692","2,664,146",13h,265,"3,555","4,063","3,015","2,948",497,50,"1,575","3,575",2,22,13,0,1.88,"['Soldier: 76', 'Ana', 'Kiriko']",NERO
4,746,"315,229",55m 28s,19,292,250,358,294,64,6,78,181,8,6,19,0,2.55,"['Mercy', 'Winston', 'Junkrat']",znxvaaa
5,"3,668","1,344,035",6h 25m,111,"1,717",0,"1,268","1,742",156,44,978,"3,083",4,7,11,125,2.14,"['Mercy', 'Lúcio', 'Moira']",Fireball1207
6,"4,191","1,942,685",10h 23m,265,"2,831","7,835","2,009","1,762",259,43,"3,770","6,883",26,17,29,0,1.48,"['Mercy', 'Reinhardt', 'Orisa']",LooseBussÿ
7,"10,679","4,870,473",22h,264,"3,794","1,784","4,933","5,101",492,89,"1,559",206,0,217,64,0,2.81,"['Sigma', 'Orisa', 'Zarya']",Alexis601
8,"5,502","2,303,589",5h 51m,264,"2,510","5,941","1,956","1,619",241,41,"1,212","5,385",43,39,2,0,2.19,"['Baptiste', 'Illari', 'Lifeweaver']",BakinGoD
9,971,"452,339",1h 04m,31,398,91,549,397,105,6,39,34,10,8,1,0,2.44,"['Genji', 'Hanzo', 'Junkrat']",FocaSegundo
10,"6,545","3,299,531",7h 11m,183,"2,207","2,216","3,047","2,148",395,68,439,"1,146",8,145,38,0,2.97,"['Doomfist', 'Lifeweaver', 'Orisa']",soul
11,"1,714","594,351",2h 48m,48,668,0,613,769,77,34,129,690,10,7,0,40,2.57,"['D.Va', 'Mercy', 'Reaper']",BajaBaddie
12,381,"186,476",24m 29s,5,208,93,182,109,23,6,19,50,7,10,37,0,1.83,"['Pharah', 'Lúcio', 'Mercy']",Gandalf
13,"2,079","756,441",3h 09m,96,"1,094","1,671",763,944,119,14,494,"1,460",17,6,3,0,1.90,"['Kiriko', 'Lifeweaver', 'Brigitte']",Elpololoco20
14,895,"336,458",42m 25s,18,374,167,531,282,92,3,95,161,4,33,7,0,2.39,"['Doomfist', 'Genji', 'Sigma']",TITAN
15,38,"16,324",02m 16s,0,22,0,17,14,5,0,0,0,0,0,0,0,1.73,"['Echo', 'D.Va']",BubblySoap
16,"8,328","3,147,207",9h 25m,263,"4,142","5,026","4,389","3,276","1,211",60,"2,098","3,969",121,42,29,0,2.01,"['Kiriko', 'Mercy', 'Wrecking Ball']",uhmaize
17,292,"106,854",12m 42s,12,70,105,153,97,20,4,30,54,9,10,0,0,4.17,"['Junker Queen', 'Ana', 'Hanzo']",NobleSavage0
18,"7,971","3,114,920",10h 48m,262,"3,976","6,584","3,839","3,008",581,57,"3,741","5,196",24,124,36,0,2.00,"['Mercy', 'Zenyatta', 'Reinhardt']",Sean
19,"6,535","2,720,276",7h 39m,196,"1,977","3,484","2,701","2,487",301,50,928,"3,029",30,74,6,0,3.31,"['Kiriko', 'Baptiste', 'Soldier: 76']",Turtle
20,22,"9,201",04m 20s,1,32,34,5,11,1,0,11,29,0,0,0,0,0.69,"['Baptiste', 'Kiriko', 'Mercy']",XL8
21,310,"97,716",37m 59s,18,235,511,102,137,14,1,148,516,0,0,0,0,1.32,"['Brigitte', 'Kiriko', 'Sombra']",Amasia
22,"6,067","2,895,418",6h 26m,144,"2,762",975,"3,193","2,288",390,69,690,237,19,95,6,0,2.20,"['Cassidy', 'Mei', 'Soldier: 76']",Lexaezel
23,"6,679","1,996,894",10h 53m,262,"3,570","7,889","1,891","2,973",178,42,"2,246","6,954",0,35,23,0,1.87,"['Kiriko', 'Moira', 'Ana']",ShadoSsin
24,44,"30,250",05m 19s,2,28,21,23,15,5,0,7,15,0,1,0,0,1.57,"['Zenyatta', 'Junker Queen', 'Echo']",SoggyRatTrea
25,"6,167","2,300,754",12h,261,"3,075","8,261","2,417","2,343",252,51,"3,748","6,265",0,67,10,0,2.01,"['Mercy', 'D.Va', 'Moira']",HANNAH
26,"10,114","4,317,085",17h,261,"4,018","2,897","4,655","4,363",527,105,"1,273","1,370",4,106,35,0,2.52,"['Ramattra', 'Reinhardt', 'Zarya']",KingFelwintr
27,63,"26,586",06m 11s,0,61,0,25,23,8,0,31,0,0,0,0,0,1.03,"['Sombra', 'Torbjörn', 'Echo']",JUDGEYATTA
28,"11,054","4,741,252",13h,261,"4,461","2,432","5,988","3,946","1,039",100,788,"1,290",187,319,60,0,2.48,"['Genji', 'Cassidy', 'Hanzo']",hiku
29,166,"60,118",17m 17s,2,65,0,73,67,8,1,30,0,0,6,3,2,2.55,"['Reinhardt', 'Roadhog', 'Winston']",Perogi
30,230,"67,061",58m 53s,34,210,"1,251",65,95,10,1,16,"1,278",2,1,2,0,1.10,"['Lifeweaver', 'Torbjörn', 'Brigitte']",BRB
31,997,"394,608",1h 10m,18,397,0,450,364,98,15,19,72,1,35,2,16,2.51,"['D.Va', 'Wrecking Ball', 'Moira']",KanyeWest
32,84,"34,281",05m 11s,2,35,2,44,27,7,1,50,28,1,2,1,0,2.40,"['Orisa', 'Junker Queen', 'Reinhardt']",Hikari
33,"1,637","543,431",1h 38m,81,595,"3,097",475,559,90,8,"1,426","2,915",0,3,0,0,2.75,"['Mercy', 'Moira', 'Kiriko']",EdnasWig
34,30,"8,781",02m 10s,1,23,39,8,18,1,55,13,44,3,8,6,0,1.30,"['Mei', 'Bastion', 'Sojourn']",Morrison
35,"1,039","544,302",1h 27m,28,495,677,384,374,44,11,166,505,2,15,5,0,2.10,"['Echo', 'Illari', 'Baptiste']",Eternal
36,"8,293","3,172,952",9h 08m,259,"2,658","4,150","3,786","3,484",766,66,"2,083","2,667",93,18,13,0,3.12,"['Sombra', 'Kiriko', 'Ana']",éopinas
37,"3,243","1,253,453",5h 01m,158,"2,283","2,035","1,277","1,190",177,19,848,"1,558",17,55,15,0,1.42,"['Ana', 'Lúcio', 'Cassidy']",Lucky
38,"5,288","2,303,725",5h 45m,116,"2,188",0,"2,293","1,746",372,47,"1,260",659,5,142,26,104,2.42,"['Reinhardt', 'Roadhog', 'D.Va']",Cabbage
39,"9,707","3,593,117",13h,259,"4,398","4,023","4,144","3,908",880,90,"1,131","3,826",10,53,15,0,2.21,"['Moira', 'Brigitte', 'Mei']",CrouchyAsh
40,"3,611","1,384,729",4h 04m,102,"1,160","1,705","1,558","1,421",181,21,746,"1,428",7,20,3,0,3.11,"['Ana', 'Soldier: 76', 'Sojourn']",thadeli
41,"1,929","822,173",2h 43m,35,700,0,606,856,40,18,490,26,0,36,7,28,2.76,"['Sigma', 'Roadhog', 'Reinhardt']",Mozzarella
42,101,"50,653",10m 41s,2,48,56,46,29,8,1,18,17,0,1,0,0,2.10,"['D.Va', 'Mercy', 'Ramattra']",majdpod
43,13,"5,341",41s,1,16,39,3,6,13,1,14,35,0,2,2,0,0.81,"['Mercy', 'Zenyatta', 'Kiriko']",Nut
44,"7,729","3,139,139",13h,258,"3,783","4,785","2,676","3,550",310,48,"2,150","3,619",5,86,20,0,2.04,"['Ramattra', 'Zenyatta', 'Kiriko']",yoshi04cgn04
45,675,"334,428",1h 17m,11,254,109,333,255,28,9,52,3,0,29,0,0,2.66,"['Ramattra', 'Junker Queen', 'Genji']",Raiine
46,"8,171","3,943,234",10h 21m,257,"2,855","3,554","3,995","2,545",626,54,"1,012","2,486",104,178,26,0,2.86,"['Soldier: 76', 'Baptiste', 'D.Va']",rena
47,19,"5,324",01m 35s,2,24,18,6,4,1,0,0,21,0,0,0,0,0.79,"['Lúcio', 'Brigitte', 'Mercy']",thriftshop66
48,"4,912","2,071,934",5h 25m,153,"1,725",648,"2,618","2,122",516,49,279,173,42,17,8,0,2.85,"['Ashe', 'Sojourn', 'Bastion']",Plax
49,"9,222","3,722,483",10h 38m,257,"3,635","4,036","4,247","3,105",735,52,"1,458","2,791",16,181,45,0,2.54,"['Tracer', 'Ana', 'Brigitte']",MooMoo
50,76,"38,889",02m 34s,1,42,6,43,24,13,2,0,5,4,1,0,0,1.81,"['Soldier: 76', 'Genji', 'Reaper']",Yuki
51,"2,165","912,423",2h 35m,53,723,639,"1,145",850,171,12,105,641,1,18,7,0,2.99,"['Soldier: 76', 'Baptiste', 'Ramattra']",Hertz4k
52,"1,345","576,463",1h 21m,47,676,520,578,438,90,10,153,377,11,11,1,0,1.99,"['Soldier: 76', 'Ana', 'Echo']",JustPsyco
53,"11,046","5,107,087",14h,257,"2,771","2,307","5,566","4,922",595,100,707,"1,563",0,15,7,0,3.99,"['Bastion', 'Zarya', 'Moira']",BBQINTHEPOST
54,848,"367,250",54m 54s,32,283,172,459,273,95,7,39,18,1,27,8,0,3.00,"['Doomfist', 'Pharah', 'Echo']",cob
55,"9,106","3,152,748",10h 02m,256,"4,486","5,400","4,028","3,301",951,83,"1,317","5,176",5,154,14,0,2.03,"['Moira', 'Tracer', 'Kiriko']",Ballistic
56,135,"53,313",03m 17s,3,49,24,88,35,24,1,13,3,0,4,0,0,2.76,"['Illari', 'Junkrat', 'Symmetra']",Auke
57,290,"105,742",38m 19s,21,347,331,135,108,24,1,126,264,5,7,1,0,0.84,"['Mercy', 'Hanzo', 'Moira']",SUP3RN0V4
58,"4,842","1,978,608",8h 41m,255,"3,125","7,148","1,871","1,797",280,30,"3,565","5,914",17,62,14,0,1.55,"['Mercy', 'Ana', 'Brigitte']",emeraldǃ
59,772,"281,644",1h 02m,40,518,592,295,314,55,5,221,453,0,1,0,0,1.49,"['Ana', 'Soldier: 76', 'Kiriko']",xddms
60,288,"128,151",24m 56s,12,111,85,137,107,18,2,24,36,12,8,0,0,2.59,"['Wrecking Ball', 'Hanzo', 'Zarya']",Blueray
61,"3,735","1,481,323",4h 53m,85,"1,680",0,"1,791","1,210",286,43,697,520,0,33,14,52,2.22,"['Reinhardt', 'Ana', 'Junkrat']",PHXRH
62,118,"35,506",06m 49s,4,55,0,44,56,8,1,38,27,0,1,0,1,2.15,"['Orisa', 'Zenyatta', 'D.Va']",OneUWshUHad
63,283,"86,689",26m 44s,19,189,355,77,129,14,2,109,296,0,1,0,0,1.50,"['Mercy', 'Moira', 'D.Va']",oniichan
64,865,"378,978",1h 02m,21,343,223,364,299,56,9,101,4,58,20,5,0,2.52,"['Hanzo', 'Cassidy', 'Doomfist']",Qyncx
65,"10,644","5,354,264",14h,253,"3,034","2,335","4,976","3,859",724,90,647,156,69,446,85,0,3.51,"['Doomfist', 'Roadhog', 'Sojourn']",BootySnatcha
66,595,"196,352",1h 28m,30,471,916,189,255,29,82,199,883,1,8,1,0,1.26,"['Orisa', 'Sojourn', 'Reinhardt']",Alejan
67,157,"67,688",13m 05s,2,73,50,47,54,5,2,8,230,4,5,1,23,2.15,"['Genji', 'Zenyatta', 'Roadhog']",Phantom
68,880,"355,150",56m 30s,26,414,135,475,321,98,4,52,66,17,27,2,0,2.13,"['Tracer', 'Genji', 'Reinhardt']",Semaj
