,Eliminations,Hero Damage Done,Objective Time,Games Won,Deaths,Assists,Final Blows,Objective Kills,Solo Kills,Multikills,Offensive Assists,Defensive Assists,Recon Assists,Melee Final Blows,Environmental Kills,Cards,KDA Ratio,Top 3 Heroes,name
0,"9,411","3,751,487",8h 07m,301,"3,207","6,410","3,700","2,976",469,57,"2,789","5,078",59,131,6,0,2.93,"['Ana', 'Kiriko', 'Winston']",Alone
1,"9,730","4,128,547",8h 08m,283,"3,105","3,427","4,523","3,141",813,51,"1,009","2,463",387,236,16,0,3.13,"['Soldier: 76', 'Baptiste', 'Hanzo']",teddyson
2,"8,226","3,220,290",8h 19m,283,"3,837","6,276","3,210","3,018",456,24,"1,879","5,599",62,37,3,0,2.14,"['Baptiste', 'Ana', 'Sojourn']",CarryPotter
3,"10,584","5,447,993",21h,284,"4,325","3,177","4,576","4,487",380,96,"1,258","1,390",14,137,36,0,2.45,"['Zarya', 'Sigma', 'D.Va']",StarrBoyx
4,"7,804","3,293,050",9h 56m,283,"3,922","6,384","2,834","2,535",274,39,"2,018","5,125",48,145,7,0,1.99,"['Baptiste', 'Ana', 'Illari']",Patilios
5,"9,917","4,886,869",19h,282,"3,978","3,814","4,293","4,005",410,73,"1,490","1,979",15,154,51,0,2.49,"['Sigma', 'Roadhog', 'Reinhardt']",ƇĦÄÐ
6,"10,805","5,104,213",6h 27m,282,"3,662","2,226","5,629","3,013",908,80,536,992,413,283,3,0,2.95,"['Ashe', 'Soldier: 76', 'Hanzo']",raz
7,"5,491","1,810,937",13h,281,"3,303","9,561","1,484","2,833",115,24,"2,781","9,148",0,51,2,0,1.66,"['Kiriko', 'Moira', 'Mercy']",captainlevi
8,"6,806","2,860,725",7h 57m,279,"3,200","6,218","2,394","2,560",325,49,"1,998","5,583",11,34,2,0,2.13,"['Ana', 'Kiriko', 'Zenyatta']",ManchaeLover
9,"6,695","2,352,309",6h 42m,279,"1,875","7,957","1,904","2,128",262,23,"3,700","5,312",2,55,3,0,3.57,"['Ana', 'Illari', 'Soldier: 76']",JDragonX
10,"10,672","4,125,372",9h 40m,279,"3,116","1,957","5,603","3,472",981,99,635,"1,078",94,398,8,0,3.42,"['Genji', 'Doomfist', 'Hanzo']",kairos
11,"7,161","2,436,521",12h,278,"3,913","9,164","2,433","2,809",316,26,"3,594","9,052",33,118,33,0,1.83,"['Brigitte', 'Mercy', 'Baptiste']",Rhaegon
12,"10,070","3,700,797",8h 23m,278,"3,383","3,258","4,940","3,090","1,136",45,"1,233","2,158",4,466,20,0,2.98,"['Tracer', 'Ana', 'Kiriko']",QrowxClover
13,"9,097","3,849,481",15h,278,"3,917","4,318","3,933","4,287",493,53,978,"3,949",2,13,3,0,2.32,"['Baptiste', 'Soldier: 76', 'Ana']",NaCl
14,"10,195","4,243,182",9h 32m,278,"5,166","2,411","5,431","3,635","1,102",89,774,"1,469",195,34,6,0,1.97,"['Soldier: 76', 'Hanzo', 'Junkrat']",Swoly
15,"6,709","2,255,495",6h 31m,278,"3,254","8,017","1,966","1,969",211,20,"3,133","7,105",6,67,1,0,2.06,"['Ana', 'Baptiste', 'Kiriko']",mL7
16,"10,146","4,155,105",10h 12m,277,"4,485","4,388","4,424","3,872",673,82,"1,950","3,359",139,77,25,0,2.26,"['Ana', 'Genji', 'Cassidy']",sixtaps
17,"5,490","2,016,977",8h 45m,277,"3,694","8,612","1,744","1,983",184,21,"3,204","7,740",6,41,2,0,1.49,"['Ana', 'Kiriko', 'Baptiste']",quibble
18,"8,834","3,492,132",11h 24m,283,"4,730","6,006","3,978","3,479",624,64,"2,757","4,717",113,34,8,0,1.87,"['Ana', 'Soldier: 76', 'Mercy']",Tronix
19,"7,678","3,450,638",12h,277,"4,183","5,550","3,471","2,526",566,42,"1,146","4,476",0,252,34,0,1.84,"['Doomfist', 'Kiriko', 'Mercy']",breakdaearth
20,"11,315","4,895,027",12h,276,"4,333","2,650","6,120","3,549",788,167,634,"2,325",207,148,6,0,2.61,"['Genji', 'Soldier: 76', 'Moira']",benben0724
21,"9,220","3,565,820",13h,276,"4,049","3,750","4,409","3,356",662,85,"1,066","2,277",33,209,6,0,2.28,"['Genji', 'Baptiste', 'Ana']",ぽぽコ
22,"11,103","5,422,827",6h 08m,276,"4,352",706,"6,490","3,034","1,175",61,91,55,454,199,2,0,2.55,"['Cassidy', 'Tracer', 'Widowmaker']",manually
23,"10,183","4,629,714",12h,276,"4,080","2,853","4,974","4,062",876,94,981,"1,889",60,71,47,0,2.50,"['Soldier: 76', 'Cassidy', 'Bastion']",Thais
24,"12,690","5,540,354",25h,423,"5,832","6,793","6,379","5,247",900,88,"2,871","5,664",27,86,100,0,2.18,"['Brigitte', 'Roadhog', 'Junkrat']",FlizzashXD
25,"7,674","2,556,813",10h 13m,275,"4,227","8,113","3,543","2,782",682,86,"4,068","6,707",74,256,10,0,1.82,"['Mercy', 'Kiriko', 'Symmetra']",CharuChanyt
26,"13,049","5,656,455",13h,274,"4,263","3,249","5,967","5,496",762,134,699,"2,218",32,90,21,0,3.06,"['Sojourn', 'Bastion', 'Moira']",TrippyHippy
27,"7,002","2,352,421",11h 49m,274,"4,267","8,127","2,843","2,643",312,29,"3,660","7,086",10,171,5,0,1.64,"['Ana', 'Mercy', 'Kiriko']",Fami
28,"10,155","4,010,941",9h 19m,274,"3,811","3,853","5,240","3,506",960,109,933,"3,180",455,323,10,0,2.66,"['Moira', 'Widowmaker', 'Roadhog']",ØWRülë34GøD
29,"10,511","4,622,960",10h 18m,273,"3,937","3,053","5,082","3,182",802,89,851,"1,839",39,486,21,0,2.67,"['Doomfist', 'Genji', 'Ana']",Bready
30,"4,912","1,550,731",10h 43m,273,"3,585","10,285","1,315","2,177",151,19,"3,563","9,717",0,18,2,0,1.37,"['Mercy', 'Moira', 'Kiriko']",Gaaellee
31,"11,268","5,290,009",12h,273,"3,697","3,052","5,343","3,587",864,81,525,533,179,555,103,0,3.05,"['Wrecking Ball', 'Junker Queen', 'Widowmaker']",chlorine
32,"10,733","4,276,866",9h 23m,272,"4,469","2,459","5,876","3,616","1,073",72,915,"2,040",5,208,11,0,2.40,"['Cassidy', 'Genji', 'Tracer']",Smehi
33,"8,816","4,955,694",12h,280,"4,254","4,609","3,907","3,186",369,49,"1,721","3,919",31,83,16,0,2.07,"['Ashe', 'Brigitte', 'Soldier: 76']",Mitsunari
34,"9,538","3,971,816",11h 41m,272,"3,071","4,053","4,462","3,840",648,58,"1,739","3,813",1,166,6,0,3.11,"['Kiriko', 'Soldier: 76', 'Sigma']",RohBro
35,"10,426","4,759,531",10h 17m,272,"4,853","2,114","6,012","3,716","1,030",90,468,"1,231",377,109,8,0,2.15,"['Hanzo', 'Genji', 'Cassidy']",chidori
36,"8,398","2,851,972",11h 05m,272,"2,807","8,346","2,325","3,036",197,88,"1,017","9,219",0,162,6,0,2.99,"['Moira', 'Brigitte', 'Baptiste']",Exode
37,"4,141","1,211,088",9h 56m,272,"3,558","10,903","1,000","1,719",112,25,"4,827","10,094",8,32,3,0,1.16,"['Ana', 'Mercy', 'Kiriko']",euphoria
38,"7,827","3,470,097",11h 39m,271,"3,580","3,518","3,597","3,076",632,55,"1,450","2,706",75,71,13,0,2.19,"['Ana', 'Genji', 'Cassidy']",Lycoris
39,"8,785","3,827,057",7h 38m,271,"3,961","4,302","4,157","2,458",619,59,960,"3,142",3,34,1,0,2.22,"['Soldier: 76', 'Illari', 'Lifeweaver']",zoharaimTWTR
40,"7,044","2,635,438",14h,271,"3,958","8,133","2,124","3,228",180,39,"2,696","7,622",0,86,25,0,1.78,"['Kiriko', 'Ana', 'Moira']",Awenicks
41,"4,644","1,640,903",10h 54m,271,"3,375","8,985","1,756","1,783",232,18,"4,376","7,884",5,131,7,0,1.38,"['Mercy', 'Kiriko', 'Ana']",Siege
42,"7,758","3,888,485",19h,271,"4,403","4,320","3,437","3,674",321,82,"1,227","3,026",0,18,92,0,1.76,"['Roadhog', 'Mercy', 'D.Va']",LǠSSI
43,"9,918","5,222,357",7h 51m,271,"3,851","1,227","5,188","2,798",658,54,401,731,1,193,4,0,2.58,"['Echo', 'Ana', 'Sombra']",myyntee
44,"10,920","5,202,898",9h 04m,271,"4,588","2,266","5,610","3,585",800,61,620,"1,131",237,183,18,0,2.38,"['Sojourn', 'Cassidy', 'Soldier: 76']",FR2NCH
45,"10,233","4,523,945",9h 42m,271,"4,649","3,081","5,198","3,289",986,71,"1,045","1,760",227,99,21,0,2.20,"['Bastion', 'Hanzo', 'Reaper']",KingKong
46,"3,690","1,273,375",7h 23m,270,"3,696","9,672","1,673","1,299",420,25,"5,069","8,023",67,26,23,0,1.00,"['Mercy', 'Ana', 'Moira']",toki
47,"10,278","4,603,206",10h 39m,310,"4,780","3,373","5,414","3,066",850,99,"1,090","2,247",142,266,40,0,2.15,"['Genji', 'Lifeweaver', 'Hanzo']",AURORA
48,"11,079","4,377,867",10h 51m,270,"3,767","2,027","5,583","3,309",797,129,748,"1,404",90,494,2,0,2.94,"['Genji', 'Sombra', 'Ana']",mob
49,"7,896","3,559,789",15h,270,"2,982","5,014","3,814","3,566",435,88,"1,044","4,102",5,157,27,0,2.65,"['Lifeweaver', 'Orisa', 'Zarya']",iraDove
50,"9,017","4,494,472",8h 12m,270,"4,765","2,420","5,123","2,896","1,231",59,"1,523",966,117,46,10,0,1.89,"['Junkrat', 'Soldier: 76', 'Hanzo']",KILLERBEE
51,"8,279","3,245,468",10h 33m,269,"3,145","3,355","4,119","3,110",728,70,"1,298","2,583",93,89,14,0,2.63,"['Ana', 'Genji', 'Baptiste']",ふいりちゃん
52,"7,378","2,432,067",10h 04m,269,"3,256","7,509","2,532","3,021",293,38,"3,109","6,686",0,64,2,0,2.27,"['Ana', 'Moira', 'Mercy']",GreenDino
53,"7,300","2,481,334",11h 59m,269,"3,442","8,434","2,322","2,714",375,42,868,"8,635",121,102,36,0,2.12,"['Lifeweaver', 'Moira', 'Brigitte']",Vengeance
54,"11,039","5,640,119",15h,269,"2,701","2,573","5,203","3,919",515,76,"1,669",742,14,463,42,0,4.09,"['Sigma', 'Orisa', 'Doomfist']",FiveBeanSoup
